,Unnamed: 0,word,gold,exact_match_ratio,prediction_count,prediction_ratio,validated_translation,reason,back_translations
0,0,AI,人工智能,1.0,9,"[{'word': '人工智能', 'ratio': 1.0}]",人工智能,{},[]
1,1,API,API,0.1111111111111111,9,"[{'word': '应用程序接口', 'ratio': 0.8888888888888888}, {'word': 'API', 'ratio': 0.1111111111111111}]",应用程序接口,{},[]
2,2,AQA,AQA,0.875,8,"[{'word': 'AQA', 'ratio': 0.875}, {'word': '空气质量保证', 'ratio': 0.125}]",AQA,{},[]
3,3,ARENA,ARENA,0.2857142857142857,7,"[{'word': 'ARENA', 'ratio': 0.2857142857142857}, {'word': '競技場', 'ratio': 0.14285714285714285}, {'word': '竞技场', 'ratio': 0.14285714285714285}, {'word': '无法提供准确翻译', 'ratio': 0.14285714285714285}, {'word': '由于没有提供上下文，无法准确翻译这个专有名词。通常专有名词保留原文。', 'ratio': 0.14285714285714285}, {'word': '保留原文，因其为专有名词)', 'ratio': 0.14285714285714285}]",ARENA,"```
1. Candidate: ARENA
2. Explanation: In the context of AI and technology, ""ARENA"" is likely a proper noun referring to a specific system, platform, or framework. Proper nouns, especially those that are acronyms or brand names, are typically not translated to maintain their identity and recognition. The candidate ""ARENA"" retains the original term, ensuring semantic accuracy and contextual fit within the AI domain, where such terms are often used globally without translation.
```","['This proper noun cannot be accurately translated as no context is provided. Usually proper nouns remain in the original text.', 'arena', 'Unable to provide accurate translation', 'Keep the original text because it is a proper noun)', 'arena', 'Arena']"
4,4,Additionally,此外,1.0,9,"[{'word': '此外', 'ratio': 1.0}]",此外,{},[]
5,5,AmbigQA,AmbigQA,0.7777777777777778,9,"[{'word': 'AmbigQA', 'ratio': 0.7777777777777778}, {'word': '歧义问答', 'ratio': 0.1111111111111111}, {'word': '模糊问答', 'ratio': 0.1111111111111111}]",AmbigQA,{},[]
6,6,Architectures,架构,1.0,9,"[{'word': '架构', 'ratio': 1.0}]",架构,{},[]
7,7,BART,BART,0.6,10,"[{'word': 'BART', 'ratio': 0.6}, {'word': '文本生成模型', 'ratio': 0.1}, {'word': '捷运', 'ratio': 0.1}, {'word': '序列到序列的自回归变换模型', 'ratio': 0.1}, {'word': '双向自回归变换器', 'ratio': 0.1}]",BART,{},[]
8,8,BERT,BERT,0.4285714285714285,7,"[{'word': 'BERT', 'ratio': 0.42857142857142855}, {'word': '双向编码器表示模型', 'ratio': 0.14285714285714285}, {'word': 'BERT模型', 'ratio': 0.14285714285714285}, {'word': '双向编码器表示转换器', 'ratio': 0.14285714285714285}, {'word': '双向编码器表示从变换器', 'ratio': 0.14285714285714285}]",BERT模型,"```
1. Candidate: BERT模型
2. Explanation: The term ""BERT"" in the context of AI and natural language processing refers to a specific model known as the ""Bidirectional Encoder Representations from Transformers."" In the AI domain, it is common to retain the original English acronym ""BERT"" when discussing the model in Chinese, but adding ""模型"" (model) provides clarity that it refers to a specific model. This candidate maintains the original term ""BERT"" for recognition and adds ""模型"" to specify its nature as a model, which is crucial for semantic accuracy and contextual fit in technical discussions. The back translation ""BERT model"" accurately reflects the intended meaning without introducing ambiguity or incorrect interpretations.
```","['The bidirectional encoder represents the slave converter', 'Bidirectional encoder representation model', 'Bert', 'BERT model', 'bidirectional encoder representation converter', 'Bert']"
9,9,BERTs,BERTs,0.0,7,"[{'word': 'BERT模型', 'ratio': 0.2857142857142857}, {'word': '复数形式', 'ratio': 0.14285714285714285}, {'word': 'BERT模型集', 'ratio': 0.14285714285714285}, {'word': '无法提供准确翻译', 'ratio': 0.14285714285714285}, {'word': '模型', 'ratio': 0.14285714285714285}, {'word': '双向编码器表示从变换器的复数形式', 'ratio': 0.14285714285714285}]",BERT模型集,"```
1. Candidate: BERT模型集
2. Explanation: The term ""BERTs"" in the AI domain typically refers to multiple instances or variations of the BERT model, which is a well-known language model in natural language processing. The candidate ""BERT模型集"" translates to ""BERT model set,"" accurately capturing the plural form and the concept of a collection of BERT models. This translation maintains the specificity and context of the original term, ensuring semantic accuracy and contextual fit within the AI domain.
```","['Model', 'Bert', 'Unable to provide accurate translation', 'plural form', 'BERT model', 'The bidirectional encoder represents the complex form of the slave transformer', 'BERT model set']"
