,word,gold,exact_match_ratio,prediction_count,prediction_ratio
0,AI,人工智能,1.0,9,"[{'word': '人工智能', 'ratio': 1.0}]"
1,API,API,0.1111111111111111,9,"[{'word': '应用程序接口', 'ratio': 0.8888888888888888}, {'word': 'API', 'ratio': 0.1111111111111111}]"
2,AQA,AQA,0.875,8,"[{'word': 'AQA', 'ratio': 0.875}, {'word': '空气质量保证', 'ratio': 0.125}]"
3,ARENA,ARENA,0.2857142857142857,7,"[{'word': 'ARENA', 'ratio': 0.2857142857142857}, {'word': '競技場', 'ratio': 0.14285714285714285}, {'word': '竞技场', 'ratio': 0.14285714285714285}, {'word': '无法提供准确翻译', 'ratio': 0.14285714285714285}, {'word': '由于没有提供上下文，无法准确翻译这个专有名词。通常专有名词保留原文。', 'ratio': 0.14285714285714285}, {'word': '保留原文，因其为专有名词)', 'ratio': 0.14285714285714285}]"
4,Additionally,此外,1.0,9,"[{'word': '此外', 'ratio': 1.0}]"
5,AmbigQA,AmbigQA,0.7777777777777778,9,"[{'word': 'AmbigQA', 'ratio': 0.7777777777777778}, {'word': '歧义问答', 'ratio': 0.1111111111111111}, {'word': '模糊问答', 'ratio': 0.1111111111111111}]"
6,Architectures,架构,1.0,9,"[{'word': '架构', 'ratio': 1.0}]"
7,BART,BART,0.6,10,"[{'word': 'BART', 'ratio': 0.6}, {'word': '文本生成模型', 'ratio': 0.1}, {'word': '捷运', 'ratio': 0.1}, {'word': '序列到序列的自回归变换模型', 'ratio': 0.1}, {'word': '双向自回归变换器', 'ratio': 0.1}]"
8,BERT,BERT,0.42857142857142855,7,"[{'word': 'BERT', 'ratio': 0.42857142857142855}, {'word': '双向编码器表示模型', 'ratio': 0.14285714285714285}, {'word': 'BERT模型', 'ratio': 0.14285714285714285}, {'word': '双向编码器表示转换器', 'ratio': 0.14285714285714285}, {'word': '双向编码器表示从变换器', 'ratio': 0.14285714285714285}]"
9,BERTs,BERTs,0.0,7,"[{'word': 'BERT模型', 'ratio': 0.2857142857142857}, {'word': '复数形式', 'ratio': 0.14285714285714285}, {'word': 'BERT模型集', 'ratio': 0.14285714285714285}, {'word': '无法提供准确翻译', 'ratio': 0.14285714285714285}, {'word': '模型', 'ratio': 0.14285714285714285}, {'word': '双向编码器表示从变换器的复数形式', 'ratio': 0.14285714285714285}]"
10,BETO,BETO,0.42857142857142855,7,"[{'word': 'BETO', 'ratio': 0.42857142857142855}, {'word': '西班牙语BERT模型', 'ratio': 0.2857142857142857}, {'word': '西班牙语的BERT模型', 'ratio': 0.14285714285714285}, {'word': 'BETO模型', 'ratio': 0.14285714285714285}]"
11,BIO,BIO,0.0,7,"[{'word': 'BIO编码', 'ratio': 0.7142857142857143}, {'word': 'BIO标注法', 'ratio': 0.14285714285714285}, {'word': '编码', 'ratio': 0.14285714285714285}]"
12,BLEU,BLEU,0.14285714285714285,7,"[{'word': 'BLEU评分', 'ratio': 0.5714285714285714}, {'word': '双语评估指标', 'ratio': 0.2857142857142857}, {'word': 'BLEU', 'ratio': 0.14285714285714285}]"
13,BPE,BPE,0.1,10,"[{'word': '字节对编码', 'ratio': 0.8}, {'word': 'Byte Pair Encoding', 'ratio': 0.1}, {'word': 'BPE', 'ratio': 0.1}]"
14,BSARD,BSARD,0.8888888888888888,9,"[{'word': 'BSARD', 'ratio': 0.8888888888888888}, {'word': '请提供更多上下文以进行翻译', 'ratio': 0.1111111111111111}]"
15,CDA,CDA,0.3,10,"[{'word': 'CDA', 'ratio': 0.3}, {'word': '概念驱动架构）', 'ratio': 0.1}, {'word': '需要上下文来确定准确翻译', 'ratio': 0.1}, {'word': '关键数据分析', 'ratio': 0.1}, {'word': '计算机数据分析', 'ratio': 0.1}, {'word': '对话系统', 'ratio': 0.1}, {'word': '具体含义需根据上下文确定', 'ratio': 0.1}, {'word': '对比数据增强', 'ratio': 0.1}]"
16,CAS,CAS,0.4444444444444444,9,"[{'word': 'CAS', 'ratio': 0.4444444444444444}, {'word': '计算机代数系统', 'ratio': 0.2222222222222222}, {'word': '需要上下文来确定准确翻译', 'ratio': 0.1111111111111111}, {'word': '化学文摘服务', 'ratio': 0.1111111111111111}, {'word': '具体含义需根据上下文确定', 'ratio': 0.1111111111111111}]"
17,CEAS,CEAS,0.2222222222222222,9,"[{'word': 'CEAS', 'ratio': 0.2222222222222222}, {'word': '鐘', 'ratio': 0.1111111111111111}, {'word': '认知情感分析系统', 'ratio': 0.1111111111111111}, {'word': '常见的缩写，具体含义需根据上下文而定', 'ratio': 0.1111111111111111}, {'word': '中心环境分析系统', 'ratio': 0.1111111111111111}, {'word': '常见英语词汇的简写）', 'ratio': 0.1111111111111111}, {'word': '具体含义需根据上下文确定', 'ratio': 0.1111111111111111}, {'word': '钟', 'ratio': 0.1111111111111111}]"
