,Unnamed: 0,word,gold,exact_match_ratio,prediction_count,prediction_ratio,validated_translation,reason,back_translations
0,0,10-fold cross validation,validation croisée 10 fois,0.0,10,"[{'word': 'validation croisée à 10 volets', 'ratio': 0.4}, {'word': 'validation croisée à 10 plis', 'ratio': 0.3}, {'word': 'validation croisée en 10 plis', 'ratio': 0.2}, {'word': 'Validation croisée à 10 volets', 'ratio': 0.1}]",validation croisée à 10 plis,"```
1. Candidate: ""validation croisée à 10 plis""

2. Explanation: The term ""validation croisée à 10 plis"" is the best fit for translating ""10-fold cross validation"" in the context of AI and machine learning. In French, ""plis"" is commonly used to refer to ""folds"" in the context of cross-validation, which is a standard method for assessing the performance of a model. The use of ""plis"" accurately conveys the idea of dividing the dataset into 10 parts or folds, which is essential for understanding the methodology described. This translation maintains semantic accuracy and aligns well with the technical terminology used in the AI domain, ensuring that the concept is clearly communicated to a French-speaking audience. Additionally, the back translation to ""10-fold cross-validation"" confirms that the meaning is preserved, making it a reliable choice for this context.
```","['10-fold cross-validation', '10-fold cross-validation', '10-fold cross-validation', '10-fold cross-validation', '10-fold cross-validation']"
1,1,1D convolution,Convolution 1D,0.1,10,"[{'word': 'convolution 1D', 'ratio': 0.9}, {'word': 'Convolution 1D', 'ratio': 0.1}]",convolution 1D,{},[]
2,2,2 norm,norme 2,0.9,10,"[{'word': 'norme 2', 'ratio': 0.9}, {'word': 'Norme 2', 'ratio': 0.1}]",norme 2,{},[]
3,3,2D convolution,convolution 2D,0.9,10,"[{'word': 'convolution 2D', 'ratio': 0.9}, {'word': 'Convolution 2D', 'ratio': 0.1}]",convolution 2D,{},[]
4,4,2D image,image 2D,0.9,10,"[{'word': 'image 2D', 'ratio': 0.9}, {'word': 'Image 2D', 'ratio': 0.1}]",image 2D,{},[]
5,5,2D image synthesis,synthèse d'images 2D,0.8,10,"[{'word': ""synthèse d'images 2D"", 'ratio': 0.8}, {'word': ""synthèse d'image 2D"", 'ratio': 0.2}]",synthèse d'images 2D,{},[]
6,6,2D-3D correspondence,correspondances 2d-3d,0.0,10,"[{'word': 'correspondance 2D-3D', 'ratio': 1.0}]",correspondance 2D-3D,{},[]
7,7,3D bounding box,boîte englobante 3D,1.0,10,"[{'word': 'boîte englobante 3D', 'ratio': 1.0}]",boîte englobante 3D,{},[]
8,8,3D computer vision,Vision par ordinateur 3D,0.0,10,"[{'word': 'vision par ordinateur 3D', 'ratio': 1.0}]",vision par ordinateur 3D,{},[]
9,9,3D convolutional network,réseau convolutionnel 3D,0.1,10,"[{'word': 'réseau de convolution 3D', 'ratio': 0.7}, {'word': 'réseau convolutif 3D', 'ratio': 0.2}, {'word': 'réseau convolutionnel 3D', 'ratio': 0.1}]",réseau de convolution 3D,{},[]
10,10,3D geometry,géométrie 3D,0.9,10,"[{'word': 'géométrie 3D', 'ratio': 0.9}, {'word': 'Géométrie 3D', 'ratio': 0.1}]",géométrie 3D,{},[]
11,11,3D human pose estimation,estimation de la pose humaine en 3D,0.5,10,"[{'word': 'estimation de la pose humaine en 3D', 'ratio': 0.5}, {'word': 'estimation de pose humaine en 3D', 'ratio': 0.3}, {'word': 'Estimation de pose humaine 3D', 'ratio': 0.1}, {'word': 'estimation de pose humaine 3D', 'ratio': 0.1}]",estimation de la pose humaine en 3D,{},[]
12,12,3D localization,Localisation 3D,0.1,10,"[{'word': 'localisation 3D', 'ratio': 0.9}, {'word': 'Localisation 3D', 'ratio': 0.1}]",localisation 3D,{},[]
13,13,3D mesh,maillage 3D,0.9,10,"[{'word': 'maillage 3D', 'ratio': 0.9}, {'word': 'Maillage 3D', 'ratio': 0.1}]",maillage 3D,{},[]
14,14,3D model,modèle 3D,0.9,10,"[{'word': 'modèle 3D', 'ratio': 0.9}, {'word': 'Modèle 3D', 'ratio': 0.1}]",modèle 3D,{},[]
15,15,3D object detection,détection d'objets 3D,0.9,10,"[{'word': ""détection d'objets 3D"", 'ratio': 0.9}, {'word': 'centroïde de cluster', 'ratio': 0.1}]",détection d'objets 3D,{},[]
16,16,3D point,point 3D,0.9,10,"[{'word': 'point 3D', 'ratio': 0.9}, {'word': 'caractéristique de cluster', 'ratio': 0.1}]",point 3D,{},[]
17,17,3D point cloud,nuage de points 3D,0.9,10,"[{'word': 'nuage de points 3D', 'ratio': 0.9}, {'word': 'étiquette de cluster', 'ratio': 0.1}]",nuage de points 3D,{},[]
18,18,3D pose,pose 3D,0.8,10,"[{'word': 'pose 3D', 'ratio': 0.8}, {'word': 'posture 3D', 'ratio': 0.1}, {'word': 'taille du cluster', 'ratio': 0.1}]",pose 3D,{},[]
19,19,3D reconstruction,reconstruction 3D,0.9,10,"[{'word': 'reconstruction 3D', 'ratio': 0.9}, {'word': 'algorithme de clustering', 'ratio': 0.1}]",reconstruction 3D,{},[]
20,20,3D scene,scène 3D,0.9,10,"[{'word': 'scène 3D', 'ratio': 0.9}, {'word': 'Scène 3D', 'ratio': 0.1}]",scène 3D,{},[]
21,21,3D scene geometry,géométrie de la scène 3D,0.4,10,"[{'word': 'géométrie de scène 3D', 'ratio': 0.5}, {'word': 'géométrie de la scène 3D', 'ratio': 0.4}, {'word': 'Géométrie de la scène 3D', 'ratio': 0.1}]",géométrie de scène 3D,{},[]
22,22,3D structure,structure 3D,0.9,10,"[{'word': 'structure 3D', 'ratio': 0.9}, {'word': 'Structure 3D', 'ratio': 0.1}]",structure 3D,{},[]
23,23,5-fold cross validation,Validation croisée à 5 volets,0.0,10,"[{'word': 'validation croisée à 5 plis', 'ratio': 0.5}, {'word': 'validation croisée à 5 volets', 'ratio': 0.4}, {'word': 'Validation croisée en 5 plis', 'ratio': 0.1}]",validation croisée à 5 plis,{},[]
24,24,A * algorithm,algorithme A*,0.9,10,"[{'word': 'algorithme A*', 'ratio': 0.9}, {'word': 'Algorithme A*', 'ratio': 0.1}]",algorithme A*,{},[]
25,25,A/B test,test A/B,1.0,10,"[{'word': 'test A/B', 'ratio': 1.0}]",test A/B,{},[]
26,26,A2C,A2C,1.0,10,"[{'word': 'A2C', 'ratio': 1.0}]",A2C,{},[]
27,27,Ablation study,étude d'ablation,0.9,10,"[{'word': ""étude d'ablation"", 'ratio': 0.9}, {'word': 'étude d’ablation', 'ratio': 0.1}]",étude d'ablation,{},[]
28,28,Accuracy,précision,0.6,10,"[{'word': 'précision', 'ratio': 0.6}, {'word': 'Précision', 'ratio': 0.3}, {'word': 'Exactitude', 'ratio': 0.1}]",précision,{},[]
