,word,prediction_ratio,1)validated_translation_by_gpt4o,2)word>=0.5,reason,back_translations
0,A2C,"[{'word': 'A2C', 'ratio': 0.7777777777777778}, {'word': '他住过', 'ratio': 0.1111111111111111}, {'word': '优势-价值', 'ratio': 0.1111111111111111}]",优势-价值,A2C,"```
1. Candidate: 优势-价值
2. Explanation: The term ""A2C"" in the context of AI refers to ""Advantage Actor-Critic,"" a reinforcement learning algorithm. The translation ""优势-价值"" accurately captures the essence of the A2C algorithm by focusing on the ""advantage"" aspect, which is a key component of the algorithm's function. This translation maintains semantic accuracy and aligns well with the AI domain-specific usage, as it reflects the core concept of advantage estimation used in A2C. The back translation ""Advantage-Value"" also supports this contextual fit, ensuring that the meaning is preserved across languages.
```","['Advantage-Value', 'A2C', 'he lived']"
1,Bernoulli,"[{'word': '伯努利', 'ratio': 0.8}, {'word': '伯努利分布', 'ratio': 0.2}]",伯努利分布,伯努利,"```
1. Candidate: 伯努利分布
2. Explanation: The term ""Bernoulli"" in the given context refers to a Bernoulli distribution, which is a fundamental concept in probability theory and statistics, often used in AI for binary decision-making processes. The context involves sampling and decision-making based on probabilities, which aligns with the use of a Bernoulli distribution. The translation ""伯努利分布"" explicitly conveys this statistical concept, ensuring semantic accuracy and contextual fit within the AI domain. The back translation to ""Bernoulli distribution"" confirms the intended meaning, making it the best fit for the AI-specific usage.
```","['Bernoulli', 'Bernoulli distribution']"
2,Euclidean distance,"[{'word': '欧几里得距离', 'ratio': 0.9}, {'word': '欧氏距离', 'ratio': 0.1}]",欧氏距离,欧几里得距离,"```
1. Candidate: 欧氏距离
2. Explanation: ""欧氏距离"" is the more commonly used term in Chinese for ""Euclidean distance"" within the context of mathematics and AI. It is widely recognized and used in academic and technical literature, ensuring semantic accuracy. The back translation to ""Euclidean distance"" confirms its correctness and contextual fit, making it the best choice for AI domain-specific usage.
```","['Euclidean distance', 'Euclidean distance']"
3,Hedge algorithm,"[{'word': '对冲算法', 'ratio': 0.8}, {'word': 'Hedge算法', 'ratio': 0.1}, {'word': '算法', 'ratio': 0.1}]",Hedge算法,对冲算法,"```
1. Candidate: ""Hedge算法""
2. Explanation: ""Hedge算法"" is the best translation candidate because it retains the original English term ""Hedge"" while appending ""算法"" (algorithm) to indicate its nature as an algorithm. This is a common practice in the AI domain where specific algorithm names are often left untranslated to preserve their identity and recognition within the global research community. The term ""Hedge"" is a well-known algorithm in online learning and machine learning contexts, and keeping it in English ensures that it is immediately recognizable to those familiar with the literature, such as the works by Littlestone and Warmuth, and Freund and Schapire. The back translation as ""Hedge algorithm"" confirms the semantic accuracy and contextual fit, maintaining the integrity of the original term.
```","['Hedging algorithm', 'Hedge algorithm', 'algorithm']"
4,Hessian-vector product,"[{'word': '海森向量积', 'ratio': 0.5}, {'word': '海森矩阵-向量积', 'ratio': 0.25}, {'word': 'Hessian- 贡献积', 'ratio': 0.125}, {'word': '黑森州-向量积', 'ratio': 0.125}]",海森矩阵-向量积,海森向量积,"```
1. Candidate: ""海森矩阵-向量积""

2. Explanation: The term ""Hessian-vector product"" in the context of AI and machine learning refers to the product of a Hessian matrix and a vector. The candidate ""海森矩阵-向量积"" directly translates to ""Hessian matrix-vector product,"" which accurately captures the mathematical operation involved. This translation maintains the technical specificity required in AI terminology, ensuring that the concept is clearly understood in both languages. The other candidates either misinterpret ""Hessian"" as a geographical term or fail to convey the precise mathematical operation, making ""海森矩阵-向量积"" the most semantically accurate and contextually appropriate choice.
```","['Hesse - vector product', 'Hessian- contribution product', 'Hessian vector product', 'Hessian matrix-vector product', 'Hessian vector product']"
5,Machine Comprehension,"[{'word': '机器理解', 'ratio': 0.8888888888888888}, {'word': '机器阅读理解', 'ratio': 0.1111111111111111}]",机器阅读理解,机器理解,"```
1. Candidate: 机器阅读理解
2. Explanation: ""机器阅读理解"" is the best fit because it specifically refers to the AI task of understanding and interpreting text, which aligns with the context of testing vocabulary and parts of speech (POS) in the provided example. The term ""阅读"" (reading) emphasizes the process of interpreting written language, which is crucial in the context of machine comprehension tasks. This specificity is important in the AI domain, where ""machine comprehension"" often involves reading comprehension tasks. The back translation ""Machine reading comprehension"" accurately reflects the original English term, ensuring semantic accuracy and contextual fit.
```","['machine understanding', 'Machine reading comprehension']"
6,Routing Transformer,"[{'word': '路由变换器', 'ratio': 0.8}, {'word': '路由转换器', 'ratio': 0.1}, {'word': '路由变压器', 'ratio': 0.1}]",路由变压器,路由变换器,"```
1. Candidate: 路由变压器
2. Explanation: The term ""Routing Transformer"" in the context of AI refers to a specific type of transformer model that uses routing mechanisms to improve efficiency and scalability. The candidate ""路由变压器"" directly translates to ""routing transformer,"" maintaining the technical meaning and context of the original term. The other candidates, ""路由转换器"" and ""路由变换器,"" translate to ""routing converter"" and ""route converter,"" respectively, which do not accurately convey the concept of a transformer model in AI. Therefore, ""路由变压器"" is the best fit for maintaining semantic accuracy and contextual relevance in the AI domain.
```","['routing converter', 'routing transformer', 'Route converter']"
7,Spearman rank correlation,"[{'word': '斯皮尔曼等级相关', 'ratio': 0.7142857142857143}, {'word': '斯皮尔曼秩相关', 'ratio': 0.2857142857142857}]",斯皮尔曼秩相关,斯皮尔曼等级相关,"```
1. Candidate: 斯皮尔曼秩相关
2. Explanation: The term ""Spearman rank correlation"" is a well-established statistical measure used to assess the strength and direction of association between two ranked variables. In the context of AI, it is often used to evaluate the correlation between model outputs or features. The translation ""斯皮尔曼秩相关"" directly corresponds to ""Spearman rank correlation,"" maintaining both the technical accuracy and the established terminology used in Chinese statistical and AI literature. The back translation also accurately reflects the original English term, ensuring semantic accuracy and contextual fit within the AI domain.
```","['Spearman level correlation', 'Spearman rank correlation']"
8,Token,"[{'word': '令牌', 'ratio': 0.5}, {'word': '词元', 'ratio': 0.3}, {'word': '标记', 'ratio': 0.2}]",词元,令牌,"```
1. Candidate: 词元
2. Explanation: In the context of AI and natural language processing, ""token"" refers to the smallest unit of text, such as a word or a character, that is processed by a model. The term ""词元"" accurately captures this meaning as it translates to ""word element,"" which aligns with the concept of a token being a fundamental unit of text. Other candidates like ""令牌"" (token) and ""代币"" (Token) are more commonly associated with security or cryptocurrency contexts, while ""标记"" (mark) is too generic and does not specifically convey the idea of a text unit in AI terminology.
```","['token', 'Token', 'word element', 'mark']"
9,Transformer,"[{'word': '变换器', 'ratio': 0.5}, {'word': '转换器', 'ratio': 0.3}, {'word': 'Transformer', 'ratio': 0.1}, {'word': '', 'ratio': 0.1}]",Transformer,变换器,"```
1. Candidate: Transformer
2. Explanation: The term ""Transformer"" in the context of AI and machine learning refers to a specific type of neural network architecture introduced in the paper ""Attention is All You Need"" by Vaswani et al. in 2017. It is widely used in natural language processing and other AI applications. The direct use of ""Transformer"" in Chinese is common in the AI community, as it preserves the original meaning and is recognized by professionals in the field. Other candidates like ""转换器"" (converter), ""变换器"" (converter), and ""变压器"" (transformer) do not accurately convey the specific AI-related concept and could lead to confusion with unrelated technologies. Therefore, using ""Transformer"" directly is the best fit for maintaining semantic accuracy and contextual relevance in the AI domain.
```","['', 'transformer', 'converter', 'converter', 'transformer']"
