,word,gold,exact_match_ratio,prediction_count,prediction_ratio
0,AI,intelligence artificielle,0.0,10,"[{'word': 'IA', 'ratio': 1.0}]"
1,API,API,1.0,10,"[{'word': 'API', 'ratio': 1.0}]"
2,AQA,AQA,1.0,10,"[{'word': 'AQA', 'ratio': 1.0}]"
3,ARENA,ARENA,0.6,10,"[{'word': 'ARENA', 'ratio': 0.6}, {'word': 'ARÈNE', 'ratio': 0.4}]"
4,Additionally,de plus,0.2,10,"[{'word': 'De plus', 'ratio': 0.8}, {'word': 'de plus', 'ratio': 0.2}]"
5,AmbigQA,AmbigQA,1.0,10,"[{'word': 'AmbigQA', 'ratio': 1.0}]"
6,Architectures,architectures,0.0,10,"[{'word': 'Architectures', 'ratio': 1.0}]"
7,BART,BART,1.0,10,"[{'word': 'BART', 'ratio': 1.0}]"
8,BERT,Représentations d'encodeurs bidirectionnels à partir de transformateurs,0.0,10,"[{'word': 'BERT', 'ratio': 1.0}]"
9,BERTs,BERTs,0.9,10,"[{'word': 'BERTs', 'ratio': 0.9}, {'word': 'BERT', 'ratio': 0.1}]"
10,BETO,BETO,1.0,10,"[{'word': 'BETO', 'ratio': 1.0}]"
11,BIO,BIO,1.0,10,"[{'word': 'BIO', 'ratio': 1.0}]"
12,BLEU,bleu,0.0,10,"[{'word': 'BLEU', 'ratio': 1.0}]"
13,BPE,BPE,0.8,10,"[{'word': 'BPE', 'ratio': 0.8}, {'word': 'EPB', 'ratio': 0.2}]"
14,BSARD,BSARD,1.0,10,"[{'word': 'BSARD', 'ratio': 1.0}]"
15,CAS,CAS,0.9,10,"[{'word': 'CAS', 'ratio': 0.9}, {'word': 'Système de Calcul Algébrique', 'ratio': 0.1}]"
16,CDA,CDA,0.7,10,"[{'word': 'CDA', 'ratio': 0.7}, {'word': 'Analyse de Données Causales', 'ratio': 0.1}, {'word': 'ADC', 'ratio': 0.1}, {'word': 'ACD', 'ratio': 0.1}]"
17,CEAS,CEAS,0.8,10,"[{'word': 'CEAS', 'ratio': 0.8}, {'word': 'HORLOGE', 'ratio': 0.1}, {'word': 'CRF', 'ratio': 0.1}]"
18,CLIP,CLIP,0.9,10,"[{'word': 'CLIP', 'ratio': 0.9}, {'word': 'AGRAFE', 'ratio': 0.1}]"
19,CLS,CLS,1.0,10,"[{'word': 'CLS', 'ratio': 1.0}]"
20,CONLL,CoNLL,0.0,10,"[{'word': 'CONLL', 'ratio': 1.0}]"
21,CRF,CRF,0.9,10,"[{'word': 'CRF', 'ratio': 0.9}, {'word': 'FRC', 'ratio': 0.1}]"
22,CamemBERT,CamemBERT,1.0,10,"[{'word': 'CamemBERT', 'ratio': 1.0}]"
23,Clustering,regroupement,0.5,10,"[{'word': 'regroupement', 'ratio': 0.5}, {'word': 'clustering', 'ratio': 0.2}, {'word': 'Regroupement', 'ratio': 0.2}, {'word': 'classificateur', 'ratio': 0.1}]"
24,CodeBERT,CodeBERT,1.0,10,"[{'word': 'CodeBERT', 'ratio': 1.0}]"
25,Detecting,détecter,0.0,10,"[{'word': 'Détection', 'ratio': 0.9}, {'word': 'détection', 'ratio': 0.1}]"
26,Dialogue,dialogue,0.2,10,"[{'word': 'Dialogue', 'ratio': 0.8}, {'word': 'dialogue', 'ratio': 0.2}]"
27,English,anglais,0.7,10,"[{'word': 'anglais', 'ratio': 0.7}, {'word': 'Anglais', 'ratio': 0.3}]"
28,FLR,FLR,0.0,10,"[{'word': 'réduction de latence finale', 'ratio': 0.8}, {'word': 'Réduction de latence finale', 'ratio': 0.1}, {'word': 'éduction de latence finale', 'ratio': 0.1}]"
29,FeSTE,FeSTE,0.8,10,"[{'word': 'FeSTE', 'ratio': 0.8}, {'word': 'Fêtes', 'ratio': 0.2}]"
30,For,pour,0.0,10,"[{'word': 'Pour', 'ratio': 0.9}, {'word': 'Par exemple', 'ratio': 0.1}]"
31,French,français,0.7,10,"[{'word': 'français', 'ratio': 0.7}, {'word': 'Français', 'ratio': 0.3}]"
32,Furthermore,en outre,0.0,10,"[{'word': 'De plus', 'ratio': 0.9}, {'word': 'de plus', 'ratio': 0.1}]"
33,GLUE,GLUE,0.8,10,"[{'word': 'GLUE', 'ratio': 0.8}, {'word': 'COLLE', 'ratio': 0.2}]"
34,GPT,GPT,0.9,10,"[{'word': 'GPT', 'ratio': 0.9}, {'word': 'TPG', 'ratio': 0.1}]"
35,Hence,donc,0.2,10,"[{'word': 'Donc', 'ratio': 0.4}, {'word': 'Ainsi', 'ratio': 0.3}, {'word': 'donc', 'ratio': 0.2}, {'word': 'Par conséquent', 'ratio': 0.1}]"
36,ICLR,ICLR,1.0,10,"[{'word': 'ICLR', 'ratio': 1.0}]"
37,IDF,IDF,0.7,10,"[{'word': 'IDF', 'ratio': 0.7}, {'word': 'FDI', 'ratio': 0.3}]"
38,KinyaBERT,KinyaBERT,1.0,10,"[{'word': 'KinyaBERT', 'ratio': 1.0}]"
39,LXMert,LXMert,1.0,10,"[{'word': 'LXMert', 'ratio': 1.0}]"
40,LinCE,LinCE,1.0,10,"[{'word': 'LinCE', 'ratio': 1.0}]"
41,MAWPS,MAWPS,1.0,10,"[{'word': 'MAWPS', 'ratio': 1.0}]"
42,MTDNN,MTDNN,1.0,10,"[{'word': 'MTDNN', 'ratio': 1.0}]"
43,MathQA,MathQA,1.0,10,"[{'word': 'MathQA', 'ratio': 1.0}]"
44,Modeling,modélisation,0.2,10,"[{'word': 'Modélisation', 'ratio': 0.8}, {'word': 'modélisation', 'ratio': 0.2}]"
45,Moreover,de plus,0.3,10,"[{'word': 'De plus', 'ratio': 0.7}, {'word': 'de plus', 'ratio': 0.3}]"
46,Morphology,morphologique,0.0,10,"[{'word': 'Morphologie', 'ratio': 1.0}]"
