en_word1,anno1_word1,anno2_word1,source1,en_word2,anno1_word2,anno2_word2,source2,en_word3,anno1_word3,anno2_word3,source3,en_word4,anno1_word4,anno2_word4,source4,en_word5,anno1_word5,anno2_word5,source5
AI,IA,intelligence artificielle,6060,NLP,PNL,TAL traitement automatique du langage naturel,6060,spans,segments,étendage,6060,OOV,hors vocabulaire,OOV,6060,newswire,fil d'actualités,fil d'actualité,6060
written,écrit,écrits,6060,Furthermore,De plus,en outre,6060,features,caractéristiques,fonctions,6060,generating,génération,production,6060,search,recherche,cherche,6060
grounding,ancrage,bases,6060,training,entraînement,formation,6060,pretrained,préentraîné,pré-formation,6060,graph,graphe,"graphique, diagramme",6060,computational,computationnel,informatique,6060
motivated,motivé,motivés,6060,extractive,extractif,extraction,6060,human,humain,civique,6060,unseen,non vu,invisible,6060,similarity,similarité,similitude,6060
FLR,réduction de latence finale,FLR,6060,embeddings,embeddings,intégration,6060,generalize,généraliser,généralise,6060,gradient,gradient,pente,6060,assessing,évaluation,évalution,6060
social,social,sociaux,6060,pretraining,préentraînement,pré-formation,6060,tagging,étiquetage,classification,6060,morphologically,morphologiquement,morphologie,6060,nodes,nœuds,nodules,6060
downstream,en aval,downstream,6060,transformers,transformers,transformateurs,6060,graphs,graphes,diagrammes,6060,metrics,métriques,indicateurs,6060,augmented,augmenté,amélioré,6060
lexical,lexical,lexicale,6060,transformer,transformateur,conversion,6060,visual,visuel,visuelle,6060,multitask,multitâche,multi-tâches,6060,correlations,corrélations,corrélation,6060
speech,parole,dicours,6060,phrase,phrase,phrases,6060,datasets,jeux de données,données,6060,BERT,BERT,Représentations d'encodeurs bidirectionnels à partir de transformateurs,6060,qualitative,qualitatif,qualitative,6060
retrieved,récupéré,récupérés,6060,tokens,tokens,gages,6060,edit,modification,édition,6060,news,actualités,nouvelles,6060,adversarial,adversarial,antagoniste,6060
sentiment,sentiment,émotionel,6060,Hence,Par conséquent,donc,6060,predicates,prédicats,prédicat,6060,event,événement,activité,6060,simultaneous,simultané,simultanée,6060
semantics,sémantique,sémantiques,6060,research,recherche,recherches,6060,generated,généré,générés,6060,baselines,références,bases,6060,parsing,analyse,analyse syntaxique,6060
linguistics,linguistique,linguistiques,6060,previous,précédent,antérieur,6060,encode,encoder,encode,6060,finetuning,ajustement fin,raffinement,6060,propose,proposer,proposé,6060
linked,lié,liées,6060,neural,neural,neuronal,6060,problem,problème,problèmes,6060,dataset,ensemble de données,données,6060,achieves,atteint,performance,6060
distributions,distributions,distribution,6060,token,jeton,gage,6060,labeled,étiqueté,étiquetés,6060,captions,légendes,captures,6060,Morphology,Morphologie,morphologique,6060
utterances,énoncés,discours,6060,Detecting,Détection,détecter,6060,Boltzmann exploration,Exploration Boltzmann,exploration de Boltzmann,threshold,Chamfer Distance,Distance du chanfrein,Distance de Chamfer,threshold,Charniak parser,parseur de Charniak,analyseur Charniak,threshold
Expectation Maximization algorithm,algorithme d'estimation par maximisation,algorithme de maximisation des attentes,threshold,Focal Loss,Perte focale,Focal Loss,threshold,Gaussian component,composante gaussienne,composant gaussien,threshold,Information Retrieval,Récupération d'information,Recherche d'Information,threshold,Jensen's inequality,L'inégalité de Jensen,inégalité de Jensen,threshold
Kleene closure,Fermeture Kleene,fermeture de Kleene,threshold,L 2 distance,distance L2,distance L 2,threshold,Markov's inequality,L'inégalité de Markov,inégalité de Markov,threshold,Open Information Extraction,Extraction d'informations ouvertes,extraction d'information ouverte,threshold,Routing Transformer,Transformateur de routage,Transformer de routage,threshold
Sentence-Piece,SentencePiece,Sentence-Piece,threshold,Transformer-based language model,Modèle de langage basé sur les Transformers,modèle de langage basé sur Transformer,threshold,abstractive summarization,résumé abstractif,résumé abstrait,threshold,action sequence,séquence d'actions,séquence d'action,threshold,adapter-based fine-tuning,ajustement fin basé sur des adaptateurs,ajustement basé sur des adaptateurs,threshold
anaphora resolution,résolution des anaphores,résolution d'anaphore,threshold,approximate posterior distribution,distribution postérieure approchée,distribution postérieure approximative,threshold,augmented state space,espace d'états augmenté,espace d'état augmenté,threshold,baseline system,système de base,système de référence,threshold,batch optimization,optimisation par lots,optimisation par lot,threshold
