,Unnamed: 0,word,gold,exact_match_ratio,prediction_count,prediction_ratio,validated_translation,reason,back_translations
0,0,AI,AI,0.0,8,"[{'word': 'الذكاء الاصطناعي', 'ratio': 1.0}]",الذكاء الاصطناعي,{},[]
1,1,API,API,0.0,8,"[{'word': 'واجهة برمجة التطبيقات', 'ratio': 1.0}]",واجهة برمجة التطبيقات,{},[]
2,2,AQA,AQA,0.875,8,"[{'word': 'AQA', 'ratio': 0.875}, {'word': 'أكا', 'ratio': 0.125}]",AQA,{},[]
3,3,ARENA,ARENA,0.375,8,"[{'word': 'أرينا', 'ratio': 0.5}, {'word': 'ARENA', 'ratio': 0.375}, {'word': 'الساحة', 'ratio': 0.125}]",أرينا,{},[]
4,4,Additionally,وبالإضافة إلى ذلك,0.0,9,"[{'word': 'بالإضافة إلى ذلك', 'ratio': 0.7777777777777778}, {'word': 'بالإضافة إلى', 'ratio': 0.2222222222222222}]",بالإضافة إلى ذلك,{},[]
5,5,AmbigQA,AmbigQA,0.3333333333333333,9,"[{'word': 'AmbigQA', 'ratio': 0.3333333333333333}, {'word': 'أمبيج كيو إيه', 'ratio': 0.3333333333333333}, {'word': 'أمبج كيو إيه', 'ratio': 0.2222222222222222}, {'word': 'أمبِجQA', 'ratio': 0.1111111111111111}]",أمبج كيو إيه,"```
1. Candidate: ""أمبج كيو إيه""
2. Explanation: The candidate ""أمبج كيو إيه"" is the best fit because it maintains the original English term ""AmbigQA"" in a way that is phonetically accurate and recognizable in Arabic. The use of ""كيو إيه"" for ""QA"" is a common practice in Arabic to denote English abbreviations, ensuring that the term is understood within the AI domain. This candidate also provides a back translation of ""Ampj QA,"" which closely resembles the original term, maintaining semantic accuracy and contextual fit.
```","['AmpegQA', 'Proudly', 'ampQA', 'Ampeg QA', 'Ampj QA']"
6,6,Architectures,هياكل,0.1,10,"[{'word': 'الهياكل', 'ratio': 0.6}, {'word': 'المعماريات', 'ratio': 0.1}, {'word': 'الهندسات', 'ratio': 0.1}, {'word': 'البنى الهندسية', 'ratio': 0.1}, {'word': 'هياكل', 'ratio': 0.1}]",الهياكل,{},[]
7,7,BART,BART,0.2222222222222222,9,"[{'word': 'بارت', 'ratio': 0.6666666666666666}, {'word': 'BART', 'ratio': 0.2222222222222222}, {'word': 'محدد مسبق', 'ratio': 0.1111111111111111}]",بارت,{},[]
8,8,BERT,بيرت,0.5555555555555556,9,"[{'word': 'بيرت', 'ratio': 0.5555555555555556}, {'word': 'BERT', 'ratio': 0.2222222222222222}, {'word': 'بِيرت', 'ratio': 0.1111111111111111}, {'word': 'بERT', 'ratio': 0.1111111111111111}]",بيرت,{},[]
9,9,BERTs,BERTs,0.0,9,"[{'word': 'نماذج BERT', 'ratio': 0.2222222222222222}, {'word': 'بيرتس', 'ratio': 0.2222222222222222}, {'word': 'نماذج بيرت', 'ratio': 0.2222222222222222}, {'word': 'بيرتات', 'ratio': 0.1111111111111111}, {'word': 'بِيرتس', 'ratio': 0.1111111111111111}, {'word': 'بERTs', 'ratio': 0.1111111111111111}]",نماذج BERT,"```
1. Candidate: ""نماذج BERT""
2. Explanation: The term ""BERTs"" refers to multiple instances or variations of the BERT model, which is a well-known AI model in natural language processing. The candidate ""نماذج BERT"" translates to ""BERT models,"" accurately capturing the plural form and the context of AI models. This translation maintains the original term ""BERT"" in English, which is crucial for preserving the technical specificity and recognition within the AI domain. The back translation ""BERT models"" confirms the semantic accuracy and contextual fit, making it the best choice.
```","['Peretz', 'PERT models', 'BERTs', 'BERT models', 'Peretz', 'Bertat']"
10,10,BETO,BETO,0.2222222222222222,9,"[{'word': 'بيتو', 'ratio': 0.5555555555555556}, {'word': 'BETO', 'ratio': 0.2222222222222222}, {'word': 'بِيتوبِيتو', 'ratio': 0.1111111111111111}, {'word': 'بETO', 'ratio': 0.1111111111111111}]",بيتو,{},[]
11,11,BIO,BIO,0.3333333333333333,9,"[{'word': 'BIO', 'ratio': 0.3333333333333333}, {'word': 'بيو', 'ratio': 0.1111111111111111}, {'word': 'بِي أو', 'ratio': 0.1111111111111111}, {'word': 'عضوي', 'ratio': 0.1111111111111111}, {'word': 'بي آي أو', 'ratio': 0.1111111111111111}, {'word': 'ترميز بي آي أو', 'ratio': 0.1111111111111111}, {'word': 'ترميز BIO', 'ratio': 0.1111111111111111}]",ترميز BIO,"```
1. Candidate: ""ترميز BIO""
2. Explanation: The term ""BIO"" in the context provided refers to a specific encoding scheme used in natural language processing (NLP) for tagging tokens, particularly in tasks like named entity recognition. The candidate ""ترميز BIO"" directly translates to ""BIO coding,"" which accurately captures the technical nature of the term within the AI domain. This translation maintains the original acronym, ensuring clarity and consistency with the English term, which is crucial for domain-specific terminology. Additionally, the back translation ""BIO coding"" aligns well with the original context, confirming its semantic accuracy and contextual fit.
```","['organic', 'BIO coding', 'BIO encoding', 'the biography', 'P.O', 'BIO', 'Bio', 'With it']"
