Index,English,Arabic
0,10-fold cross validation,التحقق المتقاطع بعشر طيات
1,1D convolution,الالتفاف أحادي البُعد
2,2 norm,النورم 2
3,2D convolution,الالتفاف ثنائي الأبعاد
4,2D image,صورة ثنائية الأبعاد
5,2D image synthesis,توليف الصور ثنائية الأبعاد
6,2D-3D correspondence,المراسلات ثنائية وثلاثية الأبعاد
7,3D bounding box,الصندوق المحيط ثلاثي الأبعاد
8,3D computer vision,الرؤية الحاسوبية ثلاثية الأبعاد
9,3D convolutional network,شبكة تلافيفية ثلاثية الأبعاد
10,3D geometry,الهندسة ثلاثية الأبعاد
11,3D human pose estimation,تقدير وضعية الإنسان ثلاثية الأبعاد
12,3D localization,توطين ثلاثي الأبعاد
13,3D mesh,شبكة ثلاثية الأبعاد
14,3D model,نموذج ثلاثي الأبعاد
15,3D object detection,الكشف عن الأجسام ثلاثية الأبعاد
16,3D point,نقطة ثلاثية الأبعاد
17,3D point cloud,سحابة نقاط ثلاثية الأبعاد
18,3D pose,وضعية ثلاثية الأبعاد
19,3D reconstruction,إعادة الإعمار ثلاثية الأبعاد
20,3D scene,مشهد ثلاثي الأبعاد
21,3D scene geometry,هندسة المشهد ثلاثي الأبعاد
22,3D structure,بنية ثلاثية الأبعاد
23,5-fold cross validation,التحقق المتقاطع بخمس طيات
24,A * algorithm,خوارزمية A*
25,A/B test,اختبار A/B
26,A2C,A2C
27,AI,AI
28,AI ethics,أخلاقيات الذكاء الاصطناعي
29,API,API
30,AQA,AQA
31,ARENA,ARENA
32,Ablation study,دراسة الاجتثاث
33,Adafactor,أدافاكتور
34,Adam,آدم
35,Adam algorithm,خوارزمية آدم
36,Adam optimiser,مُحسِّن آدم
37,Adam optimization,تحسين آدم
38,Adam optimization algorithm,خوارزمية تحسين آدم
39,Adam optimizer,خوارزمية آدم
40,Adapter,المحول
41,AmbigQA,AmbigQA
42,Answer Set Programming,برمجة مجموعة الإجابات
43,Apriori,أبريوري
44,Apriori algorithm,خوارزمية أبريوري
45,Arcade Learning Environment,بيئة تعلم الأركيد
46,Autonomous Systems,الأنظمة المستقلة
47,Average Pool,تجميع متوسط
48,Average Precision,متوسط ​​الدقة
49,Azuma-Hoeffding inequality,متباينة أزوما-هوفدينج
50,B-spline,بي-سبلاين
51,BART,BART
52,BERT,بيرت
53,BERTs,BERTs
54,BETO,BETO
55,BIO,BIO
56,BLEU,BLEU
57,BPE,BPE
58,BSARD,BSARD
59,Backbone,العمود الفقري
60,Backpropagation,انتشار عكسي
61,Basis Pursuit,السعي وراء الأساس
62,Baum-Welch algorithm,خوارزمية باوم-ويلش
63,Bayes,بايز
64,Bayes classifier,مصنف بايز
65,Bayes factor,عامل بايز
66,Bayes formula,معادلة بايز
67,Bayes net,شبكة بايزية
68,Bayes optimal classifier,مصنف بايز الأمثل
69,Bayes risk,مخاطر بايزي
70,Bayes risk decoding,فك تشفير مخاطرة بايز الدنيا
71,Bayes rule,قاعدة بايز
72,Bayes theorem,مبرهنة بايز
73,Bayes-Nash equilibrium,توازن بايز-ناش
74,Bayesian Information Criterion,معيار بايزين للمعلومات
75,Bayesian active learning,التعلم النشط البايزي
76,Bayesian analysis,التحليل البايزي
77,Bayesian approach,النهج البايزي
78,Bayesian clustering,التجميع البايزي
79,Bayesian decision,قرار بايزي
80,Bayesian deep learning,التعلم العميق البايزي
81,Bayesian evidence,الدليل البيزي
82,Bayesian framework,الإطار البايزي
83,Bayesian game,اللعبة البايزية
84,Bayesian inference,الاستدلال البايزي
85,Bayesian learning,التعلم البايزي
86,Bayesian method,الأساليب البايزية
87,Bayesian model,النموذج البايزي
88,Bayesian network,شبكة بايزية
89,Bayesian neural network,شبكة عصبية بايزية
90,Bayesian optimization,التحسين البايزي
91,Bayesian perspective,المنظور البايزي
92,Bayesian probabilistic model,نموذج احتمالي بيزي
93,Bayesian programming,برمجة بايزية
94,Bayesian update,التحديث البايزي
95,Bellman,بيلمان
96,Bellman backup,النسخ الاحتياطي لبيلمان
97,Bellman equation,معادلة بيلمان
98,Bellman error,خطأ بيلمان
99,Bellman operator,مشغل بيلمان
100,Berkeley parser,مُحلّل بيركلي
101,Berkeley segmentation dataset,مجموعة بيانات بيركلي للتجزئة
102,Bernoulli,برنولي
103,Bernoulli distribution,توزيع برنولي
104,Bernoulli likelihood,احتمالية برنولي
105,Bernoulli random variable,المتغير العشوائي برنولي
106,Bernoulli sampling,أخذ العينات برنولي
107,Bernoulli trial,تجربة برنولي
108,Bernoulli variable,متغير برنولي
109,Bernstein's inequality,متباينة برنشتاين
110,Bethe approximation,تقريب بيث
111,Bhattacharyya coefficient,معامل بهاتشاريا
112,Bloom filter,مرشح بلوم
113,Boltzmann distribution,توزيع بولتزمان
114,Boltzmann exploration,استكشاف بولتزمان
115,Bonferroni correction,تصحيح بونفيروني
116,Boolean formula,صيغة بوليانية
117,Boolean function,دالة بوليانية
118,Boolean variable,متغير بولياني
119,Borda scores,نقاط بوردا
120,Bradley-Terry Model,نموذج برادلي-تيري
121,Branch and Bound,التفرع والتقيد
122,Bregman divergence,تباعد بريغمان
123,Bregman's method,طريقة بريغمان
124,Bundle adjustment,ضبط الحزمة
125,Byte-Pair Encoding,ترميز زوج البايتات
126,CAS,CAS
127,CDA,CDA
128,CEAS,CEAS
129,CLIP,CLIP
130,CLS,CLS
131,CONLL,CoNLL
132,CRF,CRF
133,Caltech-101,مجموعة بيانات كالتك-101
134,CamemBERT,CamemBERT
135,Canny detector,كاشف كاني
136,Canny edge detector,كاشف حواف كاني
137,Chamfer Distance,مسافة شامفر
138,Charniak parser,محلل تشارنيك
139,Chebyshev acceleration,تسريع تشيبيشيف
140,Chebyshev polynomial,كثيرات الحدود تشيبيشيف
141,Chernoff bound,حد تشيرنوف
142,Cholesky decomposition,تحليل تشوليسكي
