,Unnamed: 0,word,gold,exact_match_ratio,prediction_count,prediction_ratio,validated_translation,reason,back_translations
0,0,10-fold cross validation,التحقق المتقاطع بمقدار ١٠ أضعاف,0.0,8,"[{'word': 'التحقق المتبادل بــ 10 طيات', 'ratio': 0.125}, {'word': 'توزيع الاحتمال المشترك', 'ratio': 0.125}, {'word': 'التحقق المتبادل بعشر طيات', 'ratio': 0.125}, {'word': 'التحقق المتقاطع ذو العشر طيات', 'ratio': 0.125}, {'word': 'التحقق المتقاطع بعشرة طيات', 'ratio': 0.125}, {'word': 'التحقق المتبادل 10 مرات', 'ratio': 0.125}, {'word': 'التحقق المتقاطع بعشرة أضعاف', 'ratio': 0.125}, {'word': 'التحقق المتقاطع بعشر طيات', 'ratio': 0.125}]",التحقق المتقاطع بعشر طيات,"```
1. Candidate: ""التحقق المتقاطع بعشر طيات""

2. Explanation: The candidate ""التحقق المتقاطع بعشر طيات"" is the best fit because it accurately captures the concept of ""10-fold cross validation"" in the context of AI and machine learning. The term ""التحقق المتقاطع"" (cross-validation) is widely used in the Arabic-speaking AI community to describe the process of partitioning a dataset into subsets to validate the model's performance. The phrase ""بعشر طيات"" (ten-fold) correctly specifies the division into ten parts, which is crucial for understanding the methodology being described. The back translation ""Ten-fold cross-validation"" confirms the semantic accuracy and contextual fit, ensuring that the technical meaning is preserved in both languages.
```","['10x cross validation', 'Cross-validation 10 times', 'Tenfold cross validation', 'Ten-fold cross-validation', 'Ten-fold cross-validation', '10-fold cross-validation', 'Ten-fold cross-validation', 'Joint probability distribution', 'Ten-fold cross-validation']"
1,1,1D convolution,1D الإلتواء,0.0,8,"[{'word': 'الالتفاف أحادي الأبعاد', 'ratio': 0.375}, {'word': 'الالتفاف أحادي البعد', 'ratio': 0.375}, {'word': 'توزيع الاحتمال المشترك', 'ratio': 0.125}, {'word': 'الالتفاف أحادي البُعد', 'ratio': 0.125}]",الالتفاف أحادي البُعد,"```
1. Candidate: ""الالتفاف أحادي البُعد""
2. Explanation: The candidate ""الالتفاف أحادي البُعد"" is the best fit because it accurately translates ""1D convolution"" into Arabic while maintaining the technical meaning used in the AI domain. The term ""الالتفاف"" is commonly used in Arabic to refer to ""convolution,"" which is a fundamental operation in neural networks, particularly in convolutional neural networks (CNNs). The phrase ""أحادي البُعد"" correctly conveys ""one-dimensional,"" aligning with the context of applying convolution over a single dimension, such as time or space, which is typical in signal processing and AI applications. The back translation ""One-dimensional convolution"" confirms the semantic accuracy and contextual fit of the translation.
```","['One-dimensional convolution', '1D convolution', 'One-dimensional convolution', 'Joint probability distribution', 'One-dimensional convolution']"
2,2,2 norm,معيار 2,0.25,8,"[{'word': 'معيار 2', 'ratio': 0.25}, {'word': 'المعيار الثاني', 'ratio': 0.25}, {'word': 'القاعدة 2', 'ratio': 0.125}, {'word': 'توزيع الاحتمال المشترك', 'ratio': 0.125}, {'word': 'النورم 2', 'ratio': 0.125}, {'word': 'المعيار 2', 'ratio': 0.125}]",النورم 2,"```
1. Candidate: ""النورم 2""
2. Explanation: The term ""النورم 2"" is the best translation candidate because it directly translates to ""Norm 2,"" which accurately reflects the mathematical concept of the 2-norm (or Euclidean norm) used in AI and mathematical contexts. This term is widely recognized in the field of mathematics and AI, ensuring semantic accuracy and contextual fit. The back translation also confirms the intended meaning without introducing ambiguity, making it the most suitable choice for domain-specific usage.
```","['Rule 2', 'Norm 2', '2 rule', 'The second criterion', 'Joint probability distribution', 'Standard 2', 'Standard 2']"
3,3,2D convolution,الإلتواء 2D,0.0,8,"[{'word': 'الالتفاف ثنائي الأبعاد', 'ratio': 0.75}, {'word': 'توزيع الاحتمال المشترك', 'ratio': 0.125}, {'word': 'الالتفاف ثنائي البُعد', 'ratio': 0.125}]",الالتفاف ثنائي الأبعاد,{},[]
4,4,2D image,صورة ثنائية الأبعاد,0.875,8,"[{'word': 'صورة ثنائية الأبعاد', 'ratio': 0.875}, {'word': 'توزيع الاحتمال المشترك', 'ratio': 0.125}]",صورة ثنائية الأبعاد,{},[]
5,5,2D image synthesis,تخليق صور ثنائية الأبعاد,0.0,9,"[{'word': 'توليد الصور ثنائية الأبعاد', 'ratio': 0.5555555555555556}, {'word': 'تركيب الصور ثنائية الأبعاد', 'ratio': 0.2222222222222222}, {'word': 'تمثيل متجه', 'ratio': 0.1111111111111111}, {'word': 'توليف الصور ثنائية الأبعاد', 'ratio': 0.1111111111111111}]",توليد الصور ثنائية الأبعاد,{},[]
6,6,2D-3D correspondence,المراسلات ثنائية وثلاثية الأبعاد,0.0,9,"[{'word': 'تطابق ثنائي وثلاثي الأبعاد', 'ratio': 0.2222222222222222}, {'word': 'مطابقة ثنائية الأبعاد وثلاثية الأبعاد', 'ratio': 0.2222222222222222}, {'word': 'التماثل ثنائي-ثلاثي الأبعاد', 'ratio': 0.1111111111111111}, {'word': 'تمثيل متجه', 'ratio': 0.1111111111111111}, {'word': 'تطابق 2D-3D', 'ratio': 0.1111111111111111}, {'word': 'مطابقة ثنائية-ثلاثية الأبعاد', 'ratio': 0.1111111111111111}, {'word': 'تطابق ثنائي الأبعاد وثلاثي الأبعاد', 'ratio': 0.1111111111111111}]",المراسلات ثنائية وثلاثية الأبعاد,"```
1. Candidate: ""المراسلات ثنائية وثلاثية الأبعاد""

2. Explanation: The term ""المراسلات ثنائية وثلاثية الأبعاد"" translates back to ""2D and 3D correspondence,"" which closely aligns with the original English term. In the context of AI and computer vision, ""correspondence"" refers to the relationship or mapping between points in two-dimensional and three-dimensional spaces, which is crucial for tasks like pose estimation and object detection. This candidate accurately captures the concept of establishing a relationship between 2D and 3D data, which is essential for the described AI applications. Other candidates like ""مطابقة"" (matching) or ""تماثل"" (symmetry) do not fully convey the idea of correspondence, which involves more than just matching or symmetry; it involves a specific mapping or relationship that is learned or established between two different dimensional spaces. Therefore, ""المراسلات ثنائية وثلاثية الأبعاد"" is the most semantically accurate and contextually appropriate translation for the AI domain-specific usage.
```","['2D-3D matching', 'Two-dimensional symmetry', '2D and 3D matching', 'Match 2D-3D', '2D and 3D correspondence', 'Vector representation', '2D and 3D matching', '2D and 3D matching']"
7,7,3D bounding box,صندوق احتواء ثلاثي الأبعاد,0.0,9,"[{'word': 'صندوق محيط ثلاثي الأبعاد', 'ratio': 0.4444444444444444}, {'word': 'الصندوق المحيط ثلاثي الأبعاد', 'ratio': 0.2222222222222222}, {'word': 'صندوق الإحاطة ثلاثي الأبعاد', 'ratio': 0.1111111111111111}, {'word': 'تمثيل متجه', 'ratio': 0.1111111111111111}, {'word': 'صندوق تحديد ثلاثي الأبعاد', 'ratio': 0.1111111111111111}]",الصندوق المحيط ثلاثي الأبعاد,"```
1. Candidate: ""الصندوق المحيط ثلاثي الأبعاد""
2. Explanation: The term ""الصندوق المحيط ثلاثي الأبعاد"" is the best fit for translating ""3D bounding box"" in the context of AI and computer vision. This translation accurately captures the concept of a ""bounding box"" as a spatial enclosure that defines the limits of an object in three-dimensional space. The term ""المحيط"" (bounding) conveys the idea of surrounding or enclosing, which is essential for understanding the function of a bounding box in AI applications, such as object detection and 3D modeling. Additionally, the back translation to ""3D bounding box"" confirms the semantic accuracy and contextual fit, ensuring that the term is understood correctly in both languages within the AI domain.
```","['3D bounding box', '3D selection box', 'Vector representation', '3D bounding box', '3D bounding box', '3D bounding box']"
8,8,3D computer vision,الرؤية الحاسوبية ثلاثية الأبعاد,0.4444444444444444,9,"[{'word': 'الرؤية الحاسوبية ثلاثية الأبعاد', 'ratio': 0.4444444444444444}, {'word': 'رؤية الكمبيوتر ثلاثية الأبعاد', 'ratio': 0.3333333333333333}, {'word': 'تمثيل متجه', 'ratio': 0.1111111111111111}, {'word': 'رؤية الحاسوب ثلاثية الأبعاد', 'ratio': 0.1111111111111111}]",الرؤية الحاسوبية ثلاثية الأبعاد,"```
1. Candidate: ""الرؤية الحاسوبية ثلاثية الأبعاد""
2. Explanation: The candidate ""الرؤية الحاسوبية ثلاثية الأبعاد"" is the best fit because it accurately captures the concept of ""3D computer vision"" in the context of AI and computer science. The term ""الرؤية الحاسوبية"" specifically refers to ""computer vision,"" which is a well-established term in the AI domain, ensuring semantic accuracy. The addition of ""ثلاثية الأبعاد"" clearly denotes the 3D aspect, maintaining the original meaning. The back translation also aligns perfectly with the English term, confirming its contextual fit and precision in the AI field.
```","['3D computer vision', '3D computer vision', 'Vector representation', '3D computer vision', '3D computer vision']"
9,9,3D convolutional network,شبكة تلافيفية ثلاثية الأبعاد,0.1111111111111111,9,"[{'word': 'شبكة التلافيف ثلاثية الأبعاد', 'ratio': 0.5555555555555556}, {'word': 'تمثيل متجه', 'ratio': 0.1111111111111111}, {'word': 'شبكة تلافيف ثلاثية الأبعاد', 'ratio': 0.1111111111111111}, {'word': 'شبكة تلافيفية ثلاثية الأبعاد', 'ratio': 0.1111111111111111}, {'word': 'شبكة الالتفاف ثلاثية الأبعاد', 'ratio': 0.1111111111111111}]",شبكة التلافيف ثلاثية الأبعاد,{},[]
