,english,chinese,arabic,french,russian,japanese,english_lemma
0,modeling,造型,نمذجة,modélisation,моделирование,モデリング,modeling
1,linguistics,语言学,لغويات,linguistiques,языкознания,言語学,linguistic
2,source,来源,مصدر,source,источник,ソース,source
3,NLP,自然语言处理,معالجة اللغة الطبيعية,TAL traitement automatique du langage naturel,NLP,自然言語処理,NLP
4,vocabulary,词汇,مفردات,vocabulaire,словарь,語彙,vocabulary
5,speech,语音,الكلام,dicours,речь,スピーチ,speech
7,CRF,CRF,CRF,CRF,CRF,CRF,CRF
8,training,训练,تدريب,formation,обучение,訓練,training
9,OOV,OOV,OOV,OOV,OOV,OOV,OOV
10,corpus,语料库,مجموعة,corpus,корпус,コーパス,corpus
11,CONLL,CoNLL,CoNLL,CoNLL,CoNLL,CoNLL,CONLL
12,BIO,BIO,BIO,BIO,BIO,BIO,BIO
13,encoding,编码,تشفير,encodage,кодировка,エンコーディング,encoding
14,encode,编码,تشفير,encode,кодировать,エンコード,encode
16,BETO,BETO,BETO,BETO,BETO,BETO,BETO
19,BERT,BERT,بيرت,Représentations d'encodeurs bidirectionnels à partir de transformateurs,BERT,BERT,BERT
20,BPE,BPE,BPE,BPE,BPE,BPE,BPE
21,LinCE,LinCE,LinCE,LinCE,LinCE,LinCE,LinCE
22,KinyaBERT,KinyaBERT,KinyaBERT,KinyaBERT,KinyaBERT,KinyaBERT,KinyaBERT
23,morphology,形态学,مورفولوجيا,morphologique,морфология,語形論,morphology
24,tokenization,标记化,الترميز,marquage,токенизация,トークン化,tokenization
25,subword,子词,الكلمات الفرعية,sous-mot,подсловие,サブ単語,subword
27,oracle,甲骨文,أوراكل,oracle,оракул,Oracle,oracle
28,compositionality,组合性,نمذجة التركيبة,compositionnalité,композиционность,構成の可能性,compositionality
29,tagger,标记器,علامة,marqueurs,теггер,タグ付け部,tagger
30,inference,推理,استدلال,inférence,вывод,推論,inference
31,decoding,解码,فك تشفير,décodage,расшифровка,デコーディング,decoding
32,ICLR,ICLR,ICLR,ICLR,ICLR,ICLR,ICLR
34,attention,注意力,انتباه,attention,внимание,アテンション,attention
35,computation,计算,حساب,calcul,вычисление,計算,computation
36,prediction,预测,تنبؤ,prévention,предсказание,予測,prediction
37,classification,分类,لتصنيف,classification,классификация,分類,classification
38,XLM,XLM,XLM,XLM,XLM,XLM,XLM
39,corpora,语料库,المجاميع,corpus,корпуса,コーパス,corpora
41,gradient,坡度,تدرج,pente,градиент,傾度,gradient
42,GLUE,GLUE,GLUE,GLUE,GLUE,GLUE,GLUE
43,finetuning,微调,الضبط الدقيق,raffinement,тонкая настройка,微調整,finetuning
44,evaluation,评估,تقييم,évaluation,оценка,評価,evaluation
45,regression,回归,تراجع,régression,регрессия,回帰,regression
46,ablation,消融,استئصال,ablation,абляция,アブレーション,ablation
47,AI,人工智能,AI,Intelligence artificielle,AI,AI,AI
48,decoder,解码器,وحدة فك الترميز,décodeur,дешифратор,デコーダ,decoder
49,target,目标,هدف,cible,цель,ターゲット,target
51,softmax,softmax,softmax,softmax,софтмакс,softmax,softmax
52,summarization,总结,تلخيص,synthèse,суммирования,要約,summarization
53,PubMed,PubMed,PubMed,PubMed,ПабМед,PubMed,PubMed
54,dialogue,对话,حوار,dialogue,диалог,ダイアログ,dialogue
55,parallel,平行线,متوازي,parallèle,параллельный, 並列,parallel
56,structure,结构体,بنية,structure,структура,構成,structure
57,BART,BART,BART,BART,BART,BART,BART
58,parser,解析器,محلل,analyseur,синтаксический анализатор,パーサー,parser
59,FLR,FLR,FLR,FLR,FLR,FLR,FLR
60,SMCalFlow,SMCalFlow,SMCalFlow,SMCalFlow,SMCalFlow,SMCalFlow,SMCalFlow
