Input.index,WorkerId,Input.English,Input.French,Answer.translation
0,A14F5XX4Y4KG9P,10-fold cross validation,validation croisée 10 fois,10-fold cross validation: validation croisée en 10 plis
0,A14F5XX4Y4KG9P,1D convolution,Convolution 1D,1D convolution: convolution 1D
0,A14F5XX4Y4KG9P,2 norm,norme 2,2 norm: norme 2
0,A14F5XX4Y4KG9P,2D convolution,convolution 2D,2D convolution: convolution 2D
0,A14F5XX4Y4KG9P,2D image,image 2D,2D image: image 2D
0,A1DEIZQB0X8KNT,10-fold cross validation,validation croisée 10 fois,validation croisée à 10 volets
0,A1DEIZQB0X8KNT,1D convolution,Convolution 1D,convolution 1D
0,A1DEIZQB0X8KNT,2 norm,norme 2,norme 2
0,A1DEIZQB0X8KNT,2D convolution,convolution 2D,convolution 2D
0,A1DEIZQB0X8KNT,2D image,image 2D,image 2D
0,A1DP3WNXZKMBVL,10-fold cross validation,validation croisée 10 fois,Validation croisée à 10 volets
0,A1DP3WNXZKMBVL,1D convolution,Convolution 1D,Convolution 1D
0,A1DP3WNXZKMBVL,2 norm,norme 2,Norme 2
0,A1DP3WNXZKMBVL,2D convolution,convolution 2D,Convolution 2D
0,A1DP3WNXZKMBVL,2D image,image 2D,Image 2D
0,A1S9SJ5CZTZH1M,10-fold cross validation,validation croisée 10 fois,validation croisée en 10 plis
0,A1S9SJ5CZTZH1M,1D convolution,Convolution 1D,convolution 1D
0,A1S9SJ5CZTZH1M,2 norm,norme 2,norme 2
0,A1S9SJ5CZTZH1M,2D convolution,convolution 2D,convolution 2D
0,A1S9SJ5CZTZH1M,2D image,image 2D,image 2D
0,A21RTAAAV3BQ1U,10-fold cross validation,validation croisée 10 fois,validation croisée à 10 volets
0,A21RTAAAV3BQ1U,1D convolution,Convolution 1D,convolution 1D
0,A21RTAAAV3BQ1U,2 norm,norme 2,norme 2
0,A21RTAAAV3BQ1U,2D convolution,convolution 2D,convolution 2D
0,A21RTAAAV3BQ1U,2D image,image 2D,image 2D
0,A3JDSO90RW8ORC,10-fold cross validation,validation croisée 10 fois,validation croisée à 10 volets
0,A3JDSO90RW8ORC,1D convolution,Convolution 1D,convolution 1D
0,A3JDSO90RW8ORC,2 norm,norme 2,norme 2
0,A3JDSO90RW8ORC,2D convolution,convolution 2D,convolution 2D
0,A3JDSO90RW8ORC,2D image,image 2D,image 2D
0,A3JPQAK02PUM87,10-fold cross validation,validation croisée 10 fois,validation croisée à 10 volets
0,A3JPQAK02PUM87,1D convolution,Convolution 1D,convolution 1D
0,A3JPQAK02PUM87,2 norm,norme 2,norme 2
0,A3JPQAK02PUM87,2D convolution,convolution 2D,convolution 2D
0,A3JPQAK02PUM87,2D image,image 2D,image 2D
0,AATNSR9QAYC5Q,10-fold cross validation,validation croisée 10 fois,validation croisée à 10 plis
0,AATNSR9QAYC5Q,1D convolution,Convolution 1D,convolution 1D
0,AATNSR9QAYC5Q,2 norm,norme 2,norme 2
0,AATNSR9QAYC5Q,2D convolution,convolution 2D,convolution 2D
0,AATNSR9QAYC5Q,2D image,image 2D,image 2D
0,ACS6S6YQWPTZ1,10-fold cross validation,validation croisée 10 fois,validation croisée à 10 plis
0,ACS6S6YQWPTZ1,1D convolution,Convolution 1D,convolution 1D
0,ACS6S6YQWPTZ1,2 norm,norme 2,norme 2
0,ACS6S6YQWPTZ1,2D convolution,convolution 2D,convolution 2D
0,ACS6S6YQWPTZ1,2D image,image 2D,image 2D
0,AJFSM5DLXF59T,10-fold cross validation,validation croisée 10 fois,validation croisée à 10 plis
0,AJFSM5DLXF59T,1D convolution,Convolution 1D,convolution 1D
0,AJFSM5DLXF59T,2 norm,norme 2,norme 2
0,AJFSM5DLXF59T,2D convolution,convolution 2D,convolution 2D
0,AJFSM5DLXF59T,2D image,image 2D,image 2D
1,A1DEIZQB0X8KNT,2D image synthesis,synthèse d'images 2D,synthèse d'images 2D
1,A1DEIZQB0X8KNT,2D-3D correspondence,correspondances 2d-3d,correspondance 2D-3D
1,A1DEIZQB0X8KNT,3D bounding box,boîte englobante 3D,boîte englobante 3D
1,A1DEIZQB0X8KNT,3D computer vision,Vision par ordinateur 3D,vision par ordinateur 3D
1,A1DEIZQB0X8KNT,3D convolutional network,réseau convolutionnel 3D,réseau de convolution 3D
1,A1DP3WNXZKMBVL,2D image synthesis,synthèse d'images 2D,synthèse d'images 2D
1,A1DP3WNXZKMBVL,2D-3D correspondence,correspondances 2d-3d,correspondance 2D-3D
1,A1DP3WNXZKMBVL,3D bounding box,boîte englobante 3D,boîte englobante 3D
1,A1DP3WNXZKMBVL,3D computer vision,Vision par ordinateur 3D,vision par ordinateur 3D
1,A1DP3WNXZKMBVL,3D convolutional network,réseau convolutionnel 3D,réseau convolutif 3D
1,A1S9SJ5CZTZH1M,2D image synthesis,synthèse d'images 2D,synthèse d'images 2D
1,A1S9SJ5CZTZH1M,2D-3D correspondence,correspondances 2d-3d,correspondance 2D-3D
1,A1S9SJ5CZTZH1M,3D bounding box,boîte englobante 3D,boîte englobante 3D
1,A1S9SJ5CZTZH1M,3D computer vision,Vision par ordinateur 3D,vision par ordinateur 3D
1,A1S9SJ5CZTZH1M,3D convolutional network,réseau convolutionnel 3D,réseau convolutionnel 3D
1,A21RTAAAV3BQ1U,2D image synthesis,synthèse d'images 2D,synthèse d'image 2D
1,A21RTAAAV3BQ1U,2D-3D correspondence,correspondances 2d-3d,correspondance 2D-3D
1,A21RTAAAV3BQ1U,3D bounding box,boîte englobante 3D,boîte englobante 3D
1,A21RTAAAV3BQ1U,3D computer vision,Vision par ordinateur 3D,vision par ordinateur 3D
1,A21RTAAAV3BQ1U,3D convolutional network,réseau convolutionnel 3D,réseau de convolution 3D
1,A2QG6WA7SYJY5Y,2D image synthesis,synthèse d'images 2D,synthèse d'images 2D
1,A2QG6WA7SYJY5Y,2D-3D correspondence,correspondances 2d-3d,correspondance 2D-3D
1,A2QG6WA7SYJY5Y,3D bounding box,boîte englobante 3D,boîte englobante 3D
1,A2QG6WA7SYJY5Y,3D computer vision,Vision par ordinateur 3D,vision par ordinateur 3D
1,A2QG6WA7SYJY5Y,3D convolutional network,réseau convolutionnel 3D,réseau de convolution 3D
1,A3JDSO90RW8ORC,2D image synthesis,synthèse d'images 2D,synthèse d'image 2D
1,A3JDSO90RW8ORC,2D-3D correspondence,correspondances 2d-3d,correspondance 2D-3D
1,A3JDSO90RW8ORC,3D bounding box,boîte englobante 3D,boîte englobante 3D
1,A3JDSO90RW8ORC,3D computer vision,Vision par ordinateur 3D,vision par ordinateur 3D
1,A3JDSO90RW8ORC,3D convolutional network,réseau convolutionnel 3D,réseau de convolution 3D
1,AATNSR9QAYC5Q,2D image synthesis,synthèse d'images 2D,synthèse d'images 2D
1,AATNSR9QAYC5Q,2D-3D correspondence,correspondances 2d-3d,correspondance 2D-3D
1,AATNSR9QAYC5Q,3D bounding box,boîte englobante 3D,boîte englobante 3D
1,AATNSR9QAYC5Q,3D computer vision,Vision par ordinateur 3D,vision par ordinateur 3D
1,AATNSR9QAYC5Q,3D convolutional network,réseau convolutionnel 3D,réseau de convolution 3D
1,ACS6S6YQWPTZ1,2D image synthesis,synthèse d'images 2D,synthèse d'images 2D
1,ACS6S6YQWPTZ1,2D-3D correspondence,correspondances 2d-3d,correspondance 2D-3D
1,ACS6S6YQWPTZ1,3D bounding box,boîte englobante 3D,boîte englobante 3D
1,ACS6S6YQWPTZ1,3D computer vision,Vision par ordinateur 3D,vision par ordinateur 3D
1,ACS6S6YQWPTZ1,3D convolutional network,réseau convolutionnel 3D,réseau de convolution 3D
1,AHX4W473FN5US,2D image synthesis,synthèse d'images 2D,synthèse d'images 2D
1,AHX4W473FN5US,2D-3D correspondence,correspondances 2d-3d,correspondance 2D-3D
1,AHX4W473FN5US,3D bounding box,boîte englobante 3D,boîte englobante 3D
1,AHX4W473FN5US,3D computer vision,Vision par ordinateur 3D,vision par ordinateur 3D
1,AHX4W473FN5US,3D convolutional network,réseau convolutionnel 3D,réseau de convolution 3D
1,AJFSM5DLXF59T,2D image synthesis,synthèse d'images 2D,synthèse d'images 2D
1,AJFSM5DLXF59T,2D-3D correspondence,correspondances 2d-3d,correspondance 2D-3D
1,AJFSM5DLXF59T,3D bounding box,boîte englobante 3D,boîte englobante 3D
