Index,English,Russian
0,10-fold cross validation,10-кратная кросс-валидация
1,1D convolution,1D свёртка
2,2 norm,2-норма
3,2D convolution,2D свёртка
4,2D image,2D изображение
5,2D image synthesis,Синтез 2D-изображений
6,2D-3D correspondence,2D-3D соответствие
7,3D bounding box,3D-ограничивающая коробка
8,3D computer vision,3D компьютерное зрение
9,3D convolutional network,3D свёрточная сеть
10,3D geometry,3D геометрия
11,3D human pose estimation,оценка 3D позы человека
12,3D localization,3D-локализация
13,3D mesh,3D сетка
14,3D model,3D модель
15,3D object detection,обнаружение 3D-объектов
16,3D point,3D-точка
17,3D point cloud,3D-облако точек
18,3D pose,3D поза
19,3D reconstruction,3D-реконструкция
20,3D scene,3D сцена
21,3D scene geometry,геометрия 3D-сцены
22,3D structure,3D-структура
23,5-fold cross validation,5-кратная кросс-валидация
24,A * algorithm,алгоритм A*
25,A/B test,А/Б-тестирование
26,A2C,A2C
27,AI,AI
28,AI-programming,ИИ-программирование
29,AND/OR graph,И/ИЛИ граф
30,API,API
31,AQA,AQA
32,ARENA,ARENA
33,Ablation study,исследование с абляцией
34,Adafactor,Adafactor
35,Adam,Адам
36,Adam algorithm,алгоритм Adam
37,Adam optimiser,оптимизатор Adam
38,Adam optimization,Оптимизация Адама
39,Adam optimization algorithm,Алгоритм оптимизации Адама
40,Adam optimizer,оптимизатор Адам
41,Adapter,адаптер
42,AmbigQA,AmbigQA
43,Answer Set Programming,Программирование на основе множеств ответов
44,Apriori,Априори
45,Apriori algorithm,Алгоритм Apriori
46,Arcade Learning Environment,Аркадная обучающая среда
47,Autonomous Systems,Автономные системы
48,Average Pool,среднее pooling
49,Average Precision,Средняя точность
50,Azuma-Hoeffding inequality,неравенство Азумы-Хёффдинга
51,B-spline,B-сплайн
52,BART,BART
53,BERT,BERT
54,BERTs,BERTs
55,BETO,BETO
56,BIO,BIO
57,BLEU,BLEU
58,BPE,BPE
59,BSARD,BSARD
60,Backbone,Основная модель
61,Backpropagation,Обратное распространение ошибки
62,Basis Pursuit,Поиск по базису
63,Baum-Welch algorithm,Алгоритм Баум-Уэлча
64,Bayes,Байес
65,Bayes classifier,Байесовский классификатор
66,Bayes factor,Байесовский фактор
67,Bayes formula,Формула Байеса
68,Bayes net,Байесовская сеть
69,Bayes optimal classifier,оптимальный классификатор Байеса
70,Bayes risk,Байесовский риск
71,Bayes risk decoding,декодирование минимального байесовского риска
72,Bayes rule,правило Байеса
73,Bayes theorem,Теорема Байеса
74,Bayes-Nash equilibrium,байесовско-Нэшевское равновесие
75,Bayesian Information Criterion,Байесовский информационный критерий
76,Bayesian active learning,Байесовское активное обучение
77,Bayesian analysis,Байесовский анализ
78,Bayesian approach,подход байесовский
79,Bayesian clustering,Байесовская кластеризация
80,Bayesian decision,байесовское решение
81,Bayesian deep learning,Байесовское глубокое обучение
82,Bayesian evidence,Байесовские доказательства
83,Bayesian framework,Байесовский подход
84,Bayesian game,Байесовская игра
85,Bayesian inference,Байесовский вывод
86,Bayesian learning,байесовское обучение
87,Bayesian method,Байесовский метод
88,Bayesian model,Байесовская модель
89,Bayesian network,Байесовская сеть
90,Bayesian optimization,Байесовская оптимизация
91,Bayesian perspective,Байесовская перспектива
92,Bayesian probabilistic model,Байесовская вероятностная модель
93,Bayesian update,байесовское обновление
94,Bellman,Беллмана
95,Bellman backup,оператор Беллмана
96,Bellman equation,уравнение Беллмана
97,Bellman error,Ошибка Беллмана
98,Bellman operator,оператор Беллмана
99,Berkeley parser,парсер Беркли
100,Berkeley segmentation dataset,набор данных сегментации Беркли
101,Bernoulli,Бернулли
102,Bernoulli distribution,распределение Бернулли
103,Bernoulli likelihood,правдоподобие Бернулли
104,Bernoulli random variable,Бернуллиевская случайная величина
105,Bernoulli sampling,Сэмплирование по Бернулли
106,Bernoulli trial,бернуллиевское испытание
107,Bernoulli variable,бернуллиевская переменная
108,Bernstein's inequality,Неравенство Бернштейна
109,Bethe approximation,Аппроксимация Бете
110,Bhattacharyya coefficient,Коэффициент Бхаттачарии
111,Bloom filter,Фильтр Блума
112,Boltzmann distribution,распределение Больцмана
113,Boltzmann exploration,исследование с использованием распределения Больцмана
114,Bonferroni correction,Поправка Бонферрони
115,Boolean formula,Булева формула
116,Boolean function,Булева функция
117,Boolean variable,булева переменная
118,Borda scores,оценки Борда
119,Bradley-Terry Model,модель Брэдли-Терри
120,Branch and Bound,метод ветвей и границ
121,Bregman divergence,Дивергенция Брегмана
122,Bregman's method,метод Брегмана
123,Bundle adjustment,Оптимизация по методу связок
124,Byte-Pair Encoding,Кодирование пар байтов
125,CAS,CAS
126,CDA,CDA
127,CEAS,CEAS
128,CLIP,CLIP
129,CLS,CLS
130,CONLL,CoNLL
131,CRF,CRF
132,Caltech-101,Калтех-101
133,CamemBERT,CamemBERT
134,Canny detector,детектор Кэнни
135,Canny edge detector,детектор краев Кэнни
136,Chamfer Distance,Расстояние Чамфера
137,Charniak parser,Парсер Чарняка
138,Chebyshev acceleration,ускорение Чебышева
139,Chebyshev polynomial,многочлен Чебышева
140,Chernoff bound,неравенство Чернова
141,Cholesky decomposition,разложение Холецкого
142,Cholesky factor,фактор Холецкого
143,Cholesky factorization,Факторизация Холецкого
144,Chomsky normal form,нормальная форма Хомского
145,Chu-Liu-Edmonds algorithm,алгоритм Чу-Лю-Эдмондса
146,Chung-Lu model,Модель Чунг-Лу
147,Church thesis,тезис Черча
148,CodeBERT,CodeBERT
149,Cohen's kappa,каппа Коэна
150,Cohen's kappa coefficient,Коэффициент каппы Коэна
151,Cohen's κ,Каппа Коэна
152,Combinatory Categorial Grammar,Комбинаторная категориальная грамматика
153,Commonsense Reasoning,здравый смысл рассуждений
154,Compressed sensing,Сжатое сенсирование
155,Computational linguistic,вычислительная лингвистика
156,Condition 1,Условие 1
157,Conditional Generation,условная генерация
158,Condorcet winner,победитель Кондорсе
159,Contrastive Learning,контрастивное обучение
160,Coreference Resolution,Разрешение кореференций
161,Coreset,коerset
162,Corpora,Корпора
163,Cosine distance,косинусное расстояние
164,Counterfactual Regret Minimization,Минимизация контрфактического сожаления
165,Cross Entropy Loss,Потеря кросс-энтропии
166,Datalog,Даталог
167,Datalog program,Программа Datalog
168,Dataset,датасет
169,Decentralized optimization,децентрализованная оптимизация
170,Decision Transformer,Transformer для принятия решений
171,Decomposable Attention,Разложимое внимание
172,Decomposable Attention Model,Модель разлагаемого внимания
173,Demographic Parity,Демографический паритет
174,Detectron,Detectron
175,Determinantal Point process,Процесс детерминантных точек
176,Dialogue State Tracking,Отслеживание состояния диалога
177,Dice coefficient,коэффициент Дайса
178,Dice loss,Функция потерь Дайса
179,Dijkstra's algorithm,алгоритм Дейкстры
180,Dirac distribution,распределение Дирака
181,Dirac measure,мера Дирака
182,Dirichlet,распределение Дирихле
183,Dirichlet Process,Процесс Дирихле
184,Dirichlet distribution,распределение Дирихле
185,Dirichlet prior,априорное распределение Дирихле
186,Disentanglement,Распутывание
187,Dropout distribution,распределение Dropout
188,E-step,E-шаг
189,Elastic Net,Эластичная сеть
190,Electra,Electra - Electra
191,Entity Linking,Связывание сущностей
192,Epanechnikov kernel,Ядро Епанечникова
193,Euclidean,евклидово
194,Euclidean distance,евклидово расстояние
195,Euclidean divergence,евклидова дивергенция
196,Euclidean loss,евклидова функция потерь
197,Euclidean norm,евклидова норма
198,Euclidean plane,Евклидова плоскость
199,Euclidean projection,евклидова проекция
200,Euclidean space,Евклидово пространство
201,Euclidean transformation,Евклидово преобразование
202,Euler angle,углы Эйлера
203,Euler step,шаг Эйлера
204,Exact Match,Точное совпадение
205,Extended Kalman Filter,расширенный фильтр Калмана
206,F-measure,F-мера
207,F-score,F-оценка
208,F1 measure,F1-мера
209,F1 metric,Метрика F1
210,F1 score,оценка F1
211,FLR,FLR
212,Fairseq,Fairseq
213,Fano's inequality,Неравенство Фано
214,Fast Fourier Transform,Быстрое преобразование Фурье
215,FeSTE,FeSTE
216,Feature Pyramid Network,Сеть пирамиды признаков
217,Federated Learning,Федеративное обучение
218,Fillmor case,падеж Филлмора
219,Fisher information matrix,Матрица информации Фишера
220,Fisher score,оценка Фишера
221,Fleiss' kappa,Каппа Флейсса
222,Floyd-Warshall algorithm,Алгоритм Флойда-Уоршалла
223,Focal Loss,Фокальная функция потерь
224,Fokker-Planck equation,Уравнение Фоккера-Планка
225,Fourier basis function,базисная функция Фурье
226,Fourier coefficient,коэффициент Фурье
227,Fourier feature,характеристика Фурье
228,Fourier frequency,Частота Фурье
229,Fourier transform,Преобразование Фурье
230,Frobenius inner product,внутреннее произведение Фробениуса
231,Frobenius norm,норма Фробениуса
232,Fréchet,Фреше
233,GLUE,GLUE
234,GPT,GPT
235,Gamma prior,априорное распределение Гамма
236,Gauss-Newton algorithm,Алгоритм Гаусса-Ньютона
237,Gauss-Seidel method,метод Гаусса-Зейделя
238,Gaussian blur,Гауссово размытие
239,Gaussian complexity,Гауссовская сложность
240,Gaussian component,гауссовская компонента
241,Gaussian conditional random field,Гауссовское условное случайное поле
242,Gaussian density,Гауссовская плотность
243,Gaussian distribution,Гауссово распределение
244,Gaussian elimination,гауссово исключение
245,Gaussian filter,фильтр Гаусса
246,Gaussian function,гауссова функция
247,Gaussian initialization,гауссовская инициализация
248,Gaussian kernel,гауссово ядро
249,Gaussian likelihood,гауссовское правдоподобие
250,Gaussian matrix,гауссовская матрица
251,Gaussian mixture,гауссовая смесь
252,Gaussian mixture model,модель гауссовой смеси
253,Gaussian model,гауссовская модель
254,Gaussian noise,гауссов шум
255,Gaussian prior,гауссов приор
256,Gaussian process,Гауссовский процесс
257,Gaussian process model,модель гауссовского процесса
258,Gaussian process regression,Регрессия гауссовского процесса
259,Gaussian random variable,Гауссовская случайная величина
260,Gaussian smoothing,гауссово сглаживание
261,Gaussian variable,Гауссовская переменная
262,Gaussian weight,Гауссов вес
263,Gene Ontology,Онтология генов
264,Gensim,Gensim
265,Gibbs iteration,Итерация Гиббса
266,Gibbs sampler,сэмплер Гиббса
267,Gibbs sampling,выборка Гиббса
268,Gini coefficient,Коэффициент Джини
269,Good-Turing estimate,Оценка Гуда-Тьюринга
270,GoogLeNet,GoogLeNet
271,Gram matrix,матрица Грама
272,Graph Transformer,трансформер графов
273,Gröbner basis,базис Грёбнера
274,Gumbel,Гумбелевское распределение
275,Gumbel distribution,распределение Гумбеля
276,Gumbel noise,Шум Гумбеля
277,Gumbel-softmax distribution,распределение Гумбеля-софтмакс
278,Haar wavelet,вейвлет Хаара
279,Hadamard matrix,Матрица Адамара
280,Hadamard product,Произведение Адамара
281,Hamiltonian Monte Carlo,Гамильтонианский метод Монте-Карло
282,Hamming distance,расстояние Хэмминга
283,Hamming loss,Потери Хэмминга
284,Hankel matrix,матрица Ханкеля
285,Hausdorff distance,Расстояние Хаусдорфа
286,Hedge algorithm,алгоритм Хеджа
287,Hellinger distance,расстояние Хеллингера
288,Helmholtz machine,машина Гельмгольца
289,Herbrand universum,универсум Эрбрана
290,Hessian matrix,матрица Гессе
291,Hessian-vector product,Произведение гессиана и вектора
292,Hiero system,Система Hiero
293,Hodge decomposition,Разложение Ходжа
294,Hoeffding's inequality,Неравенство Хёффдинга
295,Homography,Гомография
296,Horn clause,дизъюнкт Хорна
297,Horn theory,теория Хорна
298,HowTo100M,HowTo100M
299,Huber loss,Функция потерь Хубера
300,Huber norm,норма Хубера
301,Hungarian loss,венгерская потеря
302,Hyper-parameter,гиперпараметр
303,Hyperband,Гипербанд
304,Hyperparameter search,поиск гиперпараметров
305,ICLR,ICLR
306,IDF,IDF
307,In-context Learning,Обучение в контексте
308,Inception network,сеть Inception
309,Independent Cascade,независимый каскад
310,Independent Cascade Model,Модель независимого каскада
311,Influence Maximization,Максимизация влияния
312,Information Extraction,Извлечение информации
313,Informer model,модель Informer
314,Inside-Outside algorithm,Алгоритм Inside-Outside
315,Instance Normalization,Нормализация по экземпляру
316,Ising model,модель Изинга
317,Iverson bracket,Кронштейн Айверсона
318,Jaccard,индекс Жаккара
319,Jaccard index,Индекс Жаккара
320,Jaccard similarity,Сходство Жаккара
321,Jaccard similarity coefficient,коэффициент сходства Жаккара
322,Jacobian matrix,матрица Якоби
323,Jensen's inequality,неравенство Дженсена
324,Jensen-Shannon,дивергенция Дженсена-Шеннона
325,Jensen-Shannon divergence,дивергенция Дженсена-Шеннона
326,K-L divergence,Дивергенция Кульбака-Лейблера
327,K-means,метод K-средних
328,K-means algorithm,Алгоритм K-средних
329,K-means clustering,кластеризация методом K-средних
330,Kalman filter,фильтр Калмана
331,Kelly construct,конструкт Келли
332,Kendall's τ,τ Кендалла
333,Keras,Keras
334,Kernel,ядро
335,KinyaBERT,KinyaBERT
336,Kleene closure,замыкание Клини
337,Kneser-Ney smoothing,сглаживание Кнезера-Нея
338,Kolmogorov-Smirnov test,тест Колмогорова-Смирнова
339,Kripke model,модель Крипке
340,Krippendorff's α,α Криппендорфа
341,Kronecker delta,дельта Кронекера
342,Kronecker product,Продукт Кронекера
343,Kullback Leibler divergence,дивергенция Кульбака-Лейблера
344,L 1 -norm,L₁-норма
345,L 1 distance,L₁-расстояние
346,L 2 -norm,L₂-норма
347,L 2 distance,L₂-расстояние
348,L 2 loss,L₂-потеря
349,L 2 regularization,Регуляризация L2
350,L ∞ norm,L∞-норма
351,L1 bound,граница L1
352,L1 difference,разность L1
353,L1 loss,L1-потери
354,L1 penalty,L1 штраф
355,L1 regularization,регуляризация L1
356,L1 term,Член L1
357,L2 error,Ошибка L2
358,L2 regularisation,регуляризация L2
359,L2 regularizer,регуляризатор L2
360,L2 weight decay,L2-регуляризация весов
361,L2-normalization,L2-нормализация
362,LXMert,LXMert
363,Lagrange multiplier,множитель Лагранжа
