,english,chinese,arabic,french,russian,japanese,pos_tag
1,modeling,造型,نمذجة,modélisation,моделирование,モデリング,NOUN
2,lexical,词汇,معجمي,lexicale,словарный ,語彙的,ADJ
3,task,任务,مهمة,tâche,задача,タスク,NOUN
4,dataset,数据集,مجموعة بيانات,données,набор данных,データセット,NOUN
5,models,模型,نماذج,modèles,модели,モデル,NOUN
6,words,字,كلمات,mots,слова,単語,NOUN
7,language,语言,اللغة,langue,язык,言語,NOUN
11,linguistic,语言化,لغوي,linguistique,лингвистический,言語的,ADJ
12,languages,语言,لغات,langues,языки,言語,NOUN
14,grammar,语法,قواعد,grammaire,грамматика,文法,NOUN
15,linguistics,语言学,لغويات,linguistiques,языкознания,言語学,NOUN
16,source,来源,مصدر,source,источник,ソース,NOUN
17,NLP,自然语言处理,معالجة اللغة الطبيعية,TAL traitement automatique du langage naturel,NLP,自然言語処理,PROPN
18,vocabulary,词汇,مفردات,vocabulaire,словарь,語彙,NOUN
20,downstream,下游,البيانات المنخفضة,downstream,подчиненная,下流,ADJ
21,tasks,任务,مهام,tâches,задачи,タスク,NOUN
22,parsing,解析,تحليل,analyse syntaxique,парсинг,構文解析,VERB
23,text,文本,النص,texte,текст ,テキスト,NOUN
24,speech,语音,الكلام,dicours,речь,スピーチ,NOUN
26,detection,检测,كشف,detéction,обнаружение,検出,NOUN
29,extracting,提取,استخراج,extraction,извлечение,抽出,VERB
30,sentence,句子,جملة,phrase,предложение,文章,NOUN
31,spans,跨度,امتدادات,étendage,пяди,スパン,NOUN
32,texts,文本,نصوص,textes,тексты,テキスト,NOUN
34,word,单词,كلمة,mot,слово,単語,NOUN
35,CRF,CRF,CRF,CRF,CRF,CRF,PROPN
36,model,模型,نموذج,modèle,модель,モデル,NOUN
39,training,训练,تدريب,formation,обучение,訓練,NOUN
40,generalize,概括,التعميم,généralise,обобщить,一般化する,VERB
42,annotated,带注释,مشروحة,annoté,аннотированный,注釈付き,VERB
43,tokens,令牌,رموز,gages,маркеры,トークン,NOUN
44,OOV,OOV,OOV,OOV,OOV,OOV,PROPN
45,corpus,语料库,مجموعة,corpus,корпус,コーパス,PROPN
46,CONLL,CoNLL,CoNLL,CoNLL,CoNLL,CoNLL,PROPN
47,BIO,BIO,BIO,BIO,BIO,BIO,PROPN
48,encoding,编码,تشفير,encodage,кодировка,エンコーディング,NOUN
49,encode,编码,تشفير,encode,кодировать,エンコード,NOUN
50,token,令牌,رمز,gage,жетон,トークン,NOUN
52,labeled,标签化,مصنف,étiquetés,обозначеный,ラベル付き,VERB
53,features,特征,ميزات,fonctions,функции,機能,NOUN
54,binary,二进制,تصنيف ثنائي,binaire,двоичный,バイナリ,ADJ
55,transformer,转换器,محول,conversion,преобразователь ,トランスフォーマー,NOUN
56,BETO,BETO,BETO,BETO,BETO,BETO,PROPN
57,monolingual,单语,أحاديّ اللغة,monolingue,одноязычный,単一言語,ADJ
58,transformers,转换器,محولات,transformateurs,преобразователи,トランスフォーマー,NOUN
59,metrics,指标,مقاييس,indicateurs,метрики,メトリックス,NOUN
61,embeddings,嵌入,التضمينات,intégration,встраивания,埋込み,NOUN
63,contextualized,情境化,السياقية,contextualisé,контекстуализированный,文脈で理解できる,VERB
64,BERT,BERT,بيرت,Représentations d'encodeurs bidirectionnels à partir de transformateurs,BERT,BERT,PROPN
65,BPE,BPE,BPE,BPE,BPE,BPE,PROPN
66,pretrained,预训练,مدرب مسبقًا,pré-formation,предварительно обученный,事前訓練された,VERB
67,LinCE,LinCE,LinCE,LinCE,LinCE,LinCE,PROPN
68,resources,资源,الموارد,ressources,ресурсы,リソース,NOUN
70,embedding,嵌入,التضمين,intégration,внедрение,埋込み,VERB
