Input.index,WorkerId,Input.English,Input.Arabic,Answer.translation
0,A1WPT6LLCRWMDY,التحقق المتقاطع بمقدار ١٠ أضعاف,10-fold cross validation,التحقق المتبادل بــ 10 طيات
0,A1WPT6LLCRWMDY,1D الإلتواء,1D convolution,الالتفاف أحادي الأبعاد
0,A1WPT6LLCRWMDY,معيار 2,2 norm,القاعدة 2
0,A1WPT6LLCRWMDY,الإلتواء 2D,2D convolution,الالتفاف ثنائي الأبعاد
0,A1WPT6LLCRWMDY,صورة ثنائية الأبعاد,2D image,صورة ثنائية الأبعاد
0,A1YA58RRBN7NI4,التحقق المتقاطع بمقدار ١٠ أضعاف,10-fold cross validation,توزيع الاحتمال المشترك
0,A1YA58RRBN7NI4,1D الإلتواء,1D convolution,توزيع الاحتمال المشترك
0,A1YA58RRBN7NI4,معيار 2,2 norm,توزيع الاحتمال المشترك
0,A1YA58RRBN7NI4,الإلتواء 2D,2D convolution,توزيع الاحتمال المشترك
0,A1YA58RRBN7NI4,صورة ثنائية الأبعاد,2D image,توزيع الاحتمال المشترك
0,A2OTFVI83FT0QL,التحقق المتقاطع بمقدار ١٠ أضعاف,10-fold cross validation,التحقق المتبادل بعشر طيات
0,A2OTFVI83FT0QL,1D الإلتواء,1D convolution,الالتفاف أحادي البُعد
0,A2OTFVI83FT0QL,معيار 2,2 norm,معيار 2
0,A2OTFVI83FT0QL,الإلتواء 2D,2D convolution,الالتفاف ثنائي البُعد
0,A2OTFVI83FT0QL,صورة ثنائية الأبعاد,2D image,صورة ثنائية الأبعاد
0,A33S3NQJEHPOMN,التحقق المتقاطع بمقدار ١٠ أضعاف,10-fold cross validation,التحقق المتقاطع ذو العشر طيات
0,A33S3NQJEHPOMN,1D الإلتواء,1D convolution,الالتفاف أحادي البعد
0,A33S3NQJEHPOMN,معيار 2,2 norm,النورم 2
0,A33S3NQJEHPOMN,الإلتواء 2D,2D convolution,الالتفاف ثنائي الأبعاد
0,A33S3NQJEHPOMN,صورة ثنائية الأبعاد,2D image,صورة ثنائية الأبعاد
0,A36CA3E5LT6I1P,التحقق المتقاطع بمقدار ١٠ أضعاف,10-fold cross validation,التحقق المتقاطع بعشرة طيات
0,A36CA3E5LT6I1P,1D الإلتواء,1D convolution,الالتفاف أحادي البعد
0,A36CA3E5LT6I1P,معيار 2,2 norm,المعيار الثاني
0,A36CA3E5LT6I1P,الإلتواء 2D,2D convolution,الالتفاف ثنائي الأبعاد
0,A36CA3E5LT6I1P,صورة ثنائية الأبعاد,2D image,صورة ثنائية الأبعاد
0,A3HDXVNO786Z0L,التحقق المتقاطع بمقدار ١٠ أضعاف,10-fold cross validation,التحقق المتبادل 10 مرات
0,A3HDXVNO786Z0L,1D الإلتواء,1D convolution,الالتفاف أحادي الأبعاد
0,A3HDXVNO786Z0L,معيار 2,2 norm,المعيار 2
0,A3HDXVNO786Z0L,الإلتواء 2D,2D convolution,الالتفاف ثنائي الأبعاد
0,A3HDXVNO786Z0L,صورة ثنائية الأبعاد,2D image,صورة ثنائية الأبعاد
0,A5LL8EKITZLQ0,التحقق المتقاطع بمقدار ١٠ أضعاف,10-fold cross validation,التحقق المتقاطع بعشرة أضعاف
0,A5LL8EKITZLQ0,1D الإلتواء,1D convolution,الالتفاف أحادي البعد
0,A5LL8EKITZLQ0,معيار 2,2 norm,المعيار الثاني
0,A5LL8EKITZLQ0,الإلتواء 2D,2D convolution,الالتفاف ثنائي الأبعاد
