,Unnamed: 0,word,gold,exact_match_ratio,prediction_count,prediction_ratio,validated_translation,reason,back_translations
0,0,AI,AI,0.0,10,"[{'word': 'ИИ', 'ratio': 1.0}]",ИИ,{},[]
1,1,API,API,1.0,10,"[{'word': 'API', 'ratio': 1.0}]",API,{},[]
2,2,AQA,AQA,0.7,10,"[{'word': 'AQA', 'ratio': 0.7}, {'word': 'АКА', 'ratio': 0.2}, {'word': 'Академия качественной аналитики', 'ratio': 0.1}]",AQA,{},[]
3,3,ARENA,ARENA,0.4,10,"[{'word': 'АРЕНА', 'ratio': 0.6}, {'word': 'ARENA', 'ratio': 0.4}]",АРЕНА,{},[]
4,4,Additionally,Дополнительно,0.8,10,"[{'word': 'Дополнительно', 'ratio': 0.8}, {'word': 'дополнительно', 'ratio': 0.2}]",Дополнительно,{},[]
5,5,AmbigQA,AmbigQA,0.6,10,"[{'word': 'AmbigQA', 'ratio': 0.6}, {'word': 'АмбигКА', 'ratio': 0.2}, {'word': 'АмбигQA', 'ratio': 0.2}]",AmbigQA,{},[]
6,6,Architectures,Архитектуры,0.9,10,"[{'word': 'Архитектуры', 'ratio': 0.9}, {'word': 'разбиение графа', 'ratio': 0.1}]",Архитектуры,{},[]
7,7,BART,BART,0.7,10,"[{'word': 'BART', 'ratio': 0.7}, {'word': 'БАРТ', 'ratio': 0.2}, {'word': 'BART BART', 'ratio': 0.1}]",BART,{},[]
8,8,BERT,BERT,0.8,10,"[{'word': 'BERT', 'ratio': 0.8}, {'word': 'БЕРТ', 'ratio': 0.2}]",BERT,{},[]
9,9,BERTs,BERTs,0.1,10,"[{'word': ""BERT'ы"", 'ratio': 0.5}, {'word': 'BERT-ы', 'ratio': 0.2}, {'word': 'BERT’ы', 'ratio': 0.1}, {'word': 'BERTs', 'ratio': 0.1}, {'word': 'БЕРТ', 'ratio': 0.1}]",BERT'ы,{},[]
10,10,BETO,BETO,0.8,10,"[{'word': 'BETO', 'ratio': 0.8}, {'word': 'БЕТО', 'ratio': 0.2}]",BETO,{},[]
