,word,annotation6060,label60
0,decoder,المُفكِك,وحدة فك الترميز
2,CamemBERT,كاميمبيرت,CamemBERT
4,AI,الذكاء الاصطناعي,AI
7,spans,الأقسام,امتدادات
8,CRF,نموذج الحقول العشوائية المشروطة,CRF
9,systems,الأنظمة,نظم
11,OOV,خارج المفردات,OOV
12,PaLM,بالم,PaLM
13,morphological,المورفولوجي,مورفولوجي
15,NLI,استنتاج اللغة الطبيعية,NLI
16,BERTs,نماذج BERT,BERTs
17,CONLL,تنسيق كونل,CoNLL
18,VisualBERT,فيجوال بيرت,VisualBERT
19,corresponding,المطابق,تطابق
21,newswire,وكالة الأنباء,إخبارية
24,knowledge,المعرفة,معرفة
28,syntactic,نحوي,النحوي
29,translation,ترجمة,الترجمة
30,features,الميزات,ميزات
31,KinyaBERT,كينيا بيرت,KinyaBERT
34,search,بحث,البحث
35,sequences,تسلسلات,تسلسل
36,entities,الكيانات,كيانات
39,grounding,التأسيس,تأسيس
40,AmbigQA,أمبج كيو إيه,AmbigQA
41,English,الإنجليزية,إنجليزي
42,algorithms,الخوارزميات,خوارزميات
45,languages,اللغات,لغات
46,pretrained,مدرّب مسبقاً,مدرب مسبقًا
47,graph,الرسم البياني,رسم بياني
48,ViLBERT,فيلبرت,ViLBERT
50,subword,وحدة صرفية,الكلمات الفرعية
51,CodeBERT,كودبيرت,CodeBERT
52,computational,الحوسبة,الحسابية
53,regression,انحدار,تراجع
54,motivated,مدفوع,بدافع منهم
55,BART,بارت,BART
56,IDF,التردد العكسي في المستندات,IDF
57,VFL,دوري فيكتوريا لكرة القدم,VFL
59,dependencies,التبعيات,تبعيات
60,classifiers,المصنّفات,مصنفات
62,grammar,القواعد,قواعد
63,documents,الوثائق,مستندات
64,domains,المجالات,مجالات
65,annotations,التعليقات التوضيحية,تعليقات توضيحية
66,Semantic,دلالي,الدلاليّة
67,data,البيانات,بيانات
69,attention,الانتباه,انتباه
70,unseen,غير مرئي,غير المرئيي
72,queries,استعلامات,استفسارات
74,structured,منظم,منظمة
78,Moreover,علاوة على ذلك,وفضلا عن ذلك
81,contextualized,السياقي,السياقية
82,reasoning,التفكير,المنطق
83,sense,معنى,حسي
84,computation,الحساب,حساب
85,terminology,مصطلحات,مصطلح
86,BPE,ترميز BPE,BPE
88,binary,ثنائي,تصنيف ثنائي
90,FLR,تقليل زمن التأخير النهائي (FLR,FLR
91,Similar,مشابه,مماثلة
92,corpora,مجموعات نصوص,المجاميع
94,generalize,تعميم,التعميم
95,gradient,التدرج,تدرج
99,named,مسمى,مسماة
101,representations,التمثيلات,تمثيلات
104,tagging,الوسم,وضع علامات
105,morphologically,صرفياً,مورفولوجيا
108,ICLR,مؤتمر ICLR,ICLR
109,conversational,محادثاتي,حواري
110,downstream,المهام اللاحقة,البيانات المنخفضة
111,nouns,الأسماء,أسماء
113,LinCE,لينس,LinCE
114,outputs,المخرجات,مخرجات
115,transformers,المحولات,محولات
116,annotated,مُعَلَّم,مشروحة
117,graphs,الرسوم البيانية,نماذج
118,existing,موجود,الحالي
120,counterfactual,افتراض مغاير للواقع,counterfactual
121,metrics,المقاييس,مقاييس
122,verbs,الأفعال,أفعال
123,augmented,مُعزز,معزز
126,re,إعادة,RE
131,For,على سبيل المثال,ل
132,TreeDST,شجرةDST,TreeDST
134,spoken,محكي,منطوق
135,transformer,المحول,محول
136,embedding,تضمين,التضمين
138,seq2seq,نموذج تسلسل إلى تسلسل,seq2seq
139,structure,الهيكل,بنية
