,Unnamed: 0,word,gold,exact_match_ratio,prediction_count,prediction_ratio,validated_translation,reason,back_translations
0,0,10-fold cross validation,10分割交差検証,0.8,10,"[{'word': '10分割交差検証', 'ratio': 0.8}, {'word': '10回クロス検証', 'ratio': 0.1}, {'word': '10 分割相互検証', 'ratio': 0.1}]",10分割交差検証,"```
1. Candidate: 10分割交差検証
2. Explanation: The term ""10-fold cross validation"" is a specific method used in machine learning and statistics to assess the performance of a model. The candidate ""10分割交差検証"" directly translates to ""10-fold cross validation,"" which accurately captures both the numerical aspect (""10-fold"") and the methodological aspect (""cross validation"") of the term. This translation is semantically precise and aligns well with the domain-specific usage in AI and machine learning contexts. The back translation also confirms its accuracy, making it the best fit among the given options.
```","['10 times cross validation', '10-fold cross validation', '10-fold cross validation']"
1,1,1D convolution,1次元畳み込み,0.8,10,"[{'word': '1次元畳み込み', 'ratio': 0.8}, {'word': '1次元コンボリューション', 'ratio': 0.1}, {'word': '1Dコンボリューション', 'ratio': 0.1}]",1次元畳み込み,"```
1. Candidate: 1次元畳み込み
2. Explanation: The term ""1次元畳み込み"" is the best fit because it accurately translates ""1D convolution"" by using the Japanese word ""畳み込み"" which is commonly used in the AI and machine learning fields to refer to convolution operations. The use of ""1次元"" clearly indicates the one-dimensional aspect, maintaining semantic accuracy. This translation is widely recognized in the Japanese AI community, ensuring contextual fit and understanding among professionals in the field.
```","['1D convolution', '1D convolution', '1D convolution']"
2,2,2 norm,2ノルム,0.8,10,"[{'word': '2ノルム', 'ratio': 0.8}, {'word': '2規範', 'ratio': 0.1}, {'word': '2 ノルム', 'ratio': 0.1}]",2ノルム,"```
1. Candidate: 2ノルム
2. Explanation: The term ""2ノルム"" is the best fit for translating ""2 norm"" in the context of AI and mathematics. In Japanese mathematical and AI literature, ""ノルム"" is commonly used to refer to norms, and the numeral ""2"" is directly used to specify the type of norm, which is consistent with the English usage. This candidate maintains semantic accuracy and is widely recognized in the domain, ensuring that it is understood correctly by Japanese speakers familiar with AI and mathematical concepts. The back translation also accurately reflects the original term without unnecessary alterations, preserving the technical meaning.
```","['2 norms', '2 norm', '2 norm']"
3,3,2D convolution,2D畳み込み,0.0,10,"[{'word': '2次元畳み込み', 'ratio': 0.8}, {'word': '2次元コンボリューション', 'ratio': 0.1}, {'word': '2Dコンボリューション', 'ratio': 0.1}]",2次元畳み込み,"```
1. Candidate: 2次元畳み込み
2. Explanation: The term ""2次元畳み込み"" is the best fit for translating ""2D convolution"" in the context of AI and machine learning. This is because ""畳み込み"" is the standard Japanese term used in the field to refer to convolution operations, particularly in the context of neural networks and image processing. The use of ""2次元"" accurately specifies the dimensionality, aligning with the technical nature of the term. Additionally, this translation maintains semantic accuracy and is commonly understood by Japanese speakers familiar with AI terminology, ensuring contextual fit and clarity in technical discussions.
```","['2D convolution', '2D convolution', '2D convolution']"
4,4,2D image,2次元画像,0.8,10,"[{'word': '2次元画像', 'ratio': 0.8}, {'word': '2D画像', 'ratio': 0.2}]",2D画像,"```
1. Candidate: ""2D画像""
2. Explanation: ""2D画像"" is the best fit because it directly corresponds to the English term ""2D image"" without any additional interpretation, maintaining the technical specificity required in AI contexts. In AI and computer vision, ""2D"" is often used as a standard term to describe images with two-dimensional data, and using ""2D画像"" ensures clarity and consistency with the original term. The back translation also confirms that it accurately reflects the original English term, making it semantically precise for domain-specific usage.
```","['2D image', '2D image']"
5,5,2D image synthesis,2次元画像合成,0.1,10,"[{'word': '2D画像合成', 'ratio': 0.9}, {'word': '2次元画像合成', 'ratio': 0.1}]",2D画像合成,"```
1. Candidate: 2D画像合成
2. Explanation: The term ""2D画像合成"" is the best fit because it directly translates to ""2D image synthesis"" and is commonly used in the AI domain to refer to the process of creating two-dimensional images using computational methods. The term ""2D"" is widely recognized in both English and Japanese technical contexts, ensuring clarity and precision. Additionally, ""画像"" (image) and ""合成"" (synthesis) are standard terms in the field, making this translation semantically accurate and contextually appropriate for discussions on neural image synthesis.
```","['2D image synthesis', '2D image synthesis']"
6,6,2D-3D correspondence,2次元-3次元対応,0.1,10,"[{'word': '2D-3D対応', 'ratio': 0.9}, {'word': '2次元-3次元対応', 'ratio': 0.1}]",2次元-3次元対応,"```
1. Candidate: 2次元-3次元対応
2. Explanation: The term ""2次元-3次元対応"" is the best fit for translating ""2D-3D correspondence"" in the context of AI and computer vision. This candidate directly translates the dimensionality from English to Japanese, maintaining the technical specificity required in AI terminology. The term ""対応"" accurately conveys the concept of correspondence or mapping between two different dimensions, which is crucial in the context of pose estimation and object detection. The back translation as ""2D-3D compatible"" suggests a close semantic fit, as ""対応"" can imply a relationship or mapping, which aligns well with the original English term's meaning in AI applications.
```","['2D-3D compatible', '2D-3D compatible']"
7,7,3D bounding box,3次元バウンディングボックス,0.0,10,"[{'word': '3Dバウンディングボックス', 'ratio': 0.8}, {'word': '3D バウンディング ボックス', 'ratio': 0.1}, {'word': '3次元境界箱', 'ratio': 0.1}]",3Dバウンディングボックス,"```
1. Candidate: 3Dバウンディングボックス
2. Explanation: The term ""3Dバウンディングボックス"" is the best fit for translating ""3D bounding box"" in the context of AI and computer vision. This candidate maintains the original English terminology, which is commonly used in the Japanese AI and tech industry, ensuring clarity and consistency with international standards. The back translation perfectly matches the original term, indicating semantic accuracy and contextual fit. Additionally, the use of katakana for ""バウンディングボックス"" aligns with the convention of adopting English technical terms into Japanese, making it easily recognizable to professionals in the field.
```","['3D bounding box', '3D bounding box', '3D bounding box']"
8,8,3D computer vision,3次元コンピュータビジョン,0.0,10,"[{'word': '3Dコンピュータビジョン', 'ratio': 0.9}, {'word': '3次元コンピューター視覚', 'ratio': 0.1}]",3Dコンピュータビジョン,"```
1. Candidate: 3Dコンピュータビジョン
2. Explanation: The term ""3Dコンピュータビジョン"" is the best fit because it directly uses the English term ""3D computer vision"" in a katakana form, which is common in Japanese technical language to maintain the original meaning and context. This is especially important in the AI domain, where English terms are often used to ensure clarity and consistency with global research and industry standards. The back translation also accurately returns to ""3D computer vision,"" indicating semantic accuracy and contextual fit.
```","['3D computer vision', '3d computer vision']"
9,9,3D convolutional network,3次元畳み込みネットワーク,0.2,10,"[{'word': '3D畳み込みネットワーク', 'ratio': 0.8}, {'word': '3次元畳み込みネットワーク', 'ratio': 0.2}]",3次元畳み込みネットワーク,"```
1. Candidate: 3次元畳み込みネットワーク
2. Explanation: The term ""3次元畳み込みネットワーク"" is the best fit because it explicitly translates ""3D"" as ""3次元,"" which is a more precise and commonly used term in Japanese for ""three-dimensional."" This translation maintains semantic accuracy and is widely recognized in the AI domain, ensuring that the term is understood correctly in the context of AI architectures. The back translation also accurately returns to ""3D convolutional network,"" confirming its contextual fit and correctness.
```","['3D convolutional network', '3D convolutional network']"
