,word,prediction_ratio,1)validated_translation_by_gpt4o,2)word>=0.5,reason,back_translations
0,2D-3D correspondence,"[{'word': '2D-3D соответствие', 'ratio': 0.5}, {'word': 'соответствие 2D-3D', 'ratio': 0.5}]",соответствие 2D-3D,2D-3D соответствие,"```
1. Candidate: ""соответствие 2D-3D""
2. Explanation: The term ""соответствие 2D-3D"" is the best fit for translating ""2D-3D correspondence"" in the context of AI and computer vision. In this domain, ""correspondence"" typically refers to the relationship or mapping between two sets of data, such as 2D image points and 3D model points. The word ""соответствие"" accurately captures this meaning, as it denotes a match or alignment between elements, which is crucial for tasks like pose estimation and object detection. Additionally, the back translation to ""2D-3D correspondence"" confirms its semantic accuracy and contextual fit, ensuring that the technical meaning is preserved in both languages.
```","['2D-3D correspondence', '2D-3D correspondence', '2D-3D correspondence']"
1,3D mesh,"[{'word': '3D сетка', 'ratio': 0.7777777777777778}, {'word': '3D модель', 'ratio': 0.2222222222222222}]",3D модель,3D сетка,"```
1. Candidate: 3D модель
2. Explanation: In the context of AI and computer vision, ""3D mesh"" refers to a digital representation of a three-dimensional object, typically used in graphics and modeling. The term ""3D модель"" (3D model) is more semantically accurate in Russian for this context, as it conveys the idea of a complete three-dimensional structure, which aligns with the concept of object reconstruction from images. While ""3D сетка"" (3D mesh) is a direct translation, it may not fully capture the broader concept of a 3D model in Russian, which is more commonly used in the AI domain to describe such reconstructions.
```","['3D mesh', '3D model']"
2,Boolean formula,"[{'word': 'булева формула', 'ratio': 0.6666666666666666}, {'word': 'логическая формула', 'ratio': 0.2222222222222222}, {'word': 'Булева формула', 'ratio': 0.1111111111111111}]",Булева формула,булева формула,"```
1. Candidate: Булева формула
2. Explanation: The term ""Булева формула"" is the best fit for translating ""Boolean formula"" in the context of AI and computer science. This term is widely used in Russian technical literature to refer specifically to Boolean expressions or formulas, which are central to problems like Boolean satisfiability (SAT). The capitalization of ""Булева"" aligns with the convention of capitalizing terms derived from proper nouns, such as ""Boolean,"" which originates from the name of mathematician George Boole. This candidate maintains semantic accuracy and is consistent with domain-specific usage, ensuring that the technical meaning is preserved in translation.
```","['Boolean formula', 'Boolean formula', 'logical formula']"
3,Euclidean plane,"[{'word': 'евклидова плоскость', 'ratio': 1.0}]",Евклидова плоскость,евклидова плоскость,"```
1. Candidate: ""Евклидова плоскость""

2. Explanation: The term ""Евклидова плоскость"" is the most semantically accurate translation of ""Euclidean plane"" in the context of AI and mathematical discussions. This translation is widely accepted in mathematical literature and accurately conveys the concept of a two-dimensional space defined by Euclidean geometry. The back translation to ""Euclidean plane"" confirms its accuracy and consistency with the original term. In the context of AI, especially in areas like Qualitative Spatial Reasoning, maintaining precise mathematical terminology is crucial for understanding and discussing spatial constraints and properties. Therefore, ""Евклидова плоскость"" is the best fit for conveying the intended meaning in Russian while preserving the technical integrity of the term. 
```","['Euclidean plane', 'Euclidean plane']"
4,Fano's inequality,"[{'word': 'неравенство Фано', 'ratio': 0.6}, {'word': '不等енство Фано', 'ratio': 0.2}, {'word': 'Неравенство Фано', 'ratio': 0.2}]",Неравенство Фано,неравенство Фано,"```
1. Candidate: Неравенство Фано
2. Explanation: ""Неравенство Фано"" is the best translation candidate because it accurately reflects the established terminology used in the field of information theory and AI in Russian. The capitalization of ""Фано"" aligns with the convention of capitalizing proper nouns, which is important for maintaining the integrity of the term as it refers to a specific inequality named after Robert Fano. The back translation to ""Fano's inequality"" confirms the semantic accuracy and contextual fit, ensuring that the term is understood correctly in both languages within the AI domain.
```","[""Fano's inequality"", 'Fano inequality', '不等Fano tribe']"
5,Graph Neural Networks,"[{'word': 'графовые нейронные сети', 'ratio': 0.6}, {'word': 'Графовые нейронные сети', 'ratio': 0.3}, {'word': 'Graph Neural Networks графовые нейронные сети', 'ratio': 0.1}]",Графовые нейронные сети,графовые нейронные сети,"```
1. Candidate: ""Графовые нейронные сети""
2. Explanation: The candidate ""Графовые нейронные сети"" is the best fit because it accurately captures the meaning of ""Graph Neural Networks"" in the context of AI and machine learning. The term ""графовые"" directly translates to ""graph,"" which is essential for maintaining the semantic integrity of the term in the AI domain. Additionally, the back translation to ""Graph Neural Networks"" confirms that the translation is semantically accurate and contextually appropriate, ensuring that the technical meaning is preserved for Russian-speaking audiences familiar with AI terminology.
```","['Graph Neural Networks', 'graph neural networks', 'Graph Neural Networks graph neural networks']"
6,Hedge algorithm,"[{'word': 'алгоритм Hedge', 'ratio': 0.5555555555555556}, {'word': 'алгоритм Хеджа', 'ratio': 0.2222222222222222}, {'word': 'Hedge algorithm алгоритм Хеджа', 'ratio': 0.1111111111111111}, {'word': 'алгоритм Хедж', 'ratio': 0.1111111111111111}]",алгоритм Хеджа,алгоритм Hedge,"```
1. Candidate: ""алгоритм Хеджа""

2. Explanation: The term ""алгоритм Хеджа"" is the best fit for translating ""Hedge algorithm"" in the context of AI and machine learning. This candidate maintains the original name ""Hedge"" as a proper noun, which is common practice in technical translations to preserve the specific identity of well-known algorithms. The use of ""Хеджа"" is a transliteration that respects the pronunciation and recognition of the term in Russian, ensuring that it is understood as referring to the specific algorithm developed by Littlestone and Warmuth, and later by Freund and Schapire. This choice avoids confusion with the more generic term ""hedging,"" which could imply financial or risk management contexts rather than the specific AI algorithm. Additionally, the back translation accuracy confirms that the meaning is preserved as ""Hedge algorithm,"" ensuring semantic accuracy and contextual fit within the AI domain. 
```","['Hedge algorithm', 'Hedge algorithm', 'Hedge algorithm', 'Hedge algorithm', 'Hedging algorithm']"
7,Iverson bracket,"[{'word': 'скобка Айверсона', 'ratio': 0.5}, {'word': 'скобки Айверсона', 'ratio': 0.375}, {'word': 'Скобки Айверсона', 'ratio': 0.125}]",Скобки Айверсона,скобка Айверсона,"```
1. Candidate: ""Скобки Айверсона""
2. Explanation: The term ""Iverson bracket"" in the context of AI and mathematics refers to a notation used to denote a condition that evaluates to 1 if true and 0 if false. The translation ""Скобки Айверсона"" accurately captures the plural form of ""brackets,"" which is consistent with the mathematical usage of the term. The back translation ""Iverson brackets"" maintains the original meaning, ensuring semantic accuracy and contextual fit within the AI domain. The use of ""скобки"" (brackets) is more appropriate than ""кронштейн"" (bracket) or ""скобка"" (brace), as it aligns with the conventional mathematical notation in Russian.
```","['Iverson bracket', 'Iverson brackets', 'Iverson brace', 'Iverson braces']"
8,Lexical Functional Grammar,"[{'word': 'Лексико-функциональная грамматика', 'ratio': 0.8888888888888888}, {'word': 'Лексическая функциональная грамматика', 'ratio': 0.1111111111111111}]",Лексическая функциональная грамматика,Лексико-функциональная грамматика,"```
1. Candidate: ""Лексическая функциональная грамматика""
2. Explanation: The term ""Лексическая функциональная грамматика"" is the best fit because it accurately reflects the original English term ""Lexical Functional Grammar"" in both semantic and syntactic contexts. The word ""Лексическая"" directly translates to ""Lexical,"" and ""функциональная"" translates to ""Functional,"" maintaining the integrity of the original term. This translation is widely accepted in the AI and linguistic communities when referring to this specific syntactic formalism, ensuring that the domain-specific usage is preserved. The back translation also aligns perfectly with the original term, confirming its accuracy and contextual fit.
```","['Lexico-functional grammar', 'Lexical functional grammar']"
9,Libratus,"[{'word': 'Libratus', 'ratio': 0.6666666666666666}, {'word': 'Либратус', 'ratio': 0.2222222222222222}, {'word': 'Весы', 'ratio': 0.1111111111111111}]",Либратус,Libratus,"```
1. Candidate: ""Либратус""

2. Explanation: The best translation candidate is ""Либратус"" because it maintains the original name of the AI system, which is crucial for preserving the identity and recognition of the technology in the AI domain. Proper nouns, especially those related to specific AI systems or algorithms, are typically transliterated rather than translated to ensure consistency and accuracy across languages. This approach avoids confusion and maintains the integrity of the term within the context of AI research and literature. The other candidate, ""Весы"" (meaning ""Scales""), is not appropriate as it translates the term into a common noun unrelated to the AI system's identity or function.
```","['Libratus', 'Libratus', 'Scales']"
10,Markov game,"[{'word': 'марковская игра', 'ratio': 0.6}, {'word': 'Марковская игра', 'ratio': 0.2}, {'word': 'игра Маркова', 'ratio': 0.1}, {'word': 'Markov game марковская игра', 'ratio': 0.1}]",Марковская игра,марковская игра,"```
1. Candidate: ""Марковская игра""
2. Explanation: ""Марковская игра"" is the best translation candidate because it accurately captures the concept of a ""Markov game"" in the context of AI and game theory. The term ""Марковская"" is the correct adjectival form in Russian for ""Markov,"" maintaining the connection to the Markov processes that underpin the game's structure. This translation is semantically accurate and aligns well with the domain-specific usage, as it conveys the idea of a game involving stochastic processes and decision-making over time, which is central to the concept of a Markov game. Additionally, the back translation to ""Markov game"" confirms its accuracy and contextual fit.
```","['Markov game', 'Markov game', 'Markov game', 'Markov game']"
11,Markov logic network,"[{'word': 'Сеть логики Маркова', 'ratio': 0.5}, {'word': 'сеть логики Маркова', 'ratio': 0.3}, {'word': 'логическая сеть Маркова', 'ratio': 0.1}, {'word': 'Сеть Маркова на логике', 'ratio': 0.1}]",Марковская логическая сеть,Сеть логики Маркова,"```
1. Candidate: ""Марковская логическая сеть""
2. Explanation: ""Марковская логическая сеть"" is the best fit because it directly translates to ""Markov logic network"" and maintains the semantic structure of the original term. In the AI domain, it is crucial to preserve the order and relationship of terms to ensure clarity and accuracy. This candidate accurately reflects the concept of a network based on Markov logic, which is essential for understanding the context of weighted first-order clauses and their role in defining a Markov network. The back translation also confirms its accuracy and contextual fit.
```","['Markov network on logic', 'Markov logic network', 'Markov logic network', 'Markov logic network', 'Markov logic network']"
12,Natural Language Inference,"[{'word': 'вывод на основе естественного языка', 'ratio': 0.5555555555555556}, {'word': 'вывод естественного языка', 'ratio': 0.1111111111111111}, {'word': 'вывод на естественном языке', 'ratio': 0.1111111111111111}, {'word': 'Вывод на естественном языке', 'ratio': 0.1111111111111111}, {'word': 'Вывод на основе естественного языка', 'ratio': 0.1111111111111111}]",Вывод на основе естественного языка,вывод на основе естественного языка,"```
1. Candidate: ""Вывод на основе естественного языка""

2. Explanation: The candidate ""Вывод на основе естественного языка"" is the best fit because it accurately captures the concept of ""Natural Language Inference"" in the context of AI. The term ""вывод"" (inference) is crucial as it denotes the process of deriving logical conclusions, which aligns with the AI task of determining relationships between statements. The phrase ""на основе естественного языка"" (based on natural language) correctly conveys that this inference is derived from natural language data, maintaining the semantic integrity of the original term. Additionally, the back translation ""Natural language inference"" confirms the accuracy and contextual fit of the translation within the AI domain.
```","['Natural language output', 'natural language inference', 'natural language output', 'natural language inference', 'Natural language inference', 'Natural language inference']"
13,Natural Language Processing,"[{'word': 'обработка естественного языка', 'ratio': 0.6666666666666666}, {'word': 'Обработка естественного языка', 'ratio': 0.3333333333333333}]",Обработка естественного языка,обработка естественного языка,"```
1. Candidate: Обработка естественного языка
2. Explanation: The candidate ""Обработка естественного языка"" is the best fit for translating ""Natural Language Processing"" in the context of AI. This translation is widely accepted and used in the Russian-speaking AI community. It accurately conveys the concept of processing human language using computational methods, which is central to the field of NLP. The back translation to ""Natural Language Processing"" confirms its semantic accuracy and contextual fit, ensuring that the term is understood in the same way as in English within the AI domain.
```","['Natural Language Processing', 'natural language processing']"
14,Rademacher complexity,"[{'word': 'сложность Радемахера', 'ratio': 0.6}, {'word': 'сложность Радамacherа', 'ratio': 0.2}, {'word': 'сложность радемахера', 'ratio': 0.1}, {'word': 'сложность Радамахера', 'ratio': 0.1}]",Сложность Радемахера,сложность Радемахера,"```
1. Candidate: ""Сложность Радемахера""
2. Explanation: The candidate ""Сложность Радемахера"" is the best fit because it accurately preserves the original term ""Rademacher complexity"" in both semantic and phonetic aspects. The term ""Rademacher"" is a proper noun referring to a specific mathematical concept used in statistical learning theory, and it is crucial to maintain its integrity in translation. This candidate also matches the back translation perfectly, ensuring that the term remains recognizable and consistent with its usage in the AI domain. The capitalization of ""Радемахера"" aligns with the standard practice of capitalizing proper nouns in Russian, further supporting its appropriateness in a technical context.
```","['Rademacher complexity', 'Radamacher complexity', 'Rademacher complexity', 'Radamacher difficulty', 'Rademacher complexity']"
15,Sparse reconstruction,"[{'word': 'разреженная реконструкция', 'ratio': 0.6}, {'word': 'Разреженная реконструкция', 'ratio': 0.3}, {'word': 'разрежённая реконструкция', 'ratio': 0.1}]",Разреженная реконструкция,разреженная реконструкция,"```
1. Candidate: ""Разреженная реконструкция""
2. Explanation: The term ""Sparse reconstruction"" in the context of AI and computer vision refers to the process of reconstructing a scene or object using a limited amount of data, often focusing on key features or points. The translation ""Разреженная реконструкция"" accurately captures this meaning, as ""разреженная"" conveys the idea of sparsity or being spread out, which is semantically aligned with the concept of using minimal data for reconstruction. The back translation also matches perfectly, indicating that the term retains its intended meaning in both languages, making it the best fit for domain-specific usage.
```","['Sparse reconstruction', 'sparse reconstruction', 'sparse reconstruction']"
