,Unnamed: 0,word,gold,exact_match_ratio,prediction_count,prediction_ratio,validated_translation,reason,back_translations
0,0,10-fold cross validation,十折交叉验证,0.0,8,"[{'word': '10折交叉验证', 'ratio': 0.75}, {'word': '10倍交叉验证', 'ratio': 0.125}, {'word': '10 倍交叉验证', 'ratio': 0.125}]",10折交叉验证,"```
1. Candidate: ""10折交叉验证""
2. Explanation: ""10折交叉验证"" is the best translation candidate because it accurately captures the concept of ""10-fold cross validation"" in the context of AI and machine learning. The term ""折"" (fold) is commonly used in Chinese to describe the division of data into subsets or folds, which is a key aspect of cross-validation techniques. This translation is semantically precise and aligns well with the domain-specific usage, ensuring that the meaning is preserved in both the original and back-translated contexts.
```","['10-fold cross-validation', '10-fold cross validation', '10-fold cross validation']"
1,1,1D convolution,1D 卷积,0.0,8,"[{'word': '一维卷积', 'ratio': 1.0}]",一维卷积,"```
1. Candidate: ""一维卷积""
2. Explanation: The term ""一维卷积"" is the best fit for translating ""1D convolution"" in the context of AI and machine learning. In the AI domain, ""一维卷积"" is widely used to describe convolution operations that apply a filter over one dimension of the input data, such as time series or sequences. The back translation ""One-dimensional convolution"" accurately reflects the original English term, ensuring semantic accuracy and contextual fit. This translation is consistent with the technical terminology used in Chinese AI literature, making it the most appropriate choice.
```",['One-dimensional convolution']
2,2,2 norm,2范数,0.375,8,"[{'word': '二范数', 'ratio': 0.625}, {'word': '2范数', 'ratio': 0.375}]",2范数,"```
1. Candidate: 2范数
2. Explanation: The term ""2范数"" is the best translation candidate because it directly corresponds to the mathematical concept of the ""2 norm"" or ""Euclidean norm"" in linear algebra, which is commonly used in AI and machine learning contexts. The back translation ""2 norm"" accurately reflects the original English term, ensuring semantic accuracy and contextual fit within the AI domain. The other candidates, ""2 标准"" and ""二范数,"" either misinterpret the term as ""2 standards"" or introduce ambiguity by translating it as ""second norm,"" which could lead to confusion in technical discussions.
```","['2 standards', '2 norm', 'second norm']"
3,3,2D convolution,二维卷积,1.0,8,"[{'word': '二维卷积', 'ratio': 1.0}]",二维卷积,"```
1. Candidate: ""二维卷积""
2. Explanation: ""二维卷积"" is the best translation candidate because it accurately captures the concept of ""2D convolution"" in the context of AI and machine learning. The term ""二维"" directly translates to ""two-dimensional,"" which is essential for conveying the nature of the convolution operation being performed on two-dimensional data, such as images. This translation is widely recognized and used in Chinese academic and technical literature related to AI, ensuring semantic accuracy and consistency with domain-specific usage. The back translation to ""2D convolution"" confirms its accuracy and appropriateness in the given context.
```","['2D convolution', '2D convolution']"
4,4,2D image,二维图像,1.0,8,"[{'word': '二维图像', 'ratio': 1.0}]",二维图像,"```
1. Candidate: ""二维图像""
2. Explanation: The translation ""二维图像"" is the best fit because it accurately captures the concept of a ""2D image"" in the context of AI and computer vision. The term ""二维"" directly translates to ""two-dimensional,"" which is essential for maintaining the technical meaning of the original term. ""图像"" translates to ""image,"" which is the correct term used in AI to refer to visual data. The back translation also returns to ""2D image,"" indicating semantic accuracy and consistency. This translation is widely used in AI literature and aligns with domain-specific terminology.
```",['2D image']
5,5,2D image synthesis,二维图像合成,0.6666666666666666,9,"[{'word': '二维图像合成', 'ratio': 0.6666666666666666}, {'word': '图像合成', 'ratio': 0.1111111111111111}, {'word': '2D图像合成', 'ratio': 0.1111111111111111}, {'word': '维图像合成', 'ratio': 0.1111111111111111}]",二维图像合成,"```
1. Candidate: ""二维图像合成""
2. Explanation: ""二维图像合成"" is the best translation candidate because it accurately captures the ""2D"" aspect of the term ""2D image synthesis,"" which is crucial in the AI domain to distinguish between two-dimensional and three-dimensional image processing. The back translation also matches perfectly with the original term, ensuring semantic accuracy and contextual fit in AI-related discussions.
```","['image synthesis', '2D image synthesis', 'dimensional image synthesis', '2D image synthesis']"
6,6,2D-3D correspondence,二维三维对应关系,0.0,9,"[{'word': '二维-三维对应关系', 'ratio': 0.6666666666666666}, {'word': '对应关系', 'ratio': 0.1111111111111111}, {'word': '2D-3D对应关系', 'ratio': 0.1111111111111111}, {'word': '维-三维对应', 'ratio': 0.1111111111111111}]",2D-3D对应关系,"```
1. Candidate: ""2D-3D对应关系""
2. Explanation: The candidate ""2D-3D对应关系"" is the best fit because it directly translates to ""2D-3D correspondence,"" maintaining both the technical specificity and clarity required in the AI domain. The use of ""2D-3D"" ensures that the dimensional context is preserved, which is crucial for understanding the relationship between two-dimensional and three-dimensional data in pose estimation and object detection tasks. The term ""对应关系"" accurately conveys the concept of correspondence or mapping, which is essential in the context of AI and computer vision, where precise relationships between different dimensional data are critical for algorithm performance. This candidate also aligns well with the back translation, ensuring semantic accuracy and contextual fit.
```","['Dimensional-three-dimensional correspondence', '2D-3D correspondence', 'Two-dimensional-three-dimensional correspondence', 'Correspondence', '2D-3D correspondence']"
7,7,3D bounding box,三维包围盒,0.0,9,"[{'word': '三维边界框', 'ratio': 0.6666666666666666}, {'word': '边界框', 'ratio': 0.1111111111111111}, {'word': '3D边界框', 'ratio': 0.1111111111111111}, {'word': '维边界框', 'ratio': 0.1111111111111111}]",3D边界框,"```
1. Candidate: ""3D边界框""
2. Explanation: ""3D边界框"" is the best translation candidate because it directly translates to ""3D bounding box"" without losing any semantic meaning. The term ""3D"" is retained in its original form, which is crucial for maintaining the specificity of the term within the AI and computer vision domains. The word ""边界框"" accurately translates to ""bounding box,"" a common term used in AI for defining the spatial limits of an object in an image or 3D space. This translation is widely accepted and used in Chinese technical literature, ensuring both semantic accuracy and contextual fit in the AI domain.
```","['3D bounding box', '3D bounding box', '3D bounding box', 'bounding box', 'dimensional bounding box']"
8,8,3D computer vision,三维计算机视觉,0.6666666666666666,9,"[{'word': '三维计算机视觉', 'ratio': 0.6666666666666666}, {'word': '计算机视觉', 'ratio': 0.1111111111111111}, {'word': '3D计算机视觉', 'ratio': 0.1111111111111111}, {'word': '维计算机视觉', 'ratio': 0.1111111111111111}]",三维计算机视觉,"```
1. Candidate: ""三维计算机视觉""
2. Explanation: ""三维计算机视觉"" is the best translation candidate because it accurately conveys the concept of ""3D computer vision"" by explicitly including ""三维"" (three-dimensional), which is crucial for maintaining the semantic meaning in the context of AI and computer vision. This term is widely used in the AI domain to refer to technologies and methods that involve three-dimensional data processing, such as point cloud registration, 3D object detection, and 3D reconstruction. The back translation also matches the original term, ensuring contextual fit and semantic accuracy.
```","['dimensional computer vision', '3D computer vision', '3D computer vision', 'computer vision']"
9,9,3D convolutional network,三维卷积网络,0.6666666666666666,9,"[{'word': '三维卷积网络', 'ratio': 0.6666666666666666}, {'word': '卷积网络', 'ratio': 0.1111111111111111}, {'word': '3D卷积网络', 'ratio': 0.1111111111111111}, {'word': '维卷积网络', 'ratio': 0.1111111111111111}]",3D卷积网络,"```
1. Candidate: ""3D卷积网络""
2. Explanation: ""3D卷积网络"" is the best translation candidate because it directly translates to ""3D convolutional network,"" maintaining both the dimensional aspect and the specific type of neural network architecture. This term is widely used in the AI domain to refer to networks that process three-dimensional data, such as video or volumetric data, and is semantically accurate in the context of AI and machine learning. The back translation also matches perfectly, ensuring contextual fit and clarity in both languages.
```","['Convolutional network', '3D convolutional network', '3D convolutional network', 'dimensional convolutional network']"
