,English,Japanese
0,10-fold cross validation,10分割交差検証
1,1D convolution,1次元畳み込み
2,2 norm,2ノルム
3,2D convolution,2次元畳み込み
4,2D image,2次元画像
5,2D image synthesis,2D画像合成
6,2D-3D correspondence,2D-3D対応
7,3D bounding box,3Dバウンディングボックス
8,3D computer vision,3Dコンピュータビジョン
9,3D convolutional network,3D畳み込みネットワーク
10,3D geometry,3Dジオメトリ
11,3D human pose estimation,3D人体ポーズ推定
12,3D localization,3D位置特定
13,3D mesh,3Dメッシュ
14,3D model,3Dモデル
15,3D object detection,3Dオブジェクト検出
16,3D point,3Dポイント
17,3D point cloud,3Dポイントクラウド
18,3D pose,3Dポーズ
19,3D reconstruction,3D再構成
20,3D scene,3Dシーン
21,3D scene geometry,3Dシーンジオメトリ
22,3D structure,3D構造
23,5-fold cross validation,5分割交差検証
24,A * algorithm,A*アルゴリズム
25,A/B test,A/Bテスト
26,A2C,A2C
27,AI,AI
28,API,API
29,AQA,AQA
30,ARENA,ARENA
31,Ablation study,アブレーションスタディ
34,Adafactor,アダファクター
35,Adam,アダム
36,Adam algorithm,アダムアルゴリズム
37,Adam optimiser,アダムオプティマイザー
38,Adam optimization,Adam最適化
39,Adam optimization algorithm,アダム最適化アルゴリズム
40,Adam optimizer,Adamオプティマイザ
41,Adapter,アダプタ
42,Additionally,さらに
44,AmbigQA,AmbigQA
45,Answer Set Programming,アンサーセットプログラミング
46,Apriori,アプリオリ
47,Apriori algorithm,アプリオリアルゴリズム
48,Arcade Learning Environment,アーケード学習環境
49,Architectures,アーキテクチャ
54,Autonomous Systems,自律システム
55,Average Pool,平均プーリング
56,Average Precision,平均適合率
57,Azuma-Hoeffding inequality,アズマ・ホフディング不等式
58,B-spline,Bスプライン
59,BART,BART
60,BERT,BERT
61,BERTs,BERTs
62,BETO,BETO
63,BIO,BIO
64,BLEU,BLEU
65,BPE,BPE
66,BSARD,BSARD
67,Backbone,バックボーン
68,Backpropagation,逆伝播
70,Basis Pursuit,ベーシス・パシュート
72,Baum-Welch algorithm,バウム・ウェルチアルゴリズム
73,Bayes,ベイズ
74,Bayes classifier,ベイズ分類器
75,Bayes factor,ベイズ因子
76,Bayes formula,ベイズの公式
77,Bayes net,ベイズネット
78,Bayes optimal classifier,ベイズ最適分類器
79,Bayes risk,ベイズリスク
80,Bayes risk decoding,ベイズリスクデコーディング
81,Bayes rule,ベイズ則
82,Bayes theorem,ベイズの定理
83,Bayes-Nash equilibrium,ベイズ・ナッシュ均衡
84,Bayesian Information Criterion,ベイズ情報量基準
86,Bayesian active learning,ベイジアンアクティブラーニング
87,Bayesian analysis,ベイジアン分析
88,Bayesian approach,ベイズ的アプローチ
89,Bayesian clustering,ベイズクラスタリング
90,Bayesian decision,ベイズ的決定
91,Bayesian deep learning,ベイズ深層学習
92,Bayesian evidence,ベイズ証拠
93,Bayesian framework,ベイズフレームワーク
94,Bayesian game,ベイズゲーム
95,Bayesian inference,ベイズ推論
96,Bayesian learning,ベイズ学習
97,Bayesian method,ベイズ法
98,Bayesian model,ベイズモデル
85,Bayesian network,ベイジアンネットワーク
99,Bayesian optimization,ベイズ最適化
100,Bayesian perspective,ベイズ的視点
101,Bayesian probabilistic model,ベイズ確率モデル
102,Bayesian update,ベイズ更新
105,Bellman,ベルマン
106,Bellman backup,ベルマンバックアップ
107,Bellman equation,ベルマン方程式
108,Bellman error,ベルマン誤差
109,Bellman operator,ベルマン演算子
110,Berkeley parser,バークレー構文解析器
111,Berkeley segmentation dataset,バークレーセグメンテーションデータセット
112,Bernoulli,ベルヌーイ
113,Bernoulli distribution,ベルヌーイ分布
114,Bernoulli likelihood,ベルヌーイ尤度
115,Bernoulli random variable,ベルヌーイ確率変数
116,Bernoulli sampling,ベルヌーイサンプリング
117,Bernoulli trial,ベルヌーイ試行
118,Bernoulli variable,ベルヌーイ変数
119,Bernstein's inequality,バーンスタインの不等式
121,Bethe approximation,ベーテ近似
122,Bhattacharyya coefficient,バタチャリヤ係数
124,Bloom filter,ブルームフィルタ
125,Boltzmann distribution,ボルツマン分布
126,Boltzmann exploration,ボルツマン探索
127,Bonferroni correction,ボンフェローニ補正
128,Boolean formula,ブール式
129,Boolean function,ブール関数
130,Boolean variable,ブール変数
131,Borda scores,ボルダ得点
132,Bradley-Terry Model,ブラッドリー＝テリーモデル
133,Branch and Bound,分枝限定法
134,Bregman divergence,ブレグマン発散
135,Bregman's method,ブレグマン法
136,Bundle adjustment,バンドル調整
