,Unnamed: 0,word,gold,exact_match_ratio,prediction_count,prediction_ratio,validated_translation,reason,back_translations
0,0,10-fold cross validation,10分割交差検証,0.8,10,"[{'word': '10分割交差検証', 'ratio': 0.8}, {'word': '10回クロス検証', 'ratio': 0.1}, {'word': '10 分割相互検証', 'ratio': 0.1}]",10分割交差検証,{},[]
1,1,1D convolution,1次元畳み込み,0.8,10,"[{'word': '1次元畳み込み', 'ratio': 0.8}, {'word': '1次元コンボリューション', 'ratio': 0.1}, {'word': '1Dコンボリューション', 'ratio': 0.1}]",1次元畳み込み,{},[]
2,2,2 norm,2ノルム,0.8,10,"[{'word': '2ノルム', 'ratio': 0.8}, {'word': '2規範', 'ratio': 0.1}, {'word': '2 ノルム', 'ratio': 0.1}]",2ノルム,{},[]
3,3,2D convolution,2D畳み込み,0.0,10,"[{'word': '2次元畳み込み', 'ratio': 0.8}, {'word': '2次元コンボリューション', 'ratio': 0.1}, {'word': '2Dコンボリューション', 'ratio': 0.1}]",2次元畳み込み,{},[]
4,4,2D image,2次元画像,0.8,10,"[{'word': '2次元画像', 'ratio': 0.8}, {'word': '2D画像', 'ratio': 0.2}]",2次元画像,{},[]
5,5,2D image synthesis,2次元画像合成,0.1,10,"[{'word': '2D画像合成', 'ratio': 0.9}, {'word': '2次元画像合成', 'ratio': 0.1}]",2D画像合成,{},[]
6,6,2D-3D correspondence,2次元-3次元対応,0.1,10,"[{'word': '2D-3D対応', 'ratio': 0.9}, {'word': '2次元-3次元対応', 'ratio': 0.1}]",2D-3D対応,{},[]
7,7,3D bounding box,3次元バウンディングボックス,0.0,10,"[{'word': '3Dバウンディングボックス', 'ratio': 0.8}, {'word': '3D バウンディング ボックス', 'ratio': 0.1}, {'word': '3次元境界箱', 'ratio': 0.1}]",3Dバウンディングボックス,{},[]
8,8,3D computer vision,3次元コンピュータビジョン,0.0,10,"[{'word': '3Dコンピュータビジョン', 'ratio': 0.9}, {'word': '3次元コンピューター視覚', 'ratio': 0.1}]",3Dコンピュータビジョン,{},[]
9,9,3D convolutional network,3次元畳み込みネットワーク,0.2,10,"[{'word': '3D畳み込みネットワーク', 'ratio': 0.8}, {'word': '3次元畳み込みネットワーク', 'ratio': 0.2}]",3D畳み込みネットワーク,{},[]
10,10,3D geometry,3次元ジオメトリ,0.0,10,"[{'word': '3Dジオメトリ', 'ratio': 0.6}, {'word': '3D幾何学', 'ratio': 0.2}, {'word': '3D ジオメトリ', 'ratio': 0.1}, {'word': '3次元幾何学', 'ratio': 0.1}]",3Dジオメトリ,{},[]
11,11,3D human pose estimation,3次元人体姿勢推定,0.0,10,"[{'word': '3Dヒューマンポーズ推定', 'ratio': 0.3}, {'word': '3D人体ポーズ推定', 'ratio': 0.3}, {'word': '人間の3Dポーズ推定', 'ratio': 0.1}, {'word': '3D人間の姿勢推定', 'ratio': 0.1}, {'word': '3次元人体ポーズ推定', 'ratio': 0.1}, {'word': '3D人間ポーズ推定', 'ratio': 0.1}]",3D人体ポーズ推定,"```
1. Candidate: 3D人体ポーズ推定

2. Explanation: The candidate ""3D人体ポーズ推定"" is the best fit for translating ""3D human pose estimation"" in the context of AI and computer vision. This translation accurately captures the technical nature of the term by using ""3D"" to denote the three-dimensional aspect, ""人体"" to specify the human body, and ""ポーズ推定"" to convey pose estimation. The term ""人体"" (human body) is more precise and commonly used in technical contexts to refer to human figures in AI and computer vision, ensuring clarity and specificity. Additionally, the back translation to ""3D human pose estimation"" confirms that the semantic meaning is preserved, making it a suitable choice for domain-specific usage.
```","['3D human pose estimation', '3D human pose estimation', 'Human 3D pose estimation', '3D human pose estimation', '3D human pose estimation', '3D human pose estimation']"
12,12,3D localization,3次元位置推定,0.0,10,"[{'word': '3D位置特定', 'ratio': 0.5}, {'word': '3Dローカリゼーション', 'ratio': 0.2}, {'word': '3Dローカライズ', 'ratio': 0.1}, {'word': '3D ローカリゼーション', 'ratio': 0.1}, {'word': '3次元ローカライゼーション', 'ratio': 0.1}]",3D位置特定,{},[]
13,13,3D mesh,3次元メッシュ,0.1,10,"[{'word': '3Dメッシュ', 'ratio': 0.9}, {'word': '3次元メッシュ', 'ratio': 0.1}]",3Dメッシュ,{},[]
14,14,3D model,3Dモデル,0.9,10,"[{'word': '3Dモデル', 'ratio': 0.9}, {'word': '3次元モデル', 'ratio': 0.1}]",3Dモデル,{},[]
15,15,3D object detection,3次元物体検出,0.0,10,"[{'word': '3Dオブジェクト検出', 'ratio': 0.7}, {'word': '3D物体検出', 'ratio': 0.3}]",3Dオブジェクト検出,{},[]
16,16,3D point,3次元点,0.0,10,"[{'word': '3Dポイント', 'ratio': 1.0}]",3Dポイント,{},[]
17,17,3D point cloud,3D点群,0.2,10,"[{'word': '3Dポイントクラウド', 'ratio': 0.8}, {'word': '3D点群', 'ratio': 0.2}]",3Dポイントクラウド,{},[]
18,18,3D pose,3次元ポーズ,0.0,10,"[{'word': '3Dポーズ', 'ratio': 1.0}]",3Dポーズ,{},[]
19,19,3D reconstruction,3D再構築,0.4,10,"[{'word': '3D再構成', 'ratio': 0.6}, {'word': '3D再構築', 'ratio': 0.4}]",3D再構成,{},[]
20,20,3D scene,3次元シーン,0.0,10,"[{'word': '3Dシーン', 'ratio': 1.0}]",3Dシーン,{},[]
21,21,3D scene geometry,3次元シーンジオメトリ,0.0,10,"[{'word': '3Dシーンジオメトリ', 'ratio': 0.4}, {'word': '3Dシーン幾何学', 'ratio': 0.2}, {'word': '3Dシーン幾何', 'ratio': 0.2}, {'word': '3Dシーンの幾何学', 'ratio': 0.1}, {'word': '3Dシーンのジオメトリ', 'ratio': 0.1}]",3Dシーンジオメトリ,"```
1. Candidate: 3Dシーンジオメトリ
2. Explanation: The term ""3Dシーンジオメトリ"" is the best fit for translating ""3D scene geometry"" in the context of AI and computer graphics. This choice is primarily due to its direct transliteration from English, which is common in technical fields where precision and consistency with international terminology are crucial. The use of ""ジオメトリ"" (geometry) maintains the technical nuance and is widely recognized in the Japanese AI and computer graphics communities. Additionally, the back translation perfectly aligns with the original English term, ensuring semantic accuracy and contextual fit. This consistency is important in AI, where terms often have specific meanings and implications that are best preserved through direct transliteration.
```","['3D scene geometry', '3D scene geometry', '3D scene geometry', '3D scene geometry', '3D scene geometry']"
22,22,3D structure,3次元構造,0.0,10,"[{'word': '3D構造', 'ratio': 1.0}]",3D構造,{},[]
23,23,5-fold cross validation,5分割交差検証,0.8,10,"[{'word': '5分割交差検証', 'ratio': 0.8}, {'word': '5回クロス検証', 'ratio': 0.1}, {'word': '5 分割相互検証', 'ratio': 0.1}]",5分割交差検証,{},[]
24,24,A * algorithm,A*アルゴリズム,0.8,10,"[{'word': 'A*アルゴリズム', 'ratio': 0.8}, {'word': 'アルゴリズム', 'ratio': 0.1}, {'word': '* アルゴリズム', 'ratio': 0.1}]",A*アルゴリズム,{},[]
25,25,A/B test,A/Bテスト,0.7,10,"[{'word': 'A/Bテスト', 'ratio': 0.7}, {'word': 'A/B テスト', 'ratio': 0.3}]",A/Bテスト,{},[]
26,26,A2C,A2C,0.7,10,"[{'word': 'A2C', 'ratio': 0.7}, {'word': '彼は生きていた', 'ratio': 0.2}, {'word': 'エーツーシー', 'ratio': 0.1}]",A2C,{},[]
27,27,Ablation study,アブレーション研究,0.2,10,"[{'word': 'アブレーションスタディ', 'ratio': 0.7}, {'word': 'アブレーション研究', 'ratio': 0.2}, {'word': 'アブレーションスタディー', 'ratio': 0.1}]",アブレーションスタディ,{},[]
28,28,Accuracy,精度,0.9,10,"[{'word': '精度', 'ratio': 0.9}, {'word': '正確さ', 'ratio': 0.1}]",精度,{},[]
29,29,Active learning,アクティブラーニング,0.9,10,"[{'word': 'アクティブラーニング', 'ratio': 0.9}, {'word': 'アクティブ・ラーニング', 'ratio': 0.1}]",アクティブラーニング,{},[]
30,30,Adafactor,アダファクタ,0.0,10,"[{'word': 'アダファクター', 'ratio': 1.0}]",アダファクター,{},[]
31,31,Adam,アダム,0.7,10,"[{'word': 'アダム', 'ratio': 0.7}, {'word': 'Adam', 'ratio': 0.3}]",アダム,{},[]
32,32,Adam algorithm,アダムアルゴリズム,0.5,10,"[{'word': 'アダムアルゴリズム', 'ratio': 0.5}, {'word': 'Adamアルゴリズム', 'ratio': 0.3}, {'word': 'アダム・アルゴリズム', 'ratio': 0.1}, {'word': 'アルゴリズム', 'ratio': 0.1}]",アダムアルゴリズム,{},[]
33,33,Adam optimiser,アダム・オプティマイザー,0.2,10,"[{'word': 'Adamオプティマイザ', 'ratio': 0.2}, {'word': 'アダムオプティマイザ', 'ratio': 0.2}, {'word': 'アダム・オプティマイザー', 'ratio': 0.2}, {'word': 'アダムオプティマイザー', 'ratio': 0.1}, {'word': 'Adam最適化手法', 'ratio': 0.1}, {'word': 'アダム最適化手法', 'ratio': 0.1}, {'word': 'オプティマイザ', 'ratio': 0.1}]",アダムオプティマイザー,"```
1. Candidate: アダムオプティマイザー

2. Explanation: The candidate ""アダムオプティマイザー"" is the best fit for translating ""Adam optimiser"" in the context of AI and machine learning. This choice is based on several factors:

   - **Semantic Accuracy**: The term ""アダムオプティマイザー"" directly transliterates ""Adam optimizer"" into Japanese, maintaining the original name ""Adam"" and the term ""optimizer"" in a form that is commonly used in the Japanese tech community. This ensures that the term is immediately recognizable to those familiar with AI and machine learning.

   - **Domain-Specific Usage**: In the AI domain, especially in Japanese academic and professional settings, the use of katakana (a script used for foreign words) is prevalent for technical terms. ""アダムオプティマイザー"" follows this convention, making it a natural fit for the context.

   - **Back Translation Accuracy**: The back translation of ""アダムオプティマイザー"" is ""adam optimizer,"" which closely matches the original English term. This indicates that the meaning is preserved across translations, ensuring that the term is understood correctly in both languages.

   - **Consistency with Context**: The context provided mentions the use of the Adam optimizer in neural networks and machine learning models, which are areas where precise terminology is crucial. ""アダムオプティマイザー"" is a term that would be understood by professionals in these fields, aligning with the technical nature of the content.

Overall, ""アダムオプティマイザー"" is the most semantically accurate and contextually appropriate translation for ""Adam optimiser"" in the given AI context.
```","['Adam optimizer', 'adam optimizer', 'adam optimizer', 'adam optimizer', 'Adam optimization method', 'Adam optimization method', 'optimizer']"
34,34,Adam optimization,Adam最適化,0.3,10,"[{'word': 'アダム最適化', 'ratio': 0.4}, {'word': 'Adam最適化', 'ratio': 0.3}, {'word': 'アダム・オプティマイゼーション', 'ratio': 0.1}, {'word': 'アダムの最適化', 'ratio': 0.1}, {'word': '最適化', 'ratio': 0.1}]","""Adam最適化""","```
1. Candidate: ""Adam最適化""

2. Explanation: ""Adam最適化"" is the best translation candidate for ""Adam optimization"" in the context of AI and machine learning. This choice maintains the original term ""Adam,"" which is a specific optimization algorithm widely recognized in the AI community, and combines it with ""最適化,"" which means ""optimization"" in Japanese. This translation preserves the technical specificity and clarity of the term, ensuring that it is immediately recognizable to those familiar with AI terminology. The back translation to ""Adam optimization"" confirms its semantic accuracy and contextual fit, as it directly corresponds to the original English term without introducing ambiguity or altering the meaning. Other candidates either introduce unnecessary elements, such as ""アダムの最適化"" which implies possession, or lack specificity, like ""最適化,"" which is too generic and does not convey the specific algorithm being referenced.
```","['adam optimization', 'Adam optimization', 'adam optimization', ""Adam's optimization"", 'optimization']"
35,35,Adam optimization algorithm,Adamの最適化アルゴリズム,0.0,10,"[{'word': 'アダム最適化アルゴリズム', 'ratio': 0.5}, {'word': 'Adam最適化アルゴリズム', 'ratio': 0.3}, {'word': 'Adam 最適化アルゴリズム', 'ratio': 0.1}, {'word': '最適化アルゴリズム', 'ratio': 0.1}]",アダム最適化アルゴリズム,{},[]
36,36,Adam optimizer,Adamオプティマイザ,0.4,10,"[{'word': 'Adamオプティマイザ', 'ratio': 0.4}, {'word': 'アダムオプティマイザ', 'ratio': 0.3}, {'word': 'アダム・オプティマイザ', 'ratio': 0.1}, {'word': 'コンボリューションカーネル', 'ratio': 0.1}, {'word': 'Adamオプティマイザー', 'ratio': 0.1}]","""Adamオプティマイザ""","```
1. Candidate: ""Adamオプティマイザ""
2. Explanation: The candidate ""Adamオプティマイザ"" is the best fit for translating ""Adam optimizer"" in the context of AI terminology. This choice maintains the original English term ""Adam"" intact, which is crucial because ""Adam"" is a specific algorithm name widely recognized in the AI and machine learning community. The term ""オプティマイザ"" is a transliteration of ""optimizer,"" which is commonly used in Japanese technical contexts to refer to optimization algorithms. This candidate also has a perfect back translation to ""Adam optimizer,"" ensuring semantic accuracy and contextual fit. The other candidates either introduce unnecessary variations or are unrelated to the term in question, such as ""コンボリューションカーネル,"" which translates to ""convolution kernel"" and is not relevant to the context of the Adam optimizer.
```","['Adam optimizer', 'adam optimizer', 'adam optimizer', 'convolution kernel', 'Adam Optimizer']"
37,37,Adapter,アダプター,0.3,10,"[{'word': 'アダプタ', 'ratio': 0.7}, {'word': 'アダプター', 'ratio': 0.3}]",アダプタ,{},[]
38,38,Algorithm,アルゴリズム,1.0,10,"[{'word': 'アルゴリズム', 'ratio': 1.0}]",アルゴリズム,{},[]
