,word,prediction_ratio,1)validated_translation_by_gpt4o,2)word>=0.5,reason,back_translations
0,3D convolutional network,"[{'word': '三维卷积网络', 'ratio': 0.6666666666666666}, {'word': '卷积网络', 'ratio': 0.1111111111111111}, {'word': '3D卷积网络', 'ratio': 0.1111111111111111}, {'word': '维卷积网络', 'ratio': 0.1111111111111111}]",3D卷积网络,三维卷积网络,"```
1. Candidate: ""3D卷积网络""
2. Explanation: ""3D卷积网络"" is the best translation candidate because it directly translates to ""3D convolutional network,"" maintaining both the dimensional aspect and the specific type of neural network architecture. This term is widely used in the AI domain to refer to networks that process three-dimensional data, such as video or volumetric data, and is semantically accurate in the context of AI and machine learning. The back translation also matches perfectly, ensuring contextual fit and clarity in both languages.
```","['Convolutional network', '3D convolutional network', '3D convolutional network', 'dimensional convolutional network']"
1,3D point cloud,"[{'word': '3D点云', 'ratio': 0.5}, {'word': '三维点云', 'ratio': 0.5}]",3D 点云,3D点云,"```
1. Candidate: 3D 点云
2. Explanation: The candidate ""3D 点云"" is the best fit because it maintains the original English term ""3D"" which is commonly used in the AI and computer vision fields, ensuring clarity and consistency with international terminology. The term ""点云"" accurately translates to ""point cloud,"" which is a standard term in the context of 3D data representation. This candidate also has a perfect back translation, indicating semantic accuracy and contextual fit in both languages.
```","['3D point cloud', '3D point cloud', '3D point cloud']"
2,Canny edge detector,"[{'word': 'Canny边缘检测器', 'ratio': 0.5555555555555556}, {'word': 'Canny 边缘检测器', 'ratio': 0.2222222222222222}, {'word': '卡尼边缘检测器', 'ratio': 0.2222222222222222}]",Canny 边缘检测器,Canny边缘检测器,"```
1. Candidate: Canny 边缘检测器
2. Explanation: The candidate ""Canny 边缘检测器"" is the best fit because it retains the original name ""Canny"" in English, which is a standard practice in the AI domain for well-known algorithms and techniques. This ensures that the term is easily recognizable to Chinese-speaking professionals familiar with AI and computer vision. The term ""边缘检测器"" accurately translates to ""edge detector,"" maintaining the semantic meaning of the original term. The back translation also confirms the accuracy, as it returns to ""Canny edge detector,"" indicating a precise contextual fit.
```","['Canny edge detector', 'carney edge detector', 'Canny edge detector']"
3,Dirichlet prior,"[{'word': '狄利克雷先验', 'ratio': 0.7777777777777778}, {'word': 'Dirichlet 先验', 'ratio': 0.1111111111111111}, {'word': 'Dirichlet先验', 'ratio': 0.1111111111111111}]",Dirichlet先验,狄利克雷先验,"```
1. Candidate: Dirichlet先验
2. Explanation: ""Dirichlet先验"" is the best translation candidate because it maintains the original technical term ""Dirichlet"" in English, which is crucial for preserving the specific meaning and recognition in the AI and statistical communities. The term ""先验"" accurately translates to ""prior,"" which is a well-understood concept in Bayesian statistics and machine learning. This combination ensures semantic accuracy and contextual fit, as it aligns with the domain-specific usage where the term ""Dirichlet prior"" is commonly used without translation of ""Dirichlet"" to maintain clarity and precision in technical discussions.
```","['Dirichlet prior', 'Dirichlet prior', 'Dirichlet prior']"
4,Discriminator,"[{'word': '判别器', 'ratio': 1.0}]",鉴别器,判别器,"```
1. Candidate: 鉴别器
2. Explanation: The term ""鉴别器"" is the best fit for translating ""Discriminator"" in the context of AI, particularly in the domain of Generative Adversarial Networks (GANs). In the AI field, ""鉴别器"" is widely used to refer to the component of GANs that distinguishes between real and generated data. This term is semantically accurate and commonly accepted in Chinese AI literature, ensuring that it conveys the intended meaning effectively. The back translation to ""discriminator"" confirms its accuracy and appropriateness in the given context, where the discriminator's role is to evaluate and differentiate data, aligning with the AI domain-specific usage.
```","['discriminator', 'discriminator']"
5,Hadamard product,"[{'word': '哈达玛积', 'ratio': 0.8}, {'word': '阿达马积', 'ratio': 0.1}, {'word': '阿达玛积', 'ratio': 0.1}]",阿达玛积,哈达玛积,"```
1. Candidate: 阿达玛积
2. Explanation: The term ""Hadamard product"" refers to the elementwise product of two matrices or vectors, which is a well-established concept in linear algebra and AI-related fields. The translation ""阿达玛积"" is the most semantically accurate and contextually appropriate choice. It directly translates to ""Hadamard product"" in English, maintaining the mathematical and technical integrity of the term. The use of ""积"" (meaning ""product"") accurately conveys the operation being described, and ""阿达玛"" is a phonetic transliteration of ""Hadamard,"" which is commonly used in Chinese mathematical literature. This ensures that the term is recognizable and understandable to Chinese-speaking professionals in the AI domain.
```","['Hadama products', 'Hadamaji', 'adamaji', 'adamaji']"
6,Hamiltonian Monte Carlo,"[{'word': '哈密顿蒙特卡罗', 'ratio': 0.5}, {'word': '哈密顿蒙特卡洛', 'ratio': 0.3}, {'word': '哈密顿蒙特卡洛方法', 'ratio': 0.1}, {'word': '哈密顿蒙特卡罗方法', 'ratio': 0.1}]",哈密顿蒙特卡罗方法,哈密顿蒙特卡罗,"```
1. Candidate: 哈密顿蒙特卡罗方法
2. Explanation: The term ""Hamiltonian Monte Carlo"" refers to a specific method used in statistical inference and computational physics, which is well-known in the AI and machine learning communities. The candidate ""哈密顿蒙特卡罗方法"" translates to ""Hamiltonian Monte Carlo method,"" which accurately captures the essence of the term by explicitly indicating that it is a method. This is important for clarity in technical contexts, as it distinguishes the term from other potential uses of ""Hamiltonian"" or ""Monte Carlo"" individually. The inclusion of ""方法"" (method) ensures that the translation is semantically accurate and contextually appropriate, aligning with the domain-specific usage in AI and statistical inference.
```","['Hamilton Monte Carlo', 'Hamilton Monte Carlo', 'Hamiltonian Monte Carlo method', 'Hamiltonian Monte Carlo', 'Hamiltonian Monte Carlo method']"
7,K-means algorithm,"[{'word': 'K均值算法', 'ratio': 0.7}, {'word': 'K-均值算法', 'ratio': 0.2}, {'word': '均值算法', 'ratio': 0.1}]",K-均值算法,K均值算法,"```
1. Candidate: K-均值算法
2. Explanation: The candidate ""K-均值算法"" is the best fit because it accurately captures the meaning of ""K-means algorithm"" in the context of AI and machine learning. The term ""K-均值算法"" is widely recognized in Chinese technical literature and accurately conveys the concept of partitioning data into clusters based on the mean of the data points. The back translation to ""K-means algorithm"" confirms its semantic accuracy and contextual fit, ensuring that it is understood correctly in both languages within the AI domain.
```","['K-means algorithm', 'K-means algorithm', 'Mean algorithm']"
8,L 2 distance,"[{'word': 'L₂距离', 'ratio': 0.5}, {'word': 'L2距离', 'ratio': 0.375}, {'word': 'L2 距离', 'ratio': 0.125}]",L2 距离,L₂距离,"```
1. Candidate: L2 距离
2. Explanation: The candidate ""L2 距离"" is the best fit because it accurately represents the mathematical concept of ""L 2 distance"" in the context of AI and machine learning. The term ""L2"" is widely recognized in both English and Chinese as referring to the Euclidean distance or the standard distance metric used in various algorithms. The absence of spaces in ""L2"" aligns with common usage in mathematical and technical contexts, ensuring clarity and precision. Additionally, the back translation to ""L2 distance"" confirms its semantic accuracy and contextual fit within the AI domain.
```","['L2 distance', 'L2 distance', 'L₂distance', 'L 2 distance']"
9,L1 bound,"[{'word': 'L1界', 'ratio': 0.7}, {'word': 'L1 界', 'ratio': 0.1}, {'word': 'L1界限', 'ratio': 0.1}, {'word': 'L₁ 界限', 'ratio': 0.1}]",L1界限,L1界,"```
1. Candidate: L1界限

2. Explanation: The term ""L1 bound"" in the context of AI and mathematics typically refers to a constraint or limit related to the L1 norm, which is a measure of the magnitude of vectors in a space. The candidate ""L1界限"" translates back to ""L1 limit,"" which accurately captures the notion of a boundary or constraint in mathematical terms. This translation maintains the semantic meaning and is contextually appropriate for the AI domain, where precise mathematical terminology is crucial. Other candidates like ""L1 绑定"" (L1 binding) or ""L1 界"" (L1 world) do not accurately convey the concept of a mathematical bound or limit, making ""L1界限"" the most suitable choice.
```","['L1 limit', 'L₁ limit', 'L1 binding', 'L1 world', 'L1 world']"
