,Unnamed: 0,word,gold,exact_match_ratio,prediction_count,prediction_ratio,validated_translation,reason,back_translations
0,0,10-fold cross validation,十折交叉验证,0.0,8,"[{'word': '10折交叉验证', 'ratio': 0.75}, {'word': '10倍交叉验证', 'ratio': 0.125}, {'word': '10 倍交叉验证', 'ratio': 0.125}]",,,[]
1,1,1D convolution,1D 卷积,0.0,8,"[{'word': '一维卷积', 'ratio': 1.0}]",,,[]
2,2,2 norm,2范数,0.375,8,"[{'word': '二范数', 'ratio': 0.625}, {'word': '2范数', 'ratio': 0.375}]",,,[]
3,3,2D convolution,二维卷积,1.0,8,"[{'word': '二维卷积', 'ratio': 1.0}]",二维卷积,"```
1. Candidate: ""二维卷积""
2. Explanation: ""二维卷积"" is the best translation candidate because it accurately captures the concept of ""2D convolution"" in the context of AI and machine learning. The term ""二维"" directly translates to ""two-dimensional,"" which is essential for conveying the nature of the convolution operation being performed on two-dimensional data, such as images. This translation is widely recognized and used in Chinese academic and technical literature related to AI, ensuring semantic accuracy and consistency with domain-specific usage. The back translation to ""2D convolution"" confirms its accuracy and appropriateness in the given context.
```","['2D convolution', '2D convolution']"
4,4,2D image,二维图像,1.0,8,"[{'word': '二维图像', 'ratio': 1.0}]",,,[]
5,5,2D image synthesis,二维图像合成,0.6666666666666666,9,"[{'word': '二维图像合成', 'ratio': 0.6666666666666666}, {'word': '图像合成', 'ratio': 0.1111111111111111}, {'word': '2D图像合成', 'ratio': 0.1111111111111111}, {'word': '维图像合成', 'ratio': 0.1111111111111111}]",,,[]
6,6,2D-3D correspondence,二维三维对应关系,0.0,9,"[{'word': '二维-三维对应关系', 'ratio': 0.6666666666666666}, {'word': '对应关系', 'ratio': 0.1111111111111111}, {'word': '2D-3D对应关系', 'ratio': 0.1111111111111111}, {'word': '维-三维对应', 'ratio': 0.1111111111111111}]",,,[]
7,7,3D bounding box,三维包围盒,0.0,9,"[{'word': '三维边界框', 'ratio': 0.6666666666666666}, {'word': '边界框', 'ratio': 0.1111111111111111}, {'word': '3D边界框', 'ratio': 0.1111111111111111}, {'word': '维边界框', 'ratio': 0.1111111111111111}]",,,[]
8,8,3D computer vision,三维计算机视觉,0.6666666666666666,9,"[{'word': '三维计算机视觉', 'ratio': 0.6666666666666666}, {'word': '计算机视觉', 'ratio': 0.1111111111111111}, {'word': '3D计算机视觉', 'ratio': 0.1111111111111111}, {'word': '维计算机视觉', 'ratio': 0.1111111111111111}]",,,[]
9,9,3D convolutional network,三维卷积网络,0.6666666666666666,9,"[{'word': '三维卷积网络', 'ratio': 0.6666666666666666}, {'word': '卷积网络', 'ratio': 0.1111111111111111}, {'word': '3D卷积网络', 'ratio': 0.1111111111111111}, {'word': '维卷积网络', 'ratio': 0.1111111111111111}]",3D卷积网络,"```
1. Candidate: ""3D卷积网络""
2. Explanation: ""3D卷积网络"" is the best translation candidate because it directly translates to ""3D convolutional network,"" maintaining both the dimensional aspect and the specific type of neural network architecture. This term is widely used in the AI domain to refer to networks that process three-dimensional data, such as video or volumetric data, and is semantically accurate in the context of AI and machine learning. The back translation also matches perfectly, ensuring contextual fit and clarity in both languages.
```","['Convolutional network', '3D convolutional network', '3D convolutional network', 'dimensional convolutional network']"
10,10,3D geometry,三维几何,0.875,8,"[{'word': '三维几何', 'ratio': 0.875}, {'word': '3D几何', 'ratio': 0.125}]",,,[]
11,11,3D human pose estimation,三维人体姿态估计,0.875,8,"[{'word': '三维人体姿态估计', 'ratio': 0.875}, {'word': '3D人类姿态估计', 'ratio': 0.125}]",,,[]
12,12,3D localization,三维定位,0.875,8,"[{'word': '三维定位', 'ratio': 0.875}, {'word': '3D定位', 'ratio': 0.125}]",,,[]
13,13,3D mesh,3D网格,0.125,8,"[{'word': '三维网格', 'ratio': 0.875}, {'word': '3D网格', 'ratio': 0.125}]",三维网格,"```
1. Candidate: 三维网格
2. Explanation: The term ""三维网格"" is the best fit for translating ""3D mesh"" in the context of AI and computer graphics. ""三维"" directly translates to ""three-dimensional,"" which is a precise representation of ""3D,"" and ""网格"" translates to ""mesh,"" which is commonly used in the field to describe a network of vertices, edges, and faces that define the shape of a 3D object. This translation maintains semantic accuracy and is widely recognized in the AI and computer graphics communities, ensuring contextual fit and understanding.
```","['3D mesh', '3D mesh']"
14,14,3D model,三维模型,0.875,8,"[{'word': '三维模型', 'ratio': 0.875}, {'word': '3D模型', 'ratio': 0.125}]",,,[]
15,15,3D object detection,三维目标检测,0.0,8,"[{'word': '3D物体检测', 'ratio': 0.5}, {'word': '三维物体检测', 'ratio': 0.5}]",,,[]
16,16,3D point,三维点,0.5,8,"[{'word': '3D点', 'ratio': 0.5}, {'word': '三维点', 'ratio': 0.5}]",,,[]
17,17,3D point cloud,三维点云,0.5,8,"[{'word': '3D点云', 'ratio': 0.5}, {'word': '三维点云', 'ratio': 0.5}]",3D 点云,"```
1. Candidate: 3D 点云
2. Explanation: The candidate ""3D 点云"" is the best fit because it maintains the original English term ""3D"" which is commonly used in the AI and computer vision fields, ensuring clarity and consistency with international terminology. The term ""点云"" accurately translates to ""point cloud,"" which is a standard term in the context of 3D data representation. This candidate also has a perfect back translation, indicating semantic accuracy and contextual fit in both languages.
```","['3D point cloud', '3D point cloud', '3D point cloud']"
18,18,3D pose,三维姿势,0.0,8,"[{'word': '3D姿态', 'ratio': 0.5}, {'word': '三维姿态', 'ratio': 0.5}]",,,[]
19,19,3D reconstruction,三维重建,0.5,8,"[{'word': '3D重建', 'ratio': 0.5}, {'word': '三维重建', 'ratio': 0.5}]",,,[]
20,20,3D scene,三维场景,0.7,10,"[{'word': '三维场景', 'ratio': 0.7}, {'word': '3D场景', 'ratio': 0.3}]",,,[]
21,21,3D scene geometry,3D场景几何,0.3,10,"[{'word': '三维场景几何', 'ratio': 0.7}, {'word': '3D场景几何', 'ratio': 0.3}]",三维场景几何,"```
1. Candidate: ""三维场景几何""
2. Explanation: The term ""三维场景几何"" is the best fit for translating ""3D scene geometry"" in the context of AI and computer vision. This candidate accurately captures the concept of three-dimensional spatial structure within a scene, which is crucial for tasks like view synthesis and scene understanding. The term ""三维"" explicitly denotes ""3D,"" ensuring clarity in the dimensionality aspect, while ""场景几何"" effectively conveys the idea of geometric properties within a scene. This translation maintains semantic accuracy and aligns well with domain-specific usage, as it is commonly used in Chinese technical literature to describe the geometric aspects of 3D scenes in AI applications.
```","['3D scene geometry', '3D scene geometry']"
22,22,3D structure,三维结构,0.7,10,"[{'word': '三维结构', 'ratio': 0.7}, {'word': '3D结构', 'ratio': 0.3}]",,,[]
23,23,5-fold cross validation,5重交叉验证,0.0,10,"[{'word': '5折交叉验证', 'ratio': 0.9}, {'word': '五折交叉验证', 'ratio': 0.1}]",5折交叉验证,"```
1. Candidate: ""5折交叉验证""
2. Explanation: ""5折交叉验证"" is the best fit because it accurately conveys the concept of ""5-fold cross validation"" in the context of AI and machine learning. The term ""折"" is commonly used in Chinese to denote ""fold"" in the context of cross-validation, and ""5折"" directly translates to ""5-fold,"" maintaining both semantic accuracy and domain-specific usage. The back translation ""5 fold cross validation"" aligns well with the original English term, ensuring contextual fit.
```","['5-fold cross validation', 'Five-fold cross-validation', '5 fold cross validation']"
24,24,A * algorithm,A*算法,0.8,10,"[{'word': 'A*算法', 'ratio': 0.8}, {'word': 'A* 算法', 'ratio': 0.2}]",,,[]
25,25,A/B test,A/B测试,0.3333333333333333,9,"[{'word': 'A/B 测试', 'ratio': 0.5555555555555556}, {'word': 'A/B测试', 'ratio': 0.3333333333333333}, {'word': '测试', 'ratio': 0.1111111111111111}]",,,[]
26,26,A2C,A2C,0.7777777777777778,9,"[{'word': 'A2C', 'ratio': 0.7777777777777778}, {'word': '他住过', 'ratio': 0.1111111111111111}, {'word': '优势-价值', 'ratio': 0.1111111111111111}]",,,[]
27,27,Ablation study,消融研究,1.0,7,"[{'word': '消融研究', 'ratio': 1.0}]",,,[]
28,28,Accuracy,准确性,0.2857142857142857,7,"[{'word': '准确率', 'ratio': 0.5714285714285714}, {'word': '准确性', 'ratio': 0.2857142857142857}, {'word': '准确度', 'ratio': 0.14285714285714285}]",,,[]
29,29,Active learning,主动学习,1.0,7,"[{'word': '主动学习', 'ratio': 1.0}]",主动学习,"```
1. Candidate: 主动学习
2. Explanation: The term ""主动学习"" is the most widely accepted translation for ""Active learning"" in the AI domain. It accurately captures the essence of the concept, which involves the model actively selecting the most informative data points to label, thereby optimizing the learning process. The back translation to ""Active learning"" confirms its semantic accuracy and contextual fit. This term is commonly used in Chinese AI literature and aligns well with the context provided, where the focus is on selection strategies and cost-effective label acquisition.
```",['Active learning']
30,30,Adafactor,Adafactor,0.5714285714285714,7,"[{'word': 'Adafactor', 'ratio': 0.5714285714285714}, {'word': '阿達法特', 'ratio': 0.14285714285714285}, {'word': '阿达法特', 'ratio': 0.14285714285714285}, {'word': 'Adafactor优化器', 'ratio': 0.14285714285714285}]",,,[]
31,31,Adam,Adam,0.6,5,"[{'word': 'Adam', 'ratio': 0.6}, {'word': '亚当', 'ratio': 0.2}, {'word': '卷积核', 'ratio': 0.2}]",,,[]
32,32,Adam algorithm,Adam算法,0.6,5,"[{'word': 'Adam算法', 'ratio': 0.6}, {'word': 'Adam 算法', 'ratio': 0.2}, {'word': '卷积核', 'ratio': 0.2}]",,,[]
33,33,Adam optimiser,亚当优化器,0.0,5,"[{'word': 'Adam优化器', 'ratio': 0.6}, {'word': '亚当精炼器', 'ratio': 0.2}, {'word': '卷积核', 'ratio': 0.2}]",,,[]
34,34,Adam optimization,Adam优化算法,0.0,5,"[{'word': 'Adam优化', 'ratio': 0.6}, {'word': '亚当·奥伊', 'ratio': 0.2}, {'word': '卷积核', 'ratio': 0.2}]",,,[]
35,35,Adam optimization algorithm,Adam优化算法,0.6,5,"[{'word': 'Adam优化算法', 'ratio': 0.6}, {'word': 'Adam 优化算法', 'ratio': 0.2}, {'word': '卷积核', 'ratio': 0.2}]",,,[]
36,36,Adam optimizer,Adam优化器,0.7777777777777778,9,"[{'word': 'Adam优化器', 'ratio': 0.7777777777777778}, {'word': 'Adam 优化器', 'ratio': 0.1111111111111111}, {'word': '优化器', 'ratio': 0.1111111111111111}]",,,[]
37,37,Adapter,适配器,1.0,9,"[{'word': '适配器', 'ratio': 1.0}]",,,[]
38,38,Algorithm,算法,1.0,9,"[{'word': '算法', 'ratio': 1.0}]",,,[]
39,39,Answer Set Programming,答集规划,0.0,9,"[{'word': '答案集编程', 'ratio': 1.0}]",,,[]
40,40,Apriori,先验,0.0,9,"[{'word': '先验算法', 'ratio': 0.4444444444444444}, {'word': '先驗', 'ratio': 0.2222222222222222}, {'word': 'Apriori', 'ratio': 0.2222222222222222}, {'word': '阿普里奥', 'ratio': 0.1111111111111111}]",,,[]
41,41,Apriori algorithm,Apriori算法,0.1111111111111111,9,"[{'word': '先验算法', 'ratio': 0.3333333333333333}, {'word': 'Apriori演算法', 'ratio': 0.1111111111111111}, {'word': '先验i算法', 'ratio': 0.1111111111111111}, {'word': '先驗演算法', 'ratio': 0.1111111111111111}, {'word': 'Apriori算法', 'ratio': 0.1111111111111111}, {'word': '算法', 'ratio': 0.1111111111111111}, {'word': 'Apriori 算法', 'ratio': 0.1111111111111111}]",,,[]
42,42,Arcade Learning Environment,街机学习环境,0.8888888888888888,9,"[{'word': '街机学习环境', 'ratio': 0.8888888888888888}, {'word': '游戏学习环境', 'ratio': 0.1111111111111111}]",,,[]
43,43,Artificial Intelligence,人工智能,1.0,10,"[{'word': '人工智能', 'ratio': 1.0}]",,,[]
44,44,Attention,注意力,0.6,10,"[{'word': '注意力', 'ratio': 0.6}, {'word': '注意力机制', 'ratio': 0.4}]",,,[]
45,45,Autoencoder,自编码器,1.0,10,"[{'word': '自编码器', 'ratio': 1.0}]",,,[]
46,46,Automatic Speech Recognition,自动语音识别,1.0,10,"[{'word': '自动语音识别', 'ratio': 1.0}]",,,[]
47,47,Autonomous Systems,自主系统,0.8,10,"[{'word': '自主系统', 'ratio': 0.8}, {'word': '自治系统', 'ratio': 0.2}]",自主系统,"```
1. Candidate: 自主系统
2. Explanation: The term ""自主系统"" is the best fit for ""Autonomous Systems"" in the context of AI and technology. ""自主"" emphasizes self-governance and self-control, which aligns with the concept of systems operating independently without human intervention, a key characteristic of autonomous systems in AI. In contrast, ""自治"" often implies self-administration or self-regulation, which may not fully capture the technological nuance of autonomy in AI systems. The back translation of ""自主系统"" as ""autonomous system"" also maintains the intended meaning, ensuring semantic accuracy and contextual fit within the AI domain.
```","['autonomous system', 'autonomous system']"
48,48,Average Pool,平均池化层,0.0,10,"[{'word': '平均池化', 'ratio': 1.0}]",,,[]
49,49,Average Precision,平均精度,0.8,10,"[{'word': '平均精度', 'ratio': 0.8}, {'word': '平均精确率', 'ratio': 0.2}]",,,[]
50,50,Azuma-Hoeffding inequality,阿兹玛-霍夫丁不等式,0.0,10,"[{'word': '阿祖马-霍夫丁不等式', 'ratio': 0.3}, {'word': 'Azuma-Hoeffding不等式', 'ratio': 0.2}, {'word': 'Azuma-Hoeffding 不等式', 'ratio': 0.1}, {'word': '阿祖玛-霍夫丁不等式', 'ratio': 0.1}, {'word': '不等式', 'ratio': 0.1}, {'word': '阿祖玛-赫夫丁不等式', 'ratio': 0.1}, {'word': '安祖马-霍夫丁不等式', 'ratio': 0.1}]",,,[]
51,51,B-spline,B样条,1.0,10,"[{'word': 'B样条', 'ratio': 1.0}]",B样条,"```
1. Candidate: B样条
2. Explanation: The term ""B样条"" is a direct translation of ""B-spline"" and is widely used in the Chinese-speaking AI and computer graphics communities. The back translation ""B-splines"" accurately reflects the original English term, indicating that the semantic meaning is preserved. In the context of AI, B-splines are often used for modeling and controlling shapes and deformations, which aligns with the usage in the provided context. Therefore, ""B样条"" is the best fit for maintaining both semantic accuracy and domain-specific usage.
```",['B-splines']
52,52,Backbone,主干网络,0.6,10,"[{'word': '主干网络', 'ratio': 0.6}, {'word': '骨干网络', 'ratio': 0.3}, {'word': '骨干', 'ratio': 0.1}]",,,[]
53,53,Backpropagation,反向传播,1.0,10,"[{'word': '反向传播', 'ratio': 1.0}]",,,[]
54,54,Baseline,基准 (Baseline),0.0,10,"[{'word': '基线', 'ratio': 0.5}, {'word': '基准线', 'ratio': 0.4}, {'word': '基准', 'ratio': 0.1}]",,,[]
55,55,Basis Pursuit,基追求,0.2,10,"[{'word': '基追踪', 'ratio': 0.5}, {'word': '基追求', 'ratio': 0.2}, {'word': '基础追踪', 'ratio': 0.2}, {'word': '基追算法', 'ratio': 0.1}]",,,[]
56,56,Batch Normalization,批量归一化,0.9,10,"[{'word': '批量归一化', 'ratio': 0.9}, {'word': '批归一化', 'ratio': 0.1}]",,,[]
57,57,Baum-Welch algorithm,鲍姆-韦尔奇算法,0.8,10,"[{'word': '鲍姆-韦尔奇算法', 'ratio': 0.8}, {'word': '鲍姆-威尔奇算法', 'ratio': 0.1}, {'word': '鲍姆-维尔奇算法', 'ratio': 0.1}]",,,[]
58,58,Bayes,贝叶斯,1.0,10,"[{'word': '贝叶斯', 'ratio': 1.0}]",,,[]
59,59,Bayes classifier,贝叶斯分类器,1.0,10,"[{'word': '贝叶斯分类器', 'ratio': 1.0}]",,,[]
60,60,Bayes factor,贝叶斯因子,1.0,8,"[{'word': '贝叶斯因子', 'ratio': 1.0}]",,,[]
61,61,Bayes formula,贝叶斯公式,1.0,8,"[{'word': '贝叶斯公式', 'ratio': 1.0}]",,,[]
62,62,Bayes net,贝叶斯网络,1.0,8,"[{'word': '贝叶斯网络', 'ratio': 1.0}]",,,[]
63,63,Bayes optimal classifier,贝叶斯最优分类器,1.0,8,"[{'word': '贝叶斯最优分类器', 'ratio': 1.0}]",,,[]
64,64,Bayes risk,贝叶斯风险,1.0,8,"[{'word': '贝叶斯风险', 'ratio': 1.0}]",,,[]
65,65,Bayes risk decoding,贝叶斯风险解码,1.0,9,"[{'word': '贝叶斯风险解码', 'ratio': 1.0}]",,,[]
66,66,Bayes rule,贝叶斯定理,0.0,9,"[{'word': '贝叶斯规则', 'ratio': 0.7777777777777778}, {'word': '贝叶斯法则', 'ratio': 0.2222222222222222}]",,,[]
67,67,Bayes theorem,贝叶斯定理,1.0,9,"[{'word': '贝叶斯定理', 'ratio': 1.0}]",贝叶斯定理,"```
1. Candidate: 贝叶斯定理
2. Explanation: The translation ""贝叶斯定理"" is the standard and widely accepted translation for ""Bayes theorem"" in the Chinese language, especially within the AI and statistical domains. It accurately conveys the concept of Bayes theorem, which is fundamental in probability theory and statistics, and is frequently used in AI for tasks involving probabilistic inference. The back translation to ""Bayes theorem"" confirms its semantic accuracy and contextual fit, ensuring that the meaning is preserved across languages.
```",['Bayes theorem']
68,68,Bayes-Nash equilibrium,贝叶斯-纳什均衡,1.0,9,"[{'word': '贝叶斯-纳什均衡', 'ratio': 1.0}]",,,[]
69,69,Bayesian Information Criterion,贝叶斯信息准则,1.0,9,"[{'word': '贝叶斯信息准则', 'ratio': 1.0}]",贝叶斯信息准则,"```
1. Candidate: 贝叶斯信息准则
2. Explanation: The translation ""贝叶斯信息准则"" is the best fit for ""Bayesian Information Criterion"" because it accurately captures the technical meaning of the term within the AI domain. The term ""贝叶斯"" directly refers to ""Bayesian,"" which is a fundamental concept in statistics and machine learning, ensuring that the translation maintains the original term's association with Bayesian methods. ""信息准则"" translates to ""Information Criterion,"" which is a standard translation in statistical contexts, preserving the term's function as a criterion for model evaluation. The back translation confirms the semantic accuracy, as it returns to ""Bayesian Information Criterion,"" indicating that the translation is both contextually and technically appropriate for AI-related discussions.
```",['Bayesian Information Criterion']
70,70,Bayesian Network,贝叶斯网络,1.0,9,"[{'word': '贝叶斯网络', 'ratio': 1.0}]",,,[]
71,71,Bayesian active learning,贝叶斯主动学习,1.0,9,"[{'word': '贝叶斯主动学习', 'ratio': 1.0}]",,,[]
72,72,Bayesian analysis,贝叶斯分析,1.0,9,"[{'word': '贝叶斯分析', 'ratio': 1.0}]",,,[]
73,73,Bayesian approach,贝叶斯方法,1.0,9,"[{'word': '贝叶斯方法', 'ratio': 1.0}]",,,[]
74,74,Bayesian clustering,贝叶斯聚类,1.0,9,"[{'word': '贝叶斯聚类', 'ratio': 1.0}]",,,[]
75,75,Bayesian decision,贝叶斯决策,1.0,8,"[{'word': '贝叶斯决策', 'ratio': 1.0}]",,,[]
76,76,Bayesian deep learning,贝叶斯深度学习,1.0,8,"[{'word': '贝叶斯深度学习', 'ratio': 1.0}]",,,[]
77,77,Bayesian evidence,贝叶斯证据,1.0,8,"[{'word': '贝叶斯证据', 'ratio': 1.0}]",,,[]
78,78,Bayesian framework,贝叶斯框架,1.0,8,"[{'word': '贝叶斯框架', 'ratio': 1.0}]",,,[]
79,79,Bayesian game,贝叶斯博弈,1.0,8,"[{'word': '贝叶斯博弈', 'ratio': 1.0}]",贝叶斯博弈,"```
1. Candidate: 贝叶斯博弈
2. Explanation: The term ""贝叶斯博弈"" is the most semantically accurate translation for ""Bayesian game"" in the context of AI and game theory. The term ""贝叶斯"" directly translates to ""Bayesian,"" which refers to the probabilistic approach based on Bayes' theorem, commonly used in AI for modeling uncertainty. ""博弈"" translates to ""game,"" which is consistent with the game-theoretic context where strategies and equilibria are analyzed. The back translation confirms the accuracy as it returns to ""Bayesian game,"" ensuring that the original meaning is preserved. This translation is widely accepted in academic and professional settings within the AI domain, making it the best fit for the given context.
```",['Bayesian game']
80,80,Bayesian inference,贝叶斯推断,1.0,9,"[{'word': '贝叶斯推断', 'ratio': 1.0}]",,,[]
81,81,Bayesian learning,贝叶斯学习,1.0,9,"[{'word': '贝叶斯学习', 'ratio': 1.0}]",,,[]
82,82,Bayesian method,贝叶斯方法,1.0,9,"[{'word': '贝叶斯方法', 'ratio': 1.0}]",贝叶斯方法,"```
1. Candidate: 贝叶斯方法
2. Explanation: The term ""贝叶斯方法"" is the most semantically accurate translation for ""Bayesian method"" in the context of AI. This translation is widely accepted in the Chinese AI community and accurately conveys the concept of Bayesian approaches used in statistical modeling and machine learning. The back translation as ""Bayesian approach"" maintains the core meaning, indicating that the translation captures the essence of the original term. In the AI domain, ""贝叶斯方法"" is commonly used to describe methods that incorporate Bayesian inference, which aligns with the context provided, such as uncertainty sampling strategies and solving nonconvex optimization problems using flexible priors.
```",['Bayesian approach']
83,83,Bayesian model,贝叶斯模型,1.0,9,"[{'word': '贝叶斯模型', 'ratio': 1.0}]",,,[]
84,84,Bayesian optimization,贝叶斯优化,1.0,9,"[{'word': '贝叶斯优化', 'ratio': 1.0}]",,,[]
