,Unnamed: 0,word,gold,exact_match_ratio,prediction_count,prediction_ratio,validated_translation,reason,back_translations
0,0,10-fold cross validation,10-кратная перекрестная проверка,0.2,10,"[{'word': '10-кратная кросс-валидация', 'ratio': 0.6}, {'word': '10-кратная перекрестная проверка', 'ratio': 0.2}, {'word': '10-кратная перекрёстная проверка', 'ratio': 0.1}, {'word': '10-кратная кросс-проверка', 'ratio': 0.1}]",10-кратная кросс-валидация,{},[]
1,1,1D convolution,одномерная свертка,0.0,10,"[{'word': '1D свертка', 'ratio': 0.9}, {'word': '1D свёртка', 'ratio': 0.1}]",1D свертка,{},[]
2,2,2 norm,2 норма,0.0,10,"[{'word': '2-норма', 'ratio': 0.4}, {'word': 'Норма 2', 'ratio': 0.3}, {'word': 'норма 2', 'ratio': 0.3}]","""2-норма""","```
1. Candidate: ""2-норма""
2. Explanation: The term ""2-норма"" is the best fit for translating ""2 norm"" in the context of AI and mathematics. In Russian mathematical and AI literature, norms are often denoted with a hyphen to indicate the specific type of norm being referred to, such as ""1-норма"" for 1-norm or ""∞-норма"" for infinity norm. This usage aligns with the standard mathematical notation and ensures clarity and precision in technical contexts. The back translation ""2-norm"" accurately reflects the original English term, maintaining semantic accuracy and contextual fit within the AI domain.
```","['2 norm', 'norm 2', 'Norm 2', '2-norm']"
3,3,2D convolution,2D свертка,0.9,10,"[{'word': '2D свертка', 'ratio': 0.9}, {'word': '2D свёртка', 'ratio': 0.1}]",2D свертка,{},[]
4,4,2D image,2D изображение,1.0,10,"[{'word': '2D изображение', 'ratio': 1.0}]",2D изображение,{},[]
5,5,2D image synthesis,синтез 2D-изображений,0.4,10,"[{'word': '2D-синтез изображений', 'ratio': 0.4}, {'word': 'синтез 2D-изображений', 'ratio': 0.4}, {'word': '2D синтез изображений', 'ratio': 0.1}, {'word': '2D-изображение синтез', 'ratio': 0.1}]","""Синтез 2D-изображений""","```
1. Candidate: ""Синтез 2D-изображений""
2. Explanation: ""Синтез 2D-изображений"" is the best fit because it accurately captures the concept of ""2D image synthesis"" in Russian, maintaining the correct order and structure of the terms. The term ""синтез"" (synthesis) is commonly used in the AI domain to describe the process of generating or creating images, and ""2D-изображений"" (2D images) clearly specifies the type of images being synthesized. This candidate also aligns well with the back translation, ensuring semantic accuracy and contextual fit within the AI domain.
```","['2D image synthesis', '2D image synthesis', '2D image synthesis', '2D image synthesis', '2D image synthesis']"
6,6,2D-3D correspondence,2D-3D соответствие,0.5,10,"[{'word': '2D-3D соответствие', 'ratio': 0.5}, {'word': 'соответствие 2D-3D', 'ratio': 0.5}]",2D-3D соответствие,{},[]
7,7,3D bounding box,3D ограничивающий параллелепипед,0.0,10,"[{'word': '3D-ограничивающая рамка', 'ratio': 0.3}, {'word': '3D-граница', 'ratio': 0.2}, {'word': '3D-ограничивающая коробка', 'ratio': 0.2}, {'word': '3D ограничивающая коробка', 'ratio': 0.1}, {'word': '3D ограничивающая рамка', 'ratio': 0.1}, {'word': '3D-ограничивающий ящик', 'ratio': 0.1}]","""3D-ограничивающая коробка""","```
1. Candidate: ""3D-ограничивающая коробка""

2. Explanation: The term ""3D bounding box"" in the context of AI and computer vision refers to a three-dimensional box that encapsulates an object in a 3D space, used for object detection and localization. The candidate ""3D-ограничивающая коробка"" directly translates to ""3D bounding box"" and maintains the semantic meaning of a box that limits or bounds an object in three dimensions. The word ""коробка"" (box) accurately conveys the concept of a volumetric space, which is crucial for understanding the term in AI applications. Other candidates like ""рамка"" (frame) or ""граница"" (border) do not fully capture the three-dimensional aspect of the term, making ""коробка"" the most contextually appropriate choice for the AI domain. Additionally, the back translation to ""3D bounding box"" confirms its accuracy and contextual fit.
```","['3D bounding box', '3D bounding box', '3D bounding box', '3D bounding box', '3D border', '3D bounding box', '3D bounding box']"
8,8,3D computer vision,трехмерное компьютерное зрение,0.0,10,"[{'word': '3D-компьютерное зрение', 'ratio': 0.8}, {'word': '3D компьютерное зрение', 'ratio': 0.2}]",3D-компьютерное зрение,{},[]
9,9,3D convolutional network,трёхмерная сверточная сеть,0.0,10,"[{'word': '3D-сверточная сеть', 'ratio': 0.8}, {'word': '3D свёрточная сеть', 'ratio': 0.2}]",3D-сверточная сеть,{},[]
