,English,English_human
0,10-fold cross validation,10-fold cross validation
1,1d convolution,1D convolution
2,2 norm,2 norm
3,2d convolution,2D convolution
4,2d image,2D image
5,2d image synthesis,2D image synthesis
6,2d-3d correspondence,2D-3D correspondence
7,3d bounding box,3D bounding box
8,3d computer vision,3D computer vision
9,3d convolutional network,3D convolutional network
10,3d geometry,3D geometry
11,3d human pose estimation,3D human pose estimation
12,3d localization,3D localization
13,3d mesh,3D mesh
14,3d model,3D model
15,3d object detection,3D object detection
16,3d point,3D point
17,3d point cloud,3D point cloud
18,3d pose,3D pose
19,3d reconstruction,3D reconstruction
20,3d scene,3D scene
21,3d scene geometry,3D scene geometry
22,3d structure,3D structure
23,5-fold cross validation,5-fold cross validation
24,a * algorithm,A * algorithm
25,a/b test,A/B test
26,a2c,A2C
27,abductive explanation,abductive explanation
28,ablation analysis,ablation analysis
29,ablation experiment,ablation experiment
30,ablation study,Ablation study
31,abstraction,abstraction
32,abstraction heuristic,abstraction heuristic
33,abstractive summarization,abstractive summarization
34,acceptance function,acceptance function
35,acceptance probability,acceptance probability
36,accuracy,accuracy
37,acoustic feature,acoustic feature
38,acoustic model,acoustic model
39,acquisition function,acquisition function
40,action classification,action classification
41,action embedding,action embedding
42,action recognition,action recognition
43,action sequence,action sequence
44,action set,action set
45,action space,action space
46,action-value function,action-value function
47,actionability,actionability
48,activation,activation
49,activation function,activation function
50,activation matrix,activation matrix
51,activation vector,activation vector
52,active learning,active learning
53,active learning loop,active learning loop
54,active set,active set
55,activity detection,activity detection
56,activity recognition,activity recognition
57,actor,actor
58,actor critic algorithm,actor critic algorithm
59,actor network,actor network
60,actor-critic framework,actor-critic framework
61,actor-critic method,actor-critic method
62,adapter,Adapter
63,adaptive boosting algorithm,adaptive boosting algorithm
64,adaptive thresholding,adaptive thresholding
65,additive gaussian noise,additive Gaussian noise
66,additive noise,additive noise
67,adjacency,adjacency
68,adjacency matrix,adjacency matrix
69,advantage function,advantage function
70,advcl,advcl
71,adversarial attack,adversarial attack
72,adversarial dataset,adversarial dataset
73,adversarial example,adversarial example
74,adversarial filtering,adversarial filtering
75,adversarial input,adversarial input
