,Unnamed: 0,word,gold,exact_match_ratio,prediction_count,prediction_ratio,validated_translation,reason,back_translations
0,0,10-fold cross validation,十折交叉验证,0.0,8,"[{'word': '10折交叉验证', 'ratio': 0.75}, {'word': '10倍交叉验证', 'ratio': 0.125}, {'word': '10 倍交叉验证', 'ratio': 0.125}]",,,[]
1,1,1D convolution,1D 卷积,0.0,8,"[{'word': '一维卷积', 'ratio': 1.0}]",,,[]
2,2,2 norm,2范数,0.375,8,"[{'word': '二范数', 'ratio': 0.625}, {'word': '2范数', 'ratio': 0.375}]",,,[]
3,3,2D convolution,二维卷积,1.0,8,"[{'word': '二维卷积', 'ratio': 1.0}]",,,[]
4,4,2D image,二维图像,1.0,8,"[{'word': '二维图像', 'ratio': 1.0}]",二维图像,"```
1. Candidate: ""二维图像""
2. Explanation: The translation ""二维图像"" is the best fit because it accurately captures the concept of a ""2D image"" in the context of AI and computer vision. The term ""二维"" directly translates to ""two-dimensional,"" which is essential for maintaining the technical meaning of the original term. ""图像"" translates to ""image,"" which is the correct term used in AI to refer to visual data. The back translation also returns to ""2D image,"" indicating semantic accuracy and consistency. This translation is widely used in AI literature and aligns with domain-specific terminology.
```",['2D image']
5,5,2D image synthesis,二维图像合成,0.6666666666666666,9,"[{'word': '二维图像合成', 'ratio': 0.6666666666666666}, {'word': '图像合成', 'ratio': 0.1111111111111111}, {'word': '2D图像合成', 'ratio': 0.1111111111111111}, {'word': '维图像合成', 'ratio': 0.1111111111111111}]",,,[]
6,6,2D-3D correspondence,二维三维对应关系,0.0,9,"[{'word': '二维-三维对应关系', 'ratio': 0.6666666666666666}, {'word': '对应关系', 'ratio': 0.1111111111111111}, {'word': '2D-3D对应关系', 'ratio': 0.1111111111111111}, {'word': '维-三维对应', 'ratio': 0.1111111111111111}]",,,[]
7,7,3D bounding box,三维包围盒,0.0,9,"[{'word': '三维边界框', 'ratio': 0.6666666666666666}, {'word': '边界框', 'ratio': 0.1111111111111111}, {'word': '3D边界框', 'ratio': 0.1111111111111111}, {'word': '维边界框', 'ratio': 0.1111111111111111}]",,,[]
8,8,3D computer vision,三维计算机视觉,0.6666666666666666,9,"[{'word': '三维计算机视觉', 'ratio': 0.6666666666666666}, {'word': '计算机视觉', 'ratio': 0.1111111111111111}, {'word': '3D计算机视觉', 'ratio': 0.1111111111111111}, {'word': '维计算机视觉', 'ratio': 0.1111111111111111}]",,,[]
9,9,3D convolutional network,三维卷积网络,0.6666666666666666,9,"[{'word': '三维卷积网络', 'ratio': 0.6666666666666666}, {'word': '卷积网络', 'ratio': 0.1111111111111111}, {'word': '3D卷积网络', 'ratio': 0.1111111111111111}, {'word': '维卷积网络', 'ratio': 0.1111111111111111}]",,,[]
10,10,3D geometry,三维几何,0.875,8,"[{'word': '三维几何', 'ratio': 0.875}, {'word': '3D几何', 'ratio': 0.125}]",,,[]
11,11,3D human pose estimation,三维人体姿态估计,0.875,8,"[{'word': '三维人体姿态估计', 'ratio': 0.875}, {'word': '3D人类姿态估计', 'ratio': 0.125}]",,,[]
12,12,3D localization,三维定位,0.875,8,"[{'word': '三维定位', 'ratio': 0.875}, {'word': '3D定位', 'ratio': 0.125}]",,,[]
13,13,3D mesh,3D网格,0.125,8,"[{'word': '三维网格', 'ratio': 0.875}, {'word': '3D网格', 'ratio': 0.125}]",,,[]
14,14,3D model,三维模型,0.875,8,"[{'word': '三维模型', 'ratio': 0.875}, {'word': '3D模型', 'ratio': 0.125}]",,,[]
15,15,3D object detection,三维目标检测,0.0,8,"[{'word': '3D物体检测', 'ratio': 0.5}, {'word': '三维物体检测', 'ratio': 0.5}]",,,[]
16,16,3D point,三维点,0.5,8,"[{'word': '3D点', 'ratio': 0.5}, {'word': '三维点', 'ratio': 0.5}]",,,[]
17,17,3D point cloud,三维点云,0.5,8,"[{'word': '3D点云', 'ratio': 0.5}, {'word': '三维点云', 'ratio': 0.5}]",,,[]
18,18,3D pose,三维姿势,0.0,8,"[{'word': '3D姿态', 'ratio': 0.5}, {'word': '三维姿态', 'ratio': 0.5}]",,,[]
19,19,3D reconstruction,三维重建,0.5,8,"[{'word': '3D重建', 'ratio': 0.5}, {'word': '三维重建', 'ratio': 0.5}]",,,[]
20,20,3D scene,三维场景,0.7,10,"[{'word': '三维场景', 'ratio': 0.7}, {'word': '3D场景', 'ratio': 0.3}]",,,[]
21,21,3D scene geometry,3D场景几何,0.3,10,"[{'word': '三维场景几何', 'ratio': 0.7}, {'word': '3D场景几何', 'ratio': 0.3}]",,,[]
22,22,3D structure,三维结构,0.7,10,"[{'word': '三维结构', 'ratio': 0.7}, {'word': '3D结构', 'ratio': 0.3}]",,,[]
23,23,5-fold cross validation,5重交叉验证,0.0,10,"[{'word': '5折交叉验证', 'ratio': 0.9}, {'word': '五折交叉验证', 'ratio': 0.1}]",,,[]
24,24,A * algorithm,A*算法,0.8,10,"[{'word': 'A*算法', 'ratio': 0.8}, {'word': 'A* 算法', 'ratio': 0.2}]",,,[]
25,25,A/B test,A/B测试,0.3333333333333333,9,"[{'word': 'A/B 测试', 'ratio': 0.5555555555555556}, {'word': 'A/B测试', 'ratio': 0.3333333333333333}, {'word': '测试', 'ratio': 0.1111111111111111}]",,,[]
26,26,A2C,A2C,0.7777777777777778,9,"[{'word': 'A2C', 'ratio': 0.7777777777777778}, {'word': '他住过', 'ratio': 0.1111111111111111}, {'word': '优势-价值', 'ratio': 0.1111111111111111}]",优势-价值,"```
1. Candidate: 优势-价值
2. Explanation: The term ""A2C"" in the context of AI refers to ""Advantage Actor-Critic,"" a reinforcement learning algorithm. The translation ""优势-价值"" accurately captures the essence of the A2C algorithm by focusing on the ""advantage"" aspect, which is a key component of the algorithm's function. This translation maintains semantic accuracy and aligns well with the AI domain-specific usage, as it reflects the core concept of advantage estimation used in A2C. The back translation ""Advantage-Value"" also supports this contextual fit, ensuring that the meaning is preserved across languages.
```","['Advantage-Value', 'A2C', 'he lived']"
27,27,Ablation study,消融研究,1.0,7,"[{'word': '消融研究', 'ratio': 1.0}]",,,[]
28,28,Accuracy,准确性,0.2857142857142857,7,"[{'word': '准确率', 'ratio': 0.5714285714285714}, {'word': '准确性', 'ratio': 0.2857142857142857}, {'word': '准确度', 'ratio': 0.14285714285714285}]",,,[]
29,29,Active learning,主动学习,1.0,7,"[{'word': '主动学习', 'ratio': 1.0}]",,,[]
30,30,Adafactor,Adafactor,0.5714285714285714,7,"[{'word': 'Adafactor', 'ratio': 0.5714285714285714}, {'word': '阿達法特', 'ratio': 0.14285714285714285}, {'word': '阿达法特', 'ratio': 0.14285714285714285}, {'word': 'Adafactor优化器', 'ratio': 0.14285714285714285}]",,,[]
31,31,Adam,Adam,0.6,5,"[{'word': 'Adam', 'ratio': 0.6}, {'word': '亚当', 'ratio': 0.2}, {'word': '卷积核', 'ratio': 0.2}]",,,[]
32,32,Adam algorithm,Adam算法,0.6,5,"[{'word': 'Adam算法', 'ratio': 0.6}, {'word': 'Adam 算法', 'ratio': 0.2}, {'word': '卷积核', 'ratio': 0.2}]",,,[]
33,33,Adam optimiser,亚当优化器,0.0,5,"[{'word': 'Adam优化器', 'ratio': 0.6}, {'word': '亚当精炼器', 'ratio': 0.2}, {'word': '卷积核', 'ratio': 0.2}]",,,[]
34,34,Adam optimization,Adam优化算法,0.0,5,"[{'word': 'Adam优化', 'ratio': 0.6}, {'word': '亚当·奥伊', 'ratio': 0.2}, {'word': '卷积核', 'ratio': 0.2}]",,,[]
35,35,Adam optimization algorithm,Adam优化算法,0.6,5,"[{'word': 'Adam优化算法', 'ratio': 0.6}, {'word': 'Adam 优化算法', 'ratio': 0.2}, {'word': '卷积核', 'ratio': 0.2}]",,,[]
36,36,Adam optimizer,Adam优化器,0.7777777777777778,9,"[{'word': 'Adam优化器', 'ratio': 0.7777777777777778}, {'word': 'Adam 优化器', 'ratio': 0.1111111111111111}, {'word': '优化器', 'ratio': 0.1111111111111111}]",,,[]
37,37,Adapter,适配器,1.0,9,"[{'word': '适配器', 'ratio': 1.0}]",,,[]
38,38,Algorithm,算法,1.0,9,"[{'word': '算法', 'ratio': 1.0}]",,,[]
39,39,Answer Set Programming,答集规划,0.0,9,"[{'word': '答案集编程', 'ratio': 1.0}]",,,[]
40,40,Apriori,先验,0.0,9,"[{'word': '先验算法', 'ratio': 0.4444444444444444}, {'word': '先驗', 'ratio': 0.2222222222222222}, {'word': 'Apriori', 'ratio': 0.2222222222222222}, {'word': '阿普里奥', 'ratio': 0.1111111111111111}]",,,[]
41,41,Apriori algorithm,Apriori算法,0.1111111111111111,9,"[{'word': '先验算法', 'ratio': 0.3333333333333333}, {'word': 'Apriori演算法', 'ratio': 0.1111111111111111}, {'word': '先验i算法', 'ratio': 0.1111111111111111}, {'word': '先驗演算法', 'ratio': 0.1111111111111111}, {'word': 'Apriori算法', 'ratio': 0.1111111111111111}, {'word': '算法', 'ratio': 0.1111111111111111}, {'word': 'Apriori 算法', 'ratio': 0.1111111111111111}]",,,[]
42,42,Arcade Learning Environment,街机学习环境,0.8888888888888888,9,"[{'word': '街机学习环境', 'ratio': 0.8888888888888888}, {'word': '游戏学习环境', 'ratio': 0.1111111111111111}]",,,[]
43,43,Artificial Intelligence,人工智能,1.0,10,"[{'word': '人工智能', 'ratio': 1.0}]",,,[]
44,44,Attention,注意力,0.6,10,"[{'word': '注意力', 'ratio': 0.6}, {'word': '注意力机制', 'ratio': 0.4}]",,,[]
45,45,Autoencoder,自编码器,1.0,10,"[{'word': '自编码器', 'ratio': 1.0}]",,,[]
46,46,Automatic Speech Recognition,自动语音识别,1.0,10,"[{'word': '自动语音识别', 'ratio': 1.0}]",,,[]
47,47,Autonomous Systems,自主系统,0.8,10,"[{'word': '自主系统', 'ratio': 0.8}, {'word': '自治系统', 'ratio': 0.2}]",,,[]
48,48,Average Pool,平均池化层,0.0,10,"[{'word': '平均池化', 'ratio': 1.0}]",,,[]
49,49,Average Precision,平均精度,0.8,10,"[{'word': '平均精度', 'ratio': 0.8}, {'word': '平均精确率', 'ratio': 0.2}]",,,[]
50,50,Azuma-Hoeffding inequality,阿兹玛-霍夫丁不等式,0.0,10,"[{'word': '阿祖马-霍夫丁不等式', 'ratio': 0.3}, {'word': 'Azuma-Hoeffding不等式', 'ratio': 0.2}, {'word': 'Azuma-Hoeffding 不等式', 'ratio': 0.1}, {'word': '阿祖玛-霍夫丁不等式', 'ratio': 0.1}, {'word': '不等式', 'ratio': 0.1}, {'word': '阿祖玛-赫夫丁不等式', 'ratio': 0.1}, {'word': '安祖马-霍夫丁不等式', 'ratio': 0.1}]",,,[]
51,51,B-spline,B样条,1.0,10,"[{'word': 'B样条', 'ratio': 1.0}]",,,[]
52,52,Backbone,主干网络,0.6,10,"[{'word': '主干网络', 'ratio': 0.6}, {'word': '骨干网络', 'ratio': 0.3}, {'word': '骨干', 'ratio': 0.1}]",,,[]
53,53,Backpropagation,反向传播,1.0,10,"[{'word': '反向传播', 'ratio': 1.0}]",,,[]
54,54,Baseline,基准 (Baseline),0.0,10,"[{'word': '基线', 'ratio': 0.5}, {'word': '基准线', 'ratio': 0.4}, {'word': '基准', 'ratio': 0.1}]",,,[]
55,55,Basis Pursuit,基追求,0.2,10,"[{'word': '基追踪', 'ratio': 0.5}, {'word': '基追求', 'ratio': 0.2}, {'word': '基础追踪', 'ratio': 0.2}, {'word': '基追算法', 'ratio': 0.1}]",,,[]
56,56,Batch Normalization,批量归一化,0.9,10,"[{'word': '批量归一化', 'ratio': 0.9}, {'word': '批归一化', 'ratio': 0.1}]",批量归一化,"```
1. Candidate: 批量归一化
2. Explanation: ""批量归一化"" is the best translation candidate for ""Batch Normalization"" in the context of AI and deep learning. This term accurately captures the concept of normalizing data in batches, which is crucial for the technique's function in training neural networks. The term ""批量"" (batch) clearly indicates the process is applied to a group of data points, aligning with the original English term's meaning. Additionally, ""归一化"" (normalization) is a standard term used in Chinese to describe the process of scaling data, ensuring semantic accuracy and consistency with domain-specific usage. The back translation to ""batch normalization"" confirms the contextual fit and accuracy of the translation.
```","['batch normalization', 'batch normalization']"
57,57,Baum-Welch algorithm,鲍姆-韦尔奇算法,0.8,10,"[{'word': '鲍姆-韦尔奇算法', 'ratio': 0.8}, {'word': '鲍姆-威尔奇算法', 'ratio': 0.1}, {'word': '鲍姆-维尔奇算法', 'ratio': 0.1}]",,,[]
58,58,Bayes,贝叶斯,1.0,10,"[{'word': '贝叶斯', 'ratio': 1.0}]",,,[]
59,59,Bayes classifier,贝叶斯分类器,1.0,10,"[{'word': '贝叶斯分类器', 'ratio': 1.0}]",,,[]
60,60,Bayes factor,贝叶斯因子,1.0,8,"[{'word': '贝叶斯因子', 'ratio': 1.0}]",,,[]
61,61,Bayes formula,贝叶斯公式,1.0,8,"[{'word': '贝叶斯公式', 'ratio': 1.0}]",贝叶斯公式,"```
1. Candidate: 贝叶斯公式
2. Explanation: The term ""贝叶斯公式"" is the standard translation for ""Bayes formula"" in the context of probability and statistics, which is a fundamental concept in AI for tasks involving probabilistic inference and decision-making. The back translation ""Bayesian formula"" accurately reflects the original English term, ensuring semantic accuracy and contextual fit within the AI domain.
```",['Bayesian formula']
62,62,Bayes net,贝叶斯网络,1.0,8,"[{'word': '贝叶斯网络', 'ratio': 1.0}]",,,[]
63,63,Bayes optimal classifier,贝叶斯最优分类器,1.0,8,"[{'word': '贝叶斯最优分类器', 'ratio': 1.0}]",,,[]
64,64,Bayes risk,贝叶斯风险,1.0,8,"[{'word': '贝叶斯风险', 'ratio': 1.0}]",,,[]
65,65,Bayes risk decoding,贝叶斯风险解码,1.0,9,"[{'word': '贝叶斯风险解码', 'ratio': 1.0}]",,,[]
66,66,Bayes rule,贝叶斯定理,0.0,9,"[{'word': '贝叶斯规则', 'ratio': 0.7777777777777778}, {'word': '贝叶斯法则', 'ratio': 0.2222222222222222}]",,,[]
67,67,Bayes theorem,贝叶斯定理,1.0,9,"[{'word': '贝叶斯定理', 'ratio': 1.0}]",,,[]
68,68,Bayes-Nash equilibrium,贝叶斯-纳什均衡,1.0,9,"[{'word': '贝叶斯-纳什均衡', 'ratio': 1.0}]",,,[]
69,69,Bayesian Information Criterion,贝叶斯信息准则,1.0,9,"[{'word': '贝叶斯信息准则', 'ratio': 1.0}]",,,[]
70,70,Bayesian Network,贝叶斯网络,1.0,9,"[{'word': '贝叶斯网络', 'ratio': 1.0}]",,,[]
71,71,Bayesian active learning,贝叶斯主动学习,1.0,9,"[{'word': '贝叶斯主动学习', 'ratio': 1.0}]",,,[]
72,72,Bayesian analysis,贝叶斯分析,1.0,9,"[{'word': '贝叶斯分析', 'ratio': 1.0}]",,,[]
73,73,Bayesian approach,贝叶斯方法,1.0,9,"[{'word': '贝叶斯方法', 'ratio': 1.0}]",,,[]
74,74,Bayesian clustering,贝叶斯聚类,1.0,9,"[{'word': '贝叶斯聚类', 'ratio': 1.0}]",,,[]
75,75,Bayesian decision,贝叶斯决策,1.0,8,"[{'word': '贝叶斯决策', 'ratio': 1.0}]",,,[]
76,76,Bayesian deep learning,贝叶斯深度学习,1.0,8,"[{'word': '贝叶斯深度学习', 'ratio': 1.0}]",,,[]
77,77,Bayesian evidence,贝叶斯证据,1.0,8,"[{'word': '贝叶斯证据', 'ratio': 1.0}]",,,[]
78,78,Bayesian framework,贝叶斯框架,1.0,8,"[{'word': '贝叶斯框架', 'ratio': 1.0}]",,,[]
79,79,Bayesian game,贝叶斯博弈,1.0,8,"[{'word': '贝叶斯博弈', 'ratio': 1.0}]",,,[]
80,80,Bayesian inference,贝叶斯推断,1.0,9,"[{'word': '贝叶斯推断', 'ratio': 1.0}]",,,[]
81,81,Bayesian learning,贝叶斯学习,1.0,9,"[{'word': '贝叶斯学习', 'ratio': 1.0}]",,,[]
82,82,Bayesian method,贝叶斯方法,1.0,9,"[{'word': '贝叶斯方法', 'ratio': 1.0}]",,,[]
83,83,Bayesian model,贝叶斯模型,1.0,9,"[{'word': '贝叶斯模型', 'ratio': 1.0}]",,,[]
84,84,Bayesian optimization,贝叶斯优化,1.0,9,"[{'word': '贝叶斯优化', 'ratio': 1.0}]",,,[]
85,85,Bayesian perspective,贝叶斯观点,0.0,10,"[{'word': '贝叶斯视角', 'ratio': 1.0}]",,,[]
86,86,Bayesian probabilistic model,贝叶斯概率模型,1.0,10,"[{'word': '贝叶斯概率模型', 'ratio': 1.0}]",,,[]
87,87,Bayesian update,贝叶斯更新,1.0,10,"[{'word': '贝叶斯更新', 'ratio': 1.0}]",,,[]
88,88,Beam Search,波束搜索,0.3,10,"[{'word': '束搜索', 'ratio': 0.6}, {'word': '波束搜索', 'ratio': 0.3}, {'word': '搜索算法', 'ratio': 0.1}]",,,[]
89,89,Belief Propagation,信念传播,0.9,10,"[{'word': '信念传播', 'ratio': 0.9}, {'word': '置信传播', 'ratio': 0.1}]",,,[]
90,90,Bellman,贝尔曼,1.0,8,"[{'word': '贝尔曼', 'ratio': 1.0}]",,,[]
91,91,Bellman backup,贝尔曼备份,0.375,8,"[{'word': '贝尔曼回溯', 'ratio': 0.625}, {'word': '贝尔曼备份', 'ratio': 0.375}]",,,[]
92,92,Bellman equation,贝尔曼方程,1.0,8,"[{'word': '贝尔曼方程', 'ratio': 1.0}]",,,[]
93,93,Bellman error,贝尔曼误差,1.0,8,"[{'word': '贝尔曼误差', 'ratio': 1.0}]",,,[]
94,94,Bellman operator,贝尔曼算子,1.0,8,"[{'word': '贝尔曼算子', 'ratio': 1.0}]",,,[]
95,95,Berkeley parser,伯克利句法分析器,0.0,10,"[{'word': '伯克利解析器', 'ratio': 1.0}]",,,[]
96,96,Berkeley segmentation dataset,伯克利分割数据集,1.0,10,"[{'word': '伯克利分割数据集', 'ratio': 1.0}]",,,[]
97,97,Bernoulli,伯努利分布,0.2,10,"[{'word': '伯努利', 'ratio': 0.8}, {'word': '伯努利分布', 'ratio': 0.2}]",伯努利分布,"```
1. Candidate: 伯努利分布
2. Explanation: The term ""Bernoulli"" in the given context refers to a Bernoulli distribution, which is a fundamental concept in probability theory and statistics, often used in AI for binary decision-making processes. The context involves sampling and decision-making based on probabilities, which aligns with the use of a Bernoulli distribution. The translation ""伯努利分布"" explicitly conveys this statistical concept, ensuring semantic accuracy and contextual fit within the AI domain. The back translation to ""Bernoulli distribution"" confirms the intended meaning, making it the best fit for the AI-specific usage.
```","['Bernoulli', 'Bernoulli distribution']"
98,98,Bernoulli distribution,伯努利分布,1.0,10,"[{'word': '伯努利分布', 'ratio': 1.0}]",,,[]
99,99,Bernoulli likelihood,伯努利似然,1.0,10,"[{'word': '伯努利似然', 'ratio': 1.0}]",,,[]
100,100,Bernoulli random variable,伯努利随机变量,1.0,9,"[{'word': '伯努利随机变量', 'ratio': 1.0}]",,,[]
101,101,Bernoulli sampling,伯努利抽样,0.3333333333333333,9,"[{'word': '伯努利采样', 'ratio': 0.6666666666666666}, {'word': '伯努利抽样', 'ratio': 0.3333333333333333}]",,,[]
102,102,Bernoulli trial,伯努利试验,1.0,9,"[{'word': '伯努利试验', 'ratio': 1.0}]",,,[]
103,103,Bernoulli variable,伯努利变量,1.0,9,"[{'word': '伯努利变量', 'ratio': 1.0}]",,,[]
104,104,Bernstein's inequality,伯恩斯坦不等式,0.8888888888888888,9,"[{'word': '伯恩斯坦不等式', 'ratio': 0.8888888888888888}, {'word': '伯努利变量', 'ratio': 0.1111111111111111}]",,,[]
105,105,Beta distribution,贝塔分布,1.0,10,"[{'word': '贝塔分布', 'ratio': 1.0}]",,,[]
106,106,Bethe approximation,贝特近似,0.7,10,"[{'word': '贝特近似', 'ratio': 0.7}, {'word': '贝瑟近似', 'ratio': 0.2}, {'word': '贝塞近似', 'ratio': 0.1}]",,,[]
107,107,Bhattacharyya coefficient,巴查里亚系数,0.0,10,"[{'word': '巴氏系数', 'ratio': 0.3}, {'word': '巴塔查尔雅系数', 'ratio': 0.2}, {'word': '巴塔恰里亚系数', 'ratio': 0.2}, {'word': '巴塔查里亚系数', 'ratio': 0.1}, {'word': 'Bhattacharyya 系数 / 巴氏系数', 'ratio': 0.1}, {'word': '巴哈查里亚系数', 'ratio': 0.1}]",,,[]
108,108,Binomial distribution,二项分布,0.9,10,"[{'word': '二项分布', 'ratio': 0.9}, {'word': '项分布', 'ratio': 0.1}]",,,[]
109,109,Bloom filter,布隆过滤器,1.0,10,"[{'word': '布隆过滤器', 'ratio': 1.0}]",,,[]
