,word,annotation6060,label60
5,statistical,统计的,统计类
8,CRF,条件随机场,CRF
11,OOV,超出词汇表,OOV
13,morphological,形态学的,形态化
15,NLI,自然语言推理,NLI
16,BERTs,BERT模型集,BERTs
17,CONLL,会议自然语言处理与计算语言学,CoNLL
19,corresponding,对应的,相应的
21,newswire,新闻通讯,新闻专线
22,CAS,具体含义需根据上下文确定,CAS
23,GLUE,GLUE基准,GLUE
28,syntactic,句法的,句法
33,QED,查询分解框架,QED
39,grounding,实际场景联系,领域
46,pretrained,预训练的,预训练
47,graph,图,图形
49,words,词语,字
52,computational,计算的,计算类
54,motivated,如前所述动机,有动力
56,IDF,逆文档频率,IDF
57,VFL,维多利亚足球联赛,VFL
61,extractive,抽取式的,可提取
63,documents,文档,文件
64,domains,领域,域
70,unseen,未见过的,未见
73,similarity,相似性,相似度
76,compared,相比,已比较
77,SUTD,新加坡科技设计大学,SUTD
78,Moreover,此外,而且
80,paper,论文,纸
81,contextualized,上下文化的,情境化
83,sense,意义,感觉
86,BPE,字节对编码,BPE
88,binary,二元,二进制
90,FLR,最终延迟减少,FLR
94,generalize,泛化,概括
95,gradient,梯度,坡度
97,linear,线性,线性的
99,named,命名的,命名为
100,social,社会的,社会类
101,representations,表示,陈述
102,number,数量,数字
104,tagging,标注,标记
105,morphologically,形态学上,形态上
108,ICLR,国际学习表征会议,ICLR
109,conversational,对话式的,会话式
113,LinCE,LinCE代码切换数据集,LinCE
115,transformers,Transformer模型,转换器
116,annotated,注释的,带注释
117,graphs,图,图表
118,existing,现有的,现存
119,vectors,向量,矢量
120,counterfactual,反事实,反事实的
123,augmented,增强的,增强型
124,relations,关系,relations
125,lexical,词汇的,词汇
126,re,重新,关系提取
129,CLIP,对比语言-图像预训练模型,CLIP
130,answer,答案,回答
131,For,例如,针对
134,spoken,口语的,口语
135,transformer,变换器,转换器
136,embedding,嵌入表示,嵌入
137,image,图像,图片
138,seq2seq,序列到序列,seq2seq
139,structure,结构,结构体
140,visual,视觉,视觉类
157,BERT,BERT模型,BERT
158,perplexity,困惑度,混乱
160,CEAS,认知情感分析系统,CEAS
163,qualitative,定性,定性的
164,retrieved,检索到的,检索到
165,tokens,词元,令牌
166,grammatical,语法的,语法类
167,annotators,标注者,注释者
169,news,新闻,消息
172,sentiment,情感,情绪
181,CDA,对比数据增强,CDA
185,simultaneous,同时的,同时
188,semantics,语义学,语义
189,parallel,并行,平行线
191,modalities,模态,形态
196,linguistic,语言学的,语言化
205,generated,生成的,已生成
206,BIO,BIO编码,BIO
207,Therefore,因此,所以
209,generation,生成,一代
211,interpretable,可解释的,可解释
213,manually,手动地,手动
216,previous,先前的,之前
224,biases,偏差,偏见
226,natural,自然的,自然
234,linked,链接的,链接
235,MathQA,数学问答,MathQA
236,context,上下文,语境
239,neural,神经的,神经
243,large,大规模,大的
244,multilingual,多语言的,多语言
252,token,词元,令牌
254,labeled,已标注的,标签化
259,unsupervised,无监督的,无监督
261,automatic,自动的,自动类
263,BLEU,BLEU评分,BLEU
267,BETO,西班牙语BERT模型,BETO
269,API,应用程序接口,API
270,Modeling,建模,造型
