,Unnamed: 0,word,gold,exact_match_ratio,prediction_count,prediction_ratio,validated_translation,reason,back_translations
0,0,10-fold cross validation,10-кратная перекрестная проверка,0.2,10,"[{'word': '10-кратная кросс-валидация', 'ratio': 0.6}, {'word': '10-кратная перекрестная проверка', 'ratio': 0.2}, {'word': '10-кратная перекрёстная проверка', 'ratio': 0.1}, {'word': '10-кратная кросс-проверка', 'ratio': 0.1}]",10-кратная кросс-валидация,"```
1. Candidate: ""10-кратная кросс-валидация""
2. Explanation: The term ""10-кратная кросс-валидация"" is the best fit because it directly translates to ""10-fold cross-validation,"" which is the standard term used in the AI and machine learning community. This translation maintains the technical accuracy and is widely recognized in Russian academic and professional contexts. The back translation confirms its semantic accuracy, aligning perfectly with the original English term without introducing ambiguity or altering the meaning. Additionally, ""кросс-валидация"" is a commonly used term in Russian literature on machine learning, ensuring that it is understood correctly by professionals in the field.
```","['10x cross-validation', '10-fold cross-validation', '10-fold cross-validation', '10-fold cross-validation']"
1,1,1D convolution,одномерная свертка,0.0,10,"[{'word': '1D свертка', 'ratio': 0.9}, {'word': '1D свёртка', 'ratio': 0.1}]",1D свёртка,"```
1. Candidate: ""1D свёртка""
2. Explanation: The candidate ""1D свёртка"" is the best fit because it accurately reflects the technical term ""1D convolution"" used in the AI domain. The term ""свёртка"" is widely recognized in Russian technical literature to mean ""convolution,"" which is a fundamental operation in neural networks, particularly in convolutional neural networks (CNNs). The inclusion of ""1D"" maintains the specificity of the operation being one-dimensional, which is crucial for understanding the context of its application in models like ResNet. The back translation to ""1D convolution"" confirms the semantic accuracy and contextual fit, ensuring that the term is understood correctly in both languages within the AI field.
```","['1D convolution', '1D convolution']"
2,2,2 norm,2 норма,0.0,10,"[{'word': '2-норма', 'ratio': 0.4}, {'word': 'Норма 2', 'ratio': 0.3}, {'word': 'норма 2', 'ratio': 0.3}]",,,[]
3,3,2D convolution,2D свертка,0.9,10,"[{'word': '2D свертка', 'ratio': 0.9}, {'word': '2D свёртка', 'ratio': 0.1}]",2D свёртка,"```
1. Candidate: 2D свёртка
2. Explanation: The candidate ""2D свёртка"" is the best fit because it accurately reflects the technical term ""2D convolution"" used in the AI domain. The use of ""свёртка"" is a direct translation of ""convolution,"" which is a well-established term in the field of machine learning and computer vision in Russian. The inclusion of ""2D"" maintains the dimensionality aspect of the operation, which is crucial for understanding the context of convolutional operations in neural networks. Additionally, the back translation to ""2D convolution"" confirms the semantic accuracy and consistency with the original English term, ensuring that the meaning is preserved in both languages.
```","['2D convolution', '2D convolution', '2D convolution']"
4,4,2D image,2D изображение,1.0,10,"[{'word': '2D изображение', 'ratio': 1.0}]",2D изображение,"```
1. Candidate: ""2D изображение""
2. Explanation: The candidate ""2D изображение"" is the best fit because it accurately reflects the term ""2D image"" in Russian without the hyphen, which is more commonly used in Russian technical literature. The back translation remains ""2D image,"" maintaining semantic accuracy. In the AI domain, where precision and clarity are crucial, this translation aligns well with the standard terminology used in technical contexts, ensuring that the concept of a two-dimensional image is clearly conveyed.
```","['2D image', '2D image']"
5,5,2D image synthesis,синтез 2D-изображений,0.4,10,"[{'word': '2D-синтез изображений', 'ratio': 0.4}, {'word': 'синтез 2D-изображений', 'ratio': 0.4}, {'word': '2D синтез изображений', 'ratio': 0.1}, {'word': '2D-изображение синтез', 'ratio': 0.1}]",,,[]
6,6,2D-3D correspondence,2D-3D соответствие,0.5,10,"[{'word': '2D-3D соответствие', 'ratio': 0.5}, {'word': 'соответствие 2D-3D', 'ratio': 0.5}]",2D-3D соответствие,"```
1. Candidate: ""2D-3D соответствие""
2. Explanation: The term ""2D-3D соответствие"" is the best fit because it accurately captures the concept of ""correspondence"" in the context of AI and computer vision, where it refers to the relationship or mapping between 2D image points and 3D object points. The word ""соответствие"" directly translates to ""correspondence"" and is commonly used in technical and scientific contexts to describe such mappings or relationships. Additionally, the back translation to ""2D-3D correspondence"" confirms its semantic accuracy and contextual fit within the AI domain, ensuring that the intended meaning is preserved in both languages.
```","['2D-3D correspondence', '2D-3D correspondence', '2D-3D correspondence']"
7,7,3D bounding box,3D ограничивающий параллелепипед,0.0,10,"[{'word': '3D-ограничивающая рамка', 'ratio': 0.3}, {'word': '3D-граница', 'ratio': 0.2}, {'word': '3D-ограничивающая коробка', 'ratio': 0.2}, {'word': '3D ограничивающая коробка', 'ratio': 0.1}, {'word': '3D ограничивающая рамка', 'ratio': 0.1}, {'word': '3D-ограничивающий ящик', 'ratio': 0.1}]",,,[]
8,8,3D computer vision,трехмерное компьютерное зрение,0.0,10,"[{'word': '3D-компьютерное зрение', 'ratio': 0.8}, {'word': '3D компьютерное зрение', 'ratio': 0.2}]",3D компьютерное зрение,"```
1. Candidate: ""3D компьютерное зрение""
2. Explanation: The candidate ""3D компьютерное зрение"" is the best fit because it accurately reflects the term ""3D computer vision"" in Russian without altering the meaning or introducing unnecessary complexity. The back translation matches perfectly with the original English term, ensuring semantic accuracy and contextual fit within the AI domain. The use of ""компьютерное зрение"" is a well-established term in Russian for ""computer vision,"" and the addition of ""3D"" maintains the specificity required for the context of point cloud registration and related applications.
```","['3D computer vision', '3D computer vision']"
9,9,3D convolutional network,трёхмерная сверточная сеть,0.0,10,"[{'word': '3D-сверточная сеть', 'ratio': 0.8}, {'word': '3D свёрточная сеть', 'ratio': 0.2}]",3D свёрточная сеть,"```
1. Candidate: ""3D свёрточная сеть""
2. Explanation: The candidate ""3D свёрточная сеть"" is the best fit because it accurately reflects the term ""3D convolutional network"" in Russian, maintaining the technical specificity required in the AI domain. The use of ""свёрточная"" is a standard translation for ""convolutional"" in the context of neural networks, ensuring semantic accuracy. Additionally, the back translation perfectly aligns with the original English term, confirming its contextual fit and precision in conveying the intended meaning within AI-related discussions.
```","['3D convolutional network', '3D convolutional network']"
10,10,3D geometry,3D геометрия,1.0,9,"[{'word': '3D геометрия', 'ratio': 1.0}]",3D геометрия,"```
1. Candidate: 3D геометрия
2. Explanation: The translation ""3D геометрия"" is the best fit because it directly corresponds to the English term ""3D geometry"" without any loss of meaning or context. In the AI domain, especially in computer vision and graphics, the term ""3D geometry"" is widely used to describe the spatial properties and structure of objects in three-dimensional space. The Russian translation maintains the technical specificity and clarity required for understanding concepts related to 3D scene flow, depth estimation, and smoothness constraints in new-view synthesis or stereo reconstruction. The back translation to ""3D geometry"" confirms that the semantic meaning is preserved, ensuring contextual accuracy and domain-specific relevance.
```",['3D geometry']
11,11,3D human pose estimation,оценка позы человека в 3D,0.1111111111111111,9,"[{'word': 'оценка 3D позы человека', 'ratio': 0.6666666666666666}, {'word': '3D оценка позы человека', 'ratio': 0.1111111111111111}, {'word': 'оценка позы человека в 3D', 'ratio': 0.1111111111111111}, {'word': 'Оценка 3D позы человека', 'ratio': 0.1111111111111111}]",оценка 3D позы человека,"```
1. Candidate: оценка 3D позы человека
2. Explanation: The candidate ""оценка 3D позы человека"" is the best fit because it maintains the correct order and emphasis on ""3D"" as an adjective describing ""human pose estimation,"" which is crucial in the AI domain. This translation accurately reflects the process of estimating the 3D positions of human keypoints from 2D images, as described in the context. The back translation also aligns perfectly with the original English term, ensuring semantic accuracy and contextual fit.
```","['3D human pose estimation', '3D human pose estimation', '3D human pose estimation', '3D human pose estimation', '3D human pose estimation']"
12,12,3D localization,3D локализация,1.0,9,"[{'word': '3D локализация', 'ratio': 1.0}]",3D-локализация,"```
1. Candidate: 3D-локализация
2. Explanation: The candidate ""3D-локализация"" is the best fit because it maintains the hyphenation commonly used in Russian for compound terms, especially in technical and scientific contexts. This aligns with the AI domain's preference for precise and standardized terminology, ensuring clarity and consistency in communication. The back translation to ""3D localization"" confirms its semantic accuracy and contextual fit within the AI field.
```","['3D localization', '3D localization']"
13,13,3D mesh,3D сетка,0.7777777777777778,9,"[{'word': '3D сетка', 'ratio': 0.7777777777777778}, {'word': '3D модель', 'ratio': 0.2222222222222222}]",3D сетка,"```
1. Candidate: 3D сетка
2. Explanation: The term ""3D mesh"" in the context of AI and computer graphics refers to a collection of vertices, edges, and faces that defines the shape of a 3D object. The translation ""3D сетка"" directly corresponds to this concept, as ""сетка"" (mesh) accurately captures the idea of a network or grid structure used in 3D modeling. The back translation to ""3D mesh"" confirms the semantic accuracy and contextual fit within the AI domain. On the other hand, ""3D модель"" (3D model) is a broader term that could refer to any 3D representation, not specifically the mesh structure, making ""3D сетка"" the more precise choice for this context.
```","['3D mesh', '3D model']"
14,14,3D model,3D-модель,0.0,9,"[{'word': '3D модель', 'ratio': 1.0}]",3D модель,"```
1. Candidate: ""3D модель""
2. Explanation: The translation candidate ""3D модель"" is the best fit because it directly corresponds to the English term ""3D model"" and is widely used in the Russian language within the AI and computer graphics domains. The back translation to ""3D model"" confirms its semantic accuracy and contextual fit, ensuring that the term retains its intended meaning in both languages. This consistency is crucial in technical fields like AI, where precise terminology is essential for clear communication and understanding.
```",['3D model']
15,15,3D object detection,обнаружение 3D-объектов,0.6,10,"[{'word': 'обнаружение 3D-объектов', 'ratio': 0.6}, {'word': '3D-обнаружение объектов', 'ratio': 0.1}, {'word': '3D object detection - обнаружение объектов в 3D', 'ratio': 0.1}, {'word': 'обнаружение 3D объектов', 'ratio': 0.1}, {'word': 'Детекция 3D-объекта', 'ratio': 0.1}]",обнаружение 3D-объектов,"```
1. Candidate: ""обнаружение 3D-объектов""

2. Explanation: The candidate ""обнаружение 3D-объектов"" is the best fit because it accurately captures the concept of ""3D object detection"" in the context of AI and computer vision. The term ""обнаружение"" is commonly used in Russian to denote ""detection,"" which aligns well with the task of identifying and locating objects. The structure ""3D-объектов"" correctly reflects the plural form of ""3D objects,"" maintaining the semantic integrity of the original term. Additionally, the back translation to ""3D object detection"" confirms that the meaning is preserved, ensuring contextual fit within the AI domain where precise terminology is crucial.
```","['3D object detection', '3D object detection - detection of objects in 3D', '3D object detection', '3D object detection', '3D object detection', '3D object detection']"
16,16,3D point,3D точка,0.1,10,"[{'word': '3D-точка', 'ratio': 0.7}, {'word': '3D point - 3D-точка', 'ratio': 0.1}, {'word': '3D точка', 'ratio': 0.1}, {'word': 'Точка 3D', 'ratio': 0.1}]",3D-точка,"```
1. Candidate: ""3D-точка""
2. Explanation: ""3D-точка"" is the best translation candidate because it maintains the original English term's structure and meaning while being commonly used in Russian technical literature. The hyphenated form ""3D-точка"" is often used in Russian to denote compound terms involving dimensions or technical specifications, ensuring clarity and consistency in the AI domain. The back translation to ""3D point"" confirms its semantic accuracy and contextual fit.
```","['3D point', '3D point', '3D point', '3D point - 3D point']"
17,17,3D point cloud,облако точек 3D,0.1,10,"[{'word': '3D-точечное облако', 'ratio': 0.7}, {'word': '3D point cloud - облако точек 3D', 'ratio': 0.1}, {'word': 'облако точек 3D', 'ratio': 0.1}, {'word': 'Точечная хаусматрица 3D', 'ratio': 0.1}]",3D-облако точек,"```
1. Candidate: ""3D-облако точек""
2. Explanation: ""3D-облако точек"" is the best translation candidate because it accurately captures the concept of a ""3D point cloud"" in the context of AI and computer vision. The term ""облако точек"" is widely used in Russian technical literature to describe a collection of data points in a three-dimensional space, which is exactly what a 3D point cloud represents. The prefix ""3D-"" maintains the original dimensionality aspect, ensuring clarity and precision in the translation. Additionally, the back translation perfectly aligns with the original English term, indicating semantic accuracy and contextual fit within the AI domain.
```","['3D point cloud', '3D point cloud', '3D point cloud', 'Point housematrix 3D', '3D point cloud - 3D point cloud']"
18,18,3D pose,3D поза,0.1,10,"[{'word': '3D-поза', 'ratio': 0.6}, {'word': '3D-позировка', 'ratio': 0.1}, {'word': '3D pose - 3D-поза', 'ratio': 0.1}, {'word': '3D поза', 'ratio': 0.1}, {'word': '3D-позиция', 'ratio': 0.1}]",3D поза,"```
1. Candidate: ""3D поза""
2. Explanation: The term ""3D поза"" is the best fit for translating ""3D pose"" in the context of AI and computer vision, particularly when discussing human pose estimation. This translation maintains semantic accuracy by directly referring to the posture or arrangement of a human body in three-dimensional space, which is crucial for understanding and processing images in AI applications. The back translation to ""3D pose"" confirms its contextual fit, ensuring that the original meaning is preserved without introducing ambiguity or altering the technical nuance of the term.
```","['3D pose', '3D position', '3D pose - 3D pose', '3D pose', '3D posing']"
