,word,annotation6060,label60
1,classifying,分類,分類し
10,FeSTE,パーティー,FeSTE
11,OOV,語彙外,OOV
12,PaLM,パルム,PaLM
13,morphological,形態論的,形態的
17,CONLL,CONLL,CoNLL
23,GLUE,のり,GLUE
28,syntactic,構文的,構文
30,features,特徴,機能
31,KinyaBERT,キンヤバート,KinyaBERT
33,QED,は,QED
39,grounding,グラウンディング,教育付け
42,algorithms,アルゴリズム,アリゴリズム
44,training,学習,訓練
46,pretrained,事前学習済み,事前訓練された
48,ViLBERT,ビルバート,ViLBERT
50,subword,サブワード,サブ単語
51,CodeBERT,コードBERT,CodeBERT
52,computational,計算的,計算
54,motivated,動機づけられた,動機づけられる
55,BART,バート,BART
59,dependencies,依存関係,依存性
60,classifiers,分類器,類別詞
61,extractive,抽出的,抽出
63,documents,文書,文章
66,Semantic,セマンティック,意味論
68,human,人間,人間の
70,unseen,未見の,見えない
71,QUOREF,クオレフ,QUOREF
72,queries,クエリ,質問
74,structured,構造化された,構築された
76,compared,比較された,比較して
78,Moreover,さらに,また
81,contextualized,文脈化された,文脈で理解できる
83,sense,意味,感覚
89,algorithm,アルゴリズム,アリゴリズム
93,embeddings,埋め込み,埋込み
95,gradient,勾配,傾度
99,named,名前付き,挙げられた
102,number,数,数字
103,pretraining,事前学習,事前訓練
104,tagging,タギング,タグ付け
107,identifying,特定する,識別
109,conversational,会話型,会話的
110,downstream,ダウンストリーム,下流
112,relation,関係,リレーション
120,counterfactual,反実仮想,非現実節
121,metrics,メトリクス,メトリックス
123,augmented,拡張された,強化された
124,relations,関係,relations
126,re,再,RE
129,CLIP,クリップ,CLIP
130,answer,答え,応答
131,For,例えば,の為
132,TreeDST,ツリーDST,TreeDST
134,spoken,話されている,音声
136,embedding,埋め込み,埋込み
137,image,画像,イメージ
138,seq2seq,シーケンスツーシーケンス,seq2seq
139,structure,構造,構成
140,visual,視覚,視覚的
143,compositionality,構成性,構成の可能性
145,softmax,ソフトマックス,softmax
147,VALSE,,VALSE
148,speech,音声,スピーチ
150,classifier,分類器,類別詞
153,ARENA,アリーナ,ARENA
157,BERT,バート,BERT
158,perplexity,パープレキシティ,困惑
161,LXMert,LXマート,LXMert
163,qualitative,定性的,質的
164,retrieved,取得した,回収された
167,annotators,アノテーター,注釈者
174,contexts,コンテキスト,文脈
175,sentences,文,文章
176,Hence,したがって,よって
177,Wikipedia,ウィキペディア,wikipedia
178,spatial,空間的,空間的な
186,source,出典,ソース
187,XLNet,XLネット,XLNet
188,semantics,セマンティクス,意味論
195,REALM,レルム,REALM
197,sentence,文,文章
199,weights,重み,荷重
203,coreference,共参照,同一指示
204,monolingual,単言語,単一言語
206,BIO,バイオ,BIO
211,interpretable,解釈可能な,解釈可能
216,previous,前の,以前の
217,Dialogue,対話,ダイアログ
221,finetuning,ファインチューニング,微調整
228,propose,提案する,提案
233,ROUGE,ルージュ,ROUGE
235,MathQA,数学QA,MathQA
236,context,コンテキスト,文脈
238,word2vec,word2vec,単語2vec
244,multilingual,多言語,他言語
249,methods,手法,方法
254,labeled,ラベル付けされた,ラベル付き
259,unsupervised,教師なし,監視なし
260,Morphology,形態論,語形論
262,semantically,意味的に,意味論的に
263,BLEU,ブルー,BLEU
267,BETO,ベト,BETO
