,Unnamed: 0,word,gold,exact_match_ratio,prediction_count,prediction_ratio,validated_translation,reason,back_translations
0,0,10-fold cross validation,10分割交差検証,0.8,10,"[{'word': '10分割交差検証', 'ratio': 0.8}, {'word': '10回クロス検証', 'ratio': 0.1}, {'word': '10 分割相互検証', 'ratio': 0.1}]",,,[]
1,1,1D convolution,1次元畳み込み,0.8,10,"[{'word': '1次元畳み込み', 'ratio': 0.8}, {'word': '1次元コンボリューション', 'ratio': 0.1}, {'word': '1Dコンボリューション', 'ratio': 0.1}]",1次元畳み込み,"```
1. Candidate: 1次元畳み込み
2. Explanation: The term ""1次元畳み込み"" is the best fit because it accurately translates ""1D convolution"" by using the Japanese word ""畳み込み"" which is commonly used in the AI and machine learning fields to refer to convolution operations. The use of ""1次元"" clearly indicates the one-dimensional aspect, maintaining semantic accuracy. This translation is widely recognized in the Japanese AI community, ensuring contextual fit and understanding among professionals in the field.
```","['1D convolution', '1D convolution', '1D convolution']"
2,2,2 norm,2ノルム,0.8,10,"[{'word': '2ノルム', 'ratio': 0.8}, {'word': '2規範', 'ratio': 0.1}, {'word': '2 ノルム', 'ratio': 0.1}]",2ノルム,"```
1. Candidate: 2ノルム
2. Explanation: The term ""2ノルム"" is the best fit for translating ""2 norm"" in the context of AI and mathematics. In Japanese mathematical and AI literature, ""ノルム"" is commonly used to refer to norms, and the numeral ""2"" is directly used to specify the type of norm, which is consistent with the English usage. This candidate maintains semantic accuracy and is widely recognized in the domain, ensuring that it is understood correctly by Japanese speakers familiar with AI and mathematical concepts. The back translation also accurately reflects the original term without unnecessary alterations, preserving the technical meaning.
```","['2 norms', '2 norm', '2 norm']"
3,3,2D convolution,2D畳み込み,0.0,10,"[{'word': '2次元畳み込み', 'ratio': 0.8}, {'word': '2次元コンボリューション', 'ratio': 0.1}, {'word': '2Dコンボリューション', 'ratio': 0.1}]",,,[]
4,4,2D image,2次元画像,0.8,10,"[{'word': '2次元画像', 'ratio': 0.8}, {'word': '2D画像', 'ratio': 0.2}]",,,[]
5,5,2D image synthesis,2次元画像合成,0.1,10,"[{'word': '2D画像合成', 'ratio': 0.9}, {'word': '2次元画像合成', 'ratio': 0.1}]",,,[]
6,6,2D-3D correspondence,2次元-3次元対応,0.1,10,"[{'word': '2D-3D対応', 'ratio': 0.9}, {'word': '2次元-3次元対応', 'ratio': 0.1}]",2次元-3次元対応,"```
1. Candidate: 2次元-3次元対応
2. Explanation: The term ""2次元-3次元対応"" is the best fit for translating ""2D-3D correspondence"" in the context of AI and computer vision. This candidate directly translates the dimensionality from English to Japanese, maintaining the technical specificity required in AI terminology. The term ""対応"" accurately conveys the concept of correspondence or mapping between two different dimensions, which is crucial in the context of pose estimation and object detection. The back translation as ""2D-3D compatible"" suggests a close semantic fit, as ""対応"" can imply a relationship or mapping, which aligns well with the original English term's meaning in AI applications.
```","['2D-3D compatible', '2D-3D compatible']"
7,7,3D bounding box,3次元バウンディングボックス,0.0,10,"[{'word': '3Dバウンディングボックス', 'ratio': 0.8}, {'word': '3D バウンディング ボックス', 'ratio': 0.1}, {'word': '3次元境界箱', 'ratio': 0.1}]",,,[]
8,8,3D computer vision,3次元コンピュータビジョン,0.0,10,"[{'word': '3Dコンピュータビジョン', 'ratio': 0.9}, {'word': '3次元コンピューター視覚', 'ratio': 0.1}]",3Dコンピュータビジョン,"```
1. Candidate: 3Dコンピュータビジョン
2. Explanation: The term ""3Dコンピュータビジョン"" is the best fit because it directly uses the English term ""3D computer vision"" in a katakana form, which is common in Japanese technical language to maintain the original meaning and context. This is especially important in the AI domain, where English terms are often used to ensure clarity and consistency with global research and industry standards. The back translation also accurately returns to ""3D computer vision,"" indicating semantic accuracy and contextual fit.
```","['3D computer vision', '3d computer vision']"
9,9,3D convolutional network,3次元畳み込みネットワーク,0.2,10,"[{'word': '3D畳み込みネットワーク', 'ratio': 0.8}, {'word': '3次元畳み込みネットワーク', 'ratio': 0.2}]",,,[]
10,10,3D geometry,3次元ジオメトリ,0.0,10,"[{'word': '3Dジオメトリ', 'ratio': 0.6}, {'word': '3D幾何学', 'ratio': 0.2}, {'word': '3D ジオメトリ', 'ratio': 0.1}, {'word': '3次元幾何学', 'ratio': 0.1}]",,,[]
11,11,3D human pose estimation,3次元人体姿勢推定,0.0,10,"[{'word': '3Dヒューマンポーズ推定', 'ratio': 0.3}, {'word': '3D人体ポーズ推定', 'ratio': 0.3}, {'word': '人間の3Dポーズ推定', 'ratio': 0.1}, {'word': '3D人間の姿勢推定', 'ratio': 0.1}, {'word': '3次元人体ポーズ推定', 'ratio': 0.1}, {'word': '3D人間ポーズ推定', 'ratio': 0.1}]",,,[]
12,12,3D localization,3次元位置推定,0.0,10,"[{'word': '3D位置特定', 'ratio': 0.5}, {'word': '3Dローカリゼーション', 'ratio': 0.2}, {'word': '3Dローカライズ', 'ratio': 0.1}, {'word': '3D ローカリゼーション', 'ratio': 0.1}, {'word': '3次元ローカライゼーション', 'ratio': 0.1}]",,,[]
13,13,3D mesh,3次元メッシュ,0.1,10,"[{'word': '3Dメッシュ', 'ratio': 0.9}, {'word': '3次元メッシュ', 'ratio': 0.1}]",,,[]
14,14,3D model,3Dモデル,0.9,10,"[{'word': '3Dモデル', 'ratio': 0.9}, {'word': '3次元モデル', 'ratio': 0.1}]",3Dモデル,"```
1. Candidate: ""3Dモデル""
2. Explanation: ""3Dモデル"" is the best translation candidate because it is a direct transliteration of the English term ""3D model"" and is widely used in the AI and technology fields in Japan. This term maintains the original meaning and is commonly understood in the context of computer graphics, simulations, and AI applications. The back translation also accurately returns to ""3D model,"" ensuring semantic accuracy and contextual fit within the AI domain.
```","['3D model', '3D model']"
15,15,3D object detection,3次元物体検出,0.0,10,"[{'word': '3Dオブジェクト検出', 'ratio': 0.7}, {'word': '3D物体検出', 'ratio': 0.3}]",3Dオブジェクト検出,"```
1. Candidate: 3Dオブジェクト検出
2. Explanation: The candidate ""3Dオブジェクト検出"" is the best fit because it uses the katakana ""オブジェクト"" for ""object,"" which is a common practice in Japanese technical terminology to maintain consistency with English terms. This helps in preserving the original meaning and is widely understood in the AI and computer vision fields. Additionally, the back translation perfectly aligns with the original English term, ensuring semantic accuracy and contextual fit in the AI domain.
```","['3D object detection', '3D object detection', '3D object detection']"
16,16,3D point,3次元点,0.0,10,"[{'word': '3Dポイント', 'ratio': 1.0}]",,,[]
17,17,3D point cloud,3D点群,0.2,10,"[{'word': '3Dポイントクラウド', 'ratio': 0.8}, {'word': '3D点群', 'ratio': 0.2}]",,,[]
18,18,3D pose,3次元ポーズ,0.0,10,"[{'word': '3Dポーズ', 'ratio': 1.0}]",,,[]
19,19,3D reconstruction,3D再構築,0.4,10,"[{'word': '3D再構成', 'ratio': 0.6}, {'word': '3D再構築', 'ratio': 0.4}]",,,[]
20,20,3D scene,3次元シーン,0.0,10,"[{'word': '3Dシーン', 'ratio': 1.0}]",,,[]
21,21,3D scene geometry,3次元シーンジオメトリ,0.0,10,"[{'word': '3Dシーンジオメトリ', 'ratio': 0.4}, {'word': '3Dシーン幾何学', 'ratio': 0.2}, {'word': '3Dシーン幾何', 'ratio': 0.2}, {'word': '3Dシーンの幾何学', 'ratio': 0.1}, {'word': '3Dシーンのジオメトリ', 'ratio': 0.1}]",,,[]
22,22,3D structure,3次元構造,0.0,10,"[{'word': '3D構造', 'ratio': 1.0}]",,,[]
23,23,5-fold cross validation,5分割交差検証,0.8,10,"[{'word': '5分割交差検証', 'ratio': 0.8}, {'word': '5回クロス検証', 'ratio': 0.1}, {'word': '5 分割相互検証', 'ratio': 0.1}]",,,[]
24,24,A * algorithm,A*アルゴリズム,0.8,10,"[{'word': 'A*アルゴリズム', 'ratio': 0.8}, {'word': 'アルゴリズム', 'ratio': 0.1}, {'word': '* アルゴリズム', 'ratio': 0.1}]",A*アルゴリズム,"```
1. Candidate: ""A*アルゴリズム""
2. Explanation: The term ""A* algorithm"" is a specific algorithm used in computer science and AI for pathfinding and graph traversal. The candidate ""A*アルゴリズム"" retains the original name and structure of the algorithm, which is crucial for maintaining its identity and recognition in the AI domain. This translation is semantically accurate and contextually appropriate, as it directly corresponds to the English term without losing its technical meaning. The back translation also accurately reflects the original term, ensuring consistency and clarity in both languages.
```","['* Algorithm', 'algorithm', 'A* algorithm']"
25,25,A/B test,A/Bテスト,0.7,10,"[{'word': 'A/Bテスト', 'ratio': 0.7}, {'word': 'A/B テスト', 'ratio': 0.3}]",,,[]
26,26,A2C,A2C,0.7,10,"[{'word': 'A2C', 'ratio': 0.7}, {'word': '彼は生きていた', 'ratio': 0.2}, {'word': 'エーツーシー', 'ratio': 0.1}]",A2C,"```
1. Candidate: ""A2C""
2. Explanation: The best translation candidate is ""A2C"" because it is a specific term in the AI domain referring to ""Advantage Actor-Critic,"" a reinforcement learning algorithm. In technical contexts, especially in AI and machine learning, it is common to retain the original English acronym to maintain clarity and precision. The other candidates do not accurately represent the term in the context of AI, as ""彼は生きていた"" translates to ""he was alive,"" which is unrelated, and ""エーツーシー"" is a phonetic transcription that might not be immediately recognized by Japanese speakers familiar with AI terminology. Therefore, using ""A2C"" directly ensures semantic accuracy and consistency with domain-specific usage.
```","['he was alive', 'A2C', 'A2C']"
27,27,Ablation study,アブレーション研究,0.2,10,"[{'word': 'アブレーションスタディ', 'ratio': 0.7}, {'word': 'アブレーション研究', 'ratio': 0.2}, {'word': 'アブレーションスタディー', 'ratio': 0.1}]",,,[]
28,28,Accuracy,精度,0.9,10,"[{'word': '精度', 'ratio': 0.9}, {'word': '正確さ', 'ratio': 0.1}]",,,[]
29,29,Active learning,アクティブラーニング,0.9,10,"[{'word': 'アクティブラーニング', 'ratio': 0.9}, {'word': 'アクティブ・ラーニング', 'ratio': 0.1}]",,,[]
30,30,Adafactor,アダファクタ,0.0,10,"[{'word': 'アダファクター', 'ratio': 1.0}]",,,[]
31,31,Adam,アダム,0.7,10,"[{'word': 'アダム', 'ratio': 0.7}, {'word': 'Adam', 'ratio': 0.3}]",アダム,"```
1. Candidate: ""アダム""
2. Explanation: The term ""アダム"" is a transliteration of ""Adam"" in Japanese, which is commonly used in the AI domain to refer to the Adam optimization algorithm. This maintains the original meaning and context of the term as used in machine learning and AI, ensuring semantic accuracy. The back translation to ""Adam"" confirms that the intended meaning is preserved, making it the best fit for the context provided.
```","['Adam', 'enemy']"
32,32,Adam algorithm,アダムアルゴリズム,0.5,10,"[{'word': 'アダムアルゴリズム', 'ratio': 0.5}, {'word': 'Adamアルゴリズム', 'ratio': 0.3}, {'word': 'アダム・アルゴリズム', 'ratio': 0.1}, {'word': 'アルゴリズム', 'ratio': 0.1}]",,,[]
