,Unnamed: 0,word,gold,exact_match_ratio,prediction_count,prediction_ratio,validated_translation,reason,back_translations
0,0,10-fold cross validation,10-кратная перекрестная проверка,0.2,10,"[{'word': '10-кратная кросс-валидация', 'ratio': 0.6}, {'word': '10-кратная перекрестная проверка', 'ratio': 0.2}, {'word': '10-кратная перекрёстная проверка', 'ratio': 0.1}, {'word': '10-кратная кросс-проверка', 'ratio': 0.1}]",,,[]
1,1,1D convolution,одномерная свертка,0.0,10,"[{'word': '1D свертка', 'ratio': 0.9}, {'word': '1D свёртка', 'ratio': 0.1}]",1D свёртка,"```
1. Candidate: ""1D свёртка""
2. Explanation: The candidate ""1D свёртка"" is the best fit because it accurately reflects the technical term ""1D convolution"" used in the AI domain. The term ""свёртка"" is widely recognized in Russian technical literature to mean ""convolution,"" which is a fundamental operation in neural networks, particularly in convolutional neural networks (CNNs). The inclusion of ""1D"" maintains the specificity of the operation being one-dimensional, which is crucial for understanding the context of its application in models like ResNet. The back translation to ""1D convolution"" confirms the semantic accuracy and contextual fit, ensuring that the term is understood correctly in both languages within the AI field.
```","['1D convolution', '1D convolution']"
2,2,2 norm,2 норма,0.0,10,"[{'word': '2-норма', 'ratio': 0.4}, {'word': 'Норма 2', 'ratio': 0.3}, {'word': 'норма 2', 'ratio': 0.3}]",,,[]
3,3,2D convolution,2D свертка,0.9,10,"[{'word': '2D свертка', 'ratio': 0.9}, {'word': '2D свёртка', 'ratio': 0.1}]",2D свёртка,"```
1. Candidate: 2D свёртка
2. Explanation: The candidate ""2D свёртка"" is the best fit because it accurately reflects the technical term ""2D convolution"" used in the AI domain. The use of ""свёртка"" is a direct translation of ""convolution,"" which is a well-established term in the field of machine learning and computer vision in Russian. The inclusion of ""2D"" maintains the dimensionality aspect of the operation, which is crucial for understanding the context of convolutional operations in neural networks. Additionally, the back translation to ""2D convolution"" confirms the semantic accuracy and consistency with the original English term, ensuring that the meaning is preserved in both languages.
```","['2D convolution', '2D convolution', '2D convolution']"
4,4,2D image,2D изображение,1.0,10,"[{'word': '2D изображение', 'ratio': 1.0}]",,,[]
5,5,2D image synthesis,синтез 2D-изображений,0.4,10,"[{'word': '2D-синтез изображений', 'ratio': 0.4}, {'word': 'синтез 2D-изображений', 'ratio': 0.4}, {'word': '2D синтез изображений', 'ratio': 0.1}, {'word': '2D-изображение синтез', 'ratio': 0.1}]",,,[]
6,6,2D-3D correspondence,2D-3D соответствие,0.5,10,"[{'word': '2D-3D соответствие', 'ratio': 0.5}, {'word': 'соответствие 2D-3D', 'ratio': 0.5}]",,,[]
7,7,3D bounding box,3D ограничивающий параллелепипед,0.0,10,"[{'word': '3D-ограничивающая рамка', 'ratio': 0.3}, {'word': '3D-граница', 'ratio': 0.2}, {'word': '3D-ограничивающая коробка', 'ratio': 0.2}, {'word': '3D ограничивающая коробка', 'ratio': 0.1}, {'word': '3D ограничивающая рамка', 'ratio': 0.1}, {'word': '3D-ограничивающий ящик', 'ratio': 0.1}]",,,[]
8,8,3D computer vision,трехмерное компьютерное зрение,0.0,10,"[{'word': '3D-компьютерное зрение', 'ratio': 0.8}, {'word': '3D компьютерное зрение', 'ratio': 0.2}]",,,[]
9,9,3D convolutional network,трёхмерная сверточная сеть,0.0,10,"[{'word': '3D-сверточная сеть', 'ratio': 0.8}, {'word': '3D свёрточная сеть', 'ratio': 0.2}]",3D свёрточная сеть,"```
1. Candidate: ""3D свёрточная сеть""
2. Explanation: The candidate ""3D свёрточная сеть"" is the best fit because it accurately reflects the term ""3D convolutional network"" in Russian, maintaining the technical specificity required in the AI domain. The use of ""свёрточная"" is a standard translation for ""convolutional"" in the context of neural networks, ensuring semantic accuracy. Additionally, the back translation perfectly aligns with the original English term, confirming its contextual fit and precision in conveying the intended meaning within AI-related discussions.
```","['3D convolutional network', '3D convolutional network']"
10,10,3D geometry,3D геометрия,1.0,9,"[{'word': '3D геометрия', 'ratio': 1.0}]",,,[]
11,11,3D human pose estimation,оценка позы человека в 3D,0.1111111111111111,9,"[{'word': 'оценка 3D позы человека', 'ratio': 0.6666666666666666}, {'word': '3D оценка позы человека', 'ratio': 0.1111111111111111}, {'word': 'оценка позы человека в 3D', 'ratio': 0.1111111111111111}, {'word': 'Оценка 3D позы человека', 'ratio': 0.1111111111111111}]",оценка 3D позы человека,"```
1. Candidate: оценка 3D позы человека
2. Explanation: The candidate ""оценка 3D позы человека"" is the best fit because it maintains the correct order and emphasis on ""3D"" as an adjective describing ""human pose estimation,"" which is crucial in the AI domain. This translation accurately reflects the process of estimating the 3D positions of human keypoints from 2D images, as described in the context. The back translation also aligns perfectly with the original English term, ensuring semantic accuracy and contextual fit.
```","['3D human pose estimation', '3D human pose estimation', '3D human pose estimation', '3D human pose estimation', '3D human pose estimation']"
12,12,3D localization,3D локализация,1.0,9,"[{'word': '3D локализация', 'ratio': 1.0}]",,,[]
13,13,3D mesh,3D сетка,0.7777777777777778,9,"[{'word': '3D сетка', 'ratio': 0.7777777777777778}, {'word': '3D модель', 'ratio': 0.2222222222222222}]",,,[]
14,14,3D model,3D-модель,0.0,9,"[{'word': '3D модель', 'ratio': 1.0}]",,,[]
15,15,3D object detection,обнаружение 3D-объектов,0.6,10,"[{'word': 'обнаружение 3D-объектов', 'ratio': 0.6}, {'word': '3D-обнаружение объектов', 'ratio': 0.1}, {'word': '3D object detection - обнаружение объектов в 3D', 'ratio': 0.1}, {'word': 'обнаружение 3D объектов', 'ratio': 0.1}, {'word': 'Детекция 3D-объекта', 'ratio': 0.1}]",,,[]
16,16,3D point,3D точка,0.1,10,"[{'word': '3D-точка', 'ratio': 0.7}, {'word': '3D point - 3D-точка', 'ratio': 0.1}, {'word': '3D точка', 'ratio': 0.1}, {'word': 'Точка 3D', 'ratio': 0.1}]",,,[]
17,17,3D point cloud,облако точек 3D,0.1,10,"[{'word': '3D-точечное облако', 'ratio': 0.7}, {'word': '3D point cloud - облако точек 3D', 'ratio': 0.1}, {'word': 'облако точек 3D', 'ratio': 0.1}, {'word': 'Точечная хаусматрица 3D', 'ratio': 0.1}]",3D-облако точек,"```
1. Candidate: ""3D-облако точек""
2. Explanation: ""3D-облако точек"" is the best translation candidate because it accurately captures the concept of a ""3D point cloud"" in the context of AI and computer vision. The term ""облако точек"" is widely used in Russian technical literature to describe a collection of data points in a three-dimensional space, which is exactly what a 3D point cloud represents. The prefix ""3D-"" maintains the original dimensionality aspect, ensuring clarity and precision in the translation. Additionally, the back translation perfectly aligns with the original English term, indicating semantic accuracy and contextual fit within the AI domain.
```","['3D point cloud', '3D point cloud', '3D point cloud', 'Point housematrix 3D', '3D point cloud - 3D point cloud']"
18,18,3D pose,3D поза,0.1,10,"[{'word': '3D-поза', 'ratio': 0.6}, {'word': '3D-позировка', 'ratio': 0.1}, {'word': '3D pose - 3D-поза', 'ratio': 0.1}, {'word': '3D поза', 'ratio': 0.1}, {'word': '3D-позиция', 'ratio': 0.1}]",,,[]
19,19,3D reconstruction,Трехмерная реконструкция,0.0,10,"[{'word': '3D-реконструкция', 'ratio': 0.7}, {'word': '3D reconstruction - 3D-реконструкция', 'ratio': 0.1}, {'word': '3D реконструкция', 'ratio': 0.1}, {'word': 'Реконструкция 3D', 'ratio': 0.1}]",,,[]
20,20,3D scene,трёхмерная сцена,0.0,10,"[{'word': '3D сцена', 'ratio': 0.8}, {'word': '3D-сцена', 'ratio': 0.2}]",,,[]
21,21,3D scene geometry,геометрия 3D сцены,0.6,10,"[{'word': 'геометрия 3D сцены', 'ratio': 0.6}, {'word': 'геометрия 3D-сцены', 'ratio': 0.2}, {'word': '3D геометрия сцены', 'ratio': 0.1}, {'word': '3D сцена геометрия', 'ratio': 0.1}]",,,[]
22,22,3D structure,3D структура,0.8,10,"[{'word': '3D структура', 'ratio': 0.8}, {'word': '3D-структура', 'ratio': 0.2}]",,,[]
23,23,5-fold cross validation,5-кратная перекрестная проверка,0.1,10,"[{'word': '5-кратная кросс-валидация', 'ratio': 0.7}, {'word': '5-кратная перекрестная проверка', 'ratio': 0.1}, {'word': 'кросс-валидация с 5 фолдами', 'ratio': 0.1}, {'word': '5-кратная кросс-проверка', 'ratio': 0.1}]",,,[]
24,24,A * algorithm,Алгоритм A*,0.2,10,"[{'word': 'алгоритм A*', 'ratio': 0.8}, {'word': 'Алгоритм A*', 'ratio': 0.2}]",,,[]
25,25,A/B test,тест A / B,0.0,10,"[{'word': 'A/B тест', 'ratio': 0.8}, {'word': 'А/Б-тестирование', 'ratio': 0.1}, {'word': 'Тест A/B', 'ratio': 0.1}]",А/Б-тестирование,"```
1. Candidate: ""А/Б-тестирование""
2. Explanation: ""А/Б-тестирование"" is the best translation candidate because it accurately captures the concept of ""A/B testing"" in the context of AI and data analysis. The term ""тестирование"" (testing) conveys the process-oriented nature of A/B testing, which involves comparing two versions to determine which performs better. This aligns well with the AI domain where A/B testing is a methodical approach to evaluate different models or algorithms. Additionally, the back translation ""A/B testing"" maintains the semantic integrity of the original term, ensuring contextual fit and understanding in both languages.
```","['A/B testing', 'A/B test', 'A/B test', 'A/B test']"
26,26,A2C,а2с,0.0,10,"[{'word': 'A2C', 'ratio': 0.8}, {'word': 'А2С', 'ratio': 0.1}, {'word': 'Он жил', 'ratio': 0.1}]",,,[]
27,27,Ablation study,изучение аблации,0.0,10,"[{'word': 'исследование абляции', 'ratio': 0.5}, {'word': 'Исследование абляции', 'ratio': 0.3}, {'word': 'абляционная проверка', 'ratio': 0.1}, {'word': 'исследование с абляцией', 'ratio': 0.1}]",исследование с абляцией,"```
1. Candidate: ""исследование с абляцией""
2. Explanation: ""исследование с абляцией"" is the best translation candidate because it accurately captures the concept of an ""ablation study"" in the context of AI research. The term ""исследование"" (study) aligns well with the research-focused nature of ablation studies, which involve systematically removing or altering components of a model to understand their impact on performance. The phrase ""с абляцией"" (with ablation) directly translates the idea of ablation, maintaining the semantic integrity of the original term. This candidate also has a precise back translation to ""ablation study,"" ensuring contextual fit and clarity in the AI domain.
```","['ablation study', 'ablative check', 'ablation study', 'Ablation study']"
28,28,Accuracy,точность,0.4,10,"[{'word': 'Точность', 'ratio': 0.6}, {'word': 'точность', 'ratio': 0.4}]",,,[]
29,29,Active learning,активное обучение,0.4,10,"[{'word': 'Активное обучение', 'ratio': 0.6}, {'word': 'активное обучение', 'ratio': 0.4}]",,,[]
30,30,Adafactor,Адафактор,0.6,10,"[{'word': 'Адафактор', 'ratio': 0.6}, {'word': 'Adafactor', 'ratio': 0.4}]",,,[]
31,31,Adam,Адам,0.5555555555555556,9,"[{'word': 'Адам', 'ratio': 0.5555555555555556}, {'word': 'Adam', 'ratio': 0.4444444444444444}]",,,[]
32,32,Adam algorithm,Алгоритм Адама,0.0,9,"[{'word': 'алгоритм Adam', 'ratio': 0.4444444444444444}, {'word': 'алгоритм Адама', 'ratio': 0.2222222222222222}, {'word': 'Алгоритм Адам', 'ratio': 0.2222222222222222}, {'word': 'алгоритм Адам', 'ratio': 0.1111111111111111}]",,,[]
33,33,Adam optimiser,Оптимизатор Адам,0.2222222222222222,9,"[{'word': 'оптимизатор Adam', 'ratio': 0.4444444444444444}, {'word': 'оптимизатор Адам', 'ratio': 0.3333333333333333}, {'word': 'Оптимизатор Адам', 'ratio': 0.2222222222222222}]",,,[]
34,34,Adam optimization,Оптимизация Адама,0.0,9,"[{'word': 'оптимизация Adam', 'ratio': 0.4444444444444444}, {'word': 'оптимизация Адам', 'ratio': 0.3333333333333333}, {'word': 'Оптимизация Адам', 'ratio': 0.2222222222222222}]",,,[]
35,35,Adam optimization algorithm,Алгоритм оптимизации Адама,0.0,9,"[{'word': 'алгоритм оптимизации Adam', 'ratio': 0.4444444444444444}, {'word': 'алгоритм оптимизации Адам', 'ratio': 0.3333333333333333}, {'word': 'Алгоритм оптимизации Адам', 'ratio': 0.2222222222222222}]",,,[]
36,36,Adam optimizer,Оптимизатор Адам,0.1,10,"[{'word': 'оптимизатор Adam', 'ratio': 0.7}, {'word': 'оптимизатор Адам', 'ratio': 0.2}, {'word': 'Оптимизатор Адам', 'ratio': 0.1}]",оптимизатор Адам,"```
1. Candidate: ""оптимизатор Адам""
2. Explanation: The candidate ""оптимизатор Адам"" is the best fit for translating ""Adam optimizer"" in the context of AI terminology. This translation maintains the correct order of words, which is important for clarity and understanding in Russian. The term ""оптимизатор"" (optimizer) is a direct translation and is commonly used in Russian technical literature to describe optimization algorithms. The name ""Адам"" is transliterated, preserving the original name of the algorithm, which is crucial for recognition and consistency in the AI domain. The back translation ""optimizer Adam"" accurately reflects the original English term, ensuring semantic accuracy and contextual fit.
```","['optimizer Adam', 'Adam optimizer', 'Adam optimizer', 'Optimizer Adam']"
37,37,Adapter,адаптер,0.7,10,"[{'word': 'адаптер', 'ratio': 0.7}, {'word': 'Адаптер', 'ratio': 0.2}, {'word': 'Adapter', 'ratio': 0.1}]",,,[]
38,38,Algorithm,алгоритм,0.5,10,"[{'word': 'алгоритм', 'ratio': 0.5}, {'word': 'Алгоритм', 'ratio': 0.5}]",,,[]
39,39,Answer Set Programming,программирование на основе множеств ответов,0.0,10,"[{'word': 'Программирование множеств ответов', 'ratio': 0.2}, {'word': 'Программирование ответных множеств', 'ratio': 0.2}, {'word': 'Программирование на основе ответов', 'ratio': 0.1}, {'word': 'Программирование на основе множеств ответов', 'ratio': 0.1}, {'word': 'Программирование ответов', 'ratio': 0.1}, {'word': 'Программирование с использованием ответов', 'ratio': 0.1}, {'word': 'Программирование множества решений', 'ratio': 0.1}, {'word': 'графовая минерализация', 'ratio': 0.1}]",,,[]
40,40,Apriori,Априори,0.6,10,"[{'word': 'Априори', 'ratio': 0.6}, {'word': 'Apriori', 'ratio': 0.3}, {'word': 'графовая модель', 'ratio': 0.1}]",Априори,"```
1. Candidate: ""Априори""
2. Explanation: The term ""Apriori"" in the context of AI and data mining refers to the Apriori algorithm, which is used for mining frequent itemsets and learning association rules. The term ""Априори"" is a direct transliteration of ""Apriori"" and is commonly used in Russian to refer to the same algorithm. This maintains the technical specificity and accuracy needed in the AI domain, ensuring that the term is understood in its intended context without introducing ambiguity. The other candidates, such as ""графовая модель"" (graph model), do not accurately represent the Apriori algorithm and would mislead the reader regarding the specific process being described.
```","['A priori', 'graph model', 'A priori']"
41,41,Apriori algorithm,алгоритм Apriori,0.0,10,"[{'word': 'Алгоритм Априори', 'ratio': 0.4}, {'word': 'Алгоритм Apriori', 'ratio': 0.3}, {'word': 'Алгоритм априори', 'ratio': 0.2}, {'word': 'графовая нейронная сеть', 'ratio': 0.1}]",,,[]
42,42,Arcade Learning Environment,аркадная обучающая среда,0.0,10,"[{'word': 'Среда обучения Arcade', 'ratio': 0.4}, {'word': 'Среда обучения в аркадных играх', 'ratio': 0.3}, {'word': 'Среда обучения на аркадных играх', 'ratio': 0.1}, {'word': 'Среда обучения в аркадах', 'ratio': 0.1}, {'word': 'графовая вершина', 'ratio': 0.1}]",,,[]
43,43,Artificial Intelligence,Искусственный интеллект,0.8888888888888888,9,"[{'word': 'Искусственный интеллект', 'ratio': 0.8888888888888888}, {'word': 'Artificial Intelligence Искусственный интеллект', 'ratio': 0.1111111111111111}]",,,[]
44,44,Attention,внимание,0.0,9,"[{'word': 'Внимание', 'ratio': 0.8888888888888888}, {'word': 'Attention Внимание', 'ratio': 0.1111111111111111}]",,,[]
45,45,Autoencoder,Автоэнкодер,0.0,9,"[{'word': 'Автокодировщик', 'ratio': 0.8888888888888888}, {'word': 'Autoencoder Автокодировщик', 'ratio': 0.1111111111111111}]",,,[]
46,46,Automatic Speech Recognition,автоматическое распознавание речи,0.0,9,"[{'word': 'Автоматическое распознавание речи', 'ratio': 0.8888888888888888}, {'word': 'Automatic Speech Recognition Автоматическое распознавание речи', 'ratio': 0.1111111111111111}]",,,[]
47,47,Autonomous Systems,Автономные Системы (AS),0.0,9,"[{'word': 'Автономные системы', 'ratio': 0.8888888888888888}, {'word': 'Autonomous Systems Автономные системы', 'ratio': 0.1111111111111111}]",,,[]
48,48,Average Pool,средний пул,0.0,10,"[{'word': 'среднее подвыборка', 'ratio': 0.2}, {'word': 'усредняющее объединение', 'ratio': 0.1}, {'word': 'Средний пул', 'ratio': 0.1}, {'word': 'сред pooling', 'ratio': 0.1}, {'word': 'Average Pool сред pooling', 'ratio': 0.1}, {'word': 'среднее пуллинг', 'ratio': 0.1}, {'word': 'среднее pooling', 'ratio': 0.1}, {'word': 'усредняющее подвыборку', 'ratio': 0.1}, {'word': 'среднееПулинг', 'ratio': 0.1}]",,,[]
