,word,gold,exact_match_ratio,prediction_count,prediction_ratio
0,AI,AI,0.7,10,"[{'word': 'AI', 'ratio': 0.7}, {'word': '人工知能', 'ratio': 0.2}, {'word': 'エーアイ', 'ratio': 0.1}]"
1,API,API,0.8,10,"[{'word': 'API', 'ratio': 0.8}, {'word': 'エーピーアイ', 'ratio': 0.2}]"
2,AQA,AQA,0.6,10,"[{'word': 'AQA', 'ratio': 0.6}, {'word': 'アクア', 'ratio': 0.4}]"
3,ARENA,ARENA,0.1,10,"[{'word': 'アリーナ', 'ratio': 0.9}, {'word': 'ARENA', 'ratio': 0.1}]"
4,Additionally,さらに,1.0,10,"[{'word': 'さらに', 'ratio': 1.0}]"
5,AmbigQA,AmbigQA,0.9,10,"[{'word': 'AmbigQA', 'ratio': 0.9}, {'word': 'アンビッグQA', 'ratio': 0.1}]"
6,Architectures,アーキテクチャ,0.9,10,"[{'word': 'アーキテクチャ', 'ratio': 0.9}, {'word': '建築', 'ratio': 0.1}]"
7,BART,BART,0.2,10,"[{'word': 'バート', 'ratio': 0.8}, {'word': 'BART', 'ratio': 0.2}]"
8,BERT,BERT,0.3,10,"[{'word': 'バート', 'ratio': 0.7}, {'word': 'BERT', 'ratio': 0.3}]"
9,BERTs,BERTs,0.3,10,"[{'word': 'バートさん', 'ratio': 0.4}, {'word': 'BERTs', 'ratio': 0.3}, {'word': 'バート', 'ratio': 0.2}, {'word': 'BERT', 'ratio': 0.1}]"
10,BETO,BETO,0.2,10,"[{'word': 'ベト', 'ratio': 0.8}, {'word': 'BETO', 'ratio': 0.2}]"
11,BIO,BIO,0.2,10,"[{'word': 'バイオ', 'ratio': 0.7}, {'word': 'BIO', 'ratio': 0.2}, {'word': 'オーガニック', 'ratio': 0.1}]"
12,BLEU,BLEU,0.2,10,"[{'word': 'ブルー', 'ratio': 0.8}, {'word': 'BLEU', 'ratio': 0.2}]"
13,BPE,BPE,0.7,10,"[{'word': 'BPE', 'ratio': 0.7}, {'word': 'ブートピア', 'ratio': 0.2}, {'word': 'BPEの埋め込み', 'ratio': 0.1}]"
14,BSARD,BSARD,0.8,10,"[{'word': 'BSARD', 'ratio': 0.8}, {'word': 'ビーエスエーディー', 'ratio': 0.2}]"
15,CAS,CAS,0.8,10,"[{'word': 'CAS', 'ratio': 0.8}, {'word': 'キャス', 'ratio': 0.1}, {'word': '場合', 'ratio': 0.1}]"
16,CDA,CDA,0.8,10,"[{'word': 'CDA', 'ratio': 0.8}, {'word': '通信品位法', 'ratio': 0.2}]"
17,CEAS,CEAS,0.5,10,"[{'word': 'CEAS', 'ratio': 0.5}, {'word': 'クロック', 'ratio': 0.3}, {'word': 'シーアス', 'ratio': 0.2}]"
18,CLIP,CLIP,0.3,10,"[{'word': 'クリップ', 'ratio': 0.7}, {'word': 'CLIP', 'ratio': 0.3}]"
19,CLS,CLS,0.9,10,"[{'word': 'CLS', 'ratio': 0.9}, {'word': 'セルロース誘導体', 'ratio': 0.1}]"
20,CONLL,CoNLL,0.0,10,"[{'word': 'CONLL', 'ratio': 0.5}, {'word': 'コンレル', 'ratio': 0.3}, {'word': 'コンル', 'ratio': 0.1}, {'word': 'コンエル', 'ratio': 0.1}]"
21,CRF,CRF,0.8,10,"[{'word': 'CRF', 'ratio': 0.8}, {'word': 'シーアールエフ', 'ratio': 0.2}]"
22,CamemBERT,CamemBERT,0.3,10,"[{'word': 'カマンベール', 'ratio': 0.4}, {'word': 'CamemBERT', 'ratio': 0.3}, {'word': 'カメンバート', 'ratio': 0.3}]"
23,Clustering,クラスタリング,1.0,10,"[{'word': 'クラスタリング', 'ratio': 1.0}]"
24,CodeBERT,CodeBERT,0.2,10,"[{'word': 'コードBERT', 'ratio': 0.7}, {'word': 'CodeBERT', 'ratio': 0.2}, {'word': 'コードバート', 'ratio': 0.1}]"
25,Detecting,検出,0.8,10,"[{'word': '検出', 'ratio': 0.8}, {'word': '検出中', 'ratio': 0.2}]"
26,Dialogue,ダイアログ,0.0,10,"[{'word': '対話', 'ratio': 0.9}, {'word': '会話', 'ratio': 0.1}]"
27,English,英語,1.0,10,"[{'word': '英語', 'ratio': 1.0}]"
28,FLR,FLR,0.7,10,"[{'word': 'FLR', 'ratio': 0.7}, {'word': '最終レイテンシ削減', 'ratio': 0.2}, {'word': 'フラー', 'ratio': 0.1}]"
29,FeSTE,FeSTE,0.3,10,"[{'word': 'パーティー', 'ratio': 0.5}, {'word': 'FeSTE', 'ratio': 0.3}, {'word': 'フェステ', 'ratio': 0.2}]"
30,For,の為,0.0,10,"[{'word': '例えば', 'ratio': 0.3}, {'word': 'のために', 'ratio': 0.3}, {'word': 'のため', 'ratio': 0.3}, {'word': 'について', 'ratio': 0.1}]"
31,French,フランス語,1.0,10,"[{'word': 'フランス語', 'ratio': 1.0}]"
32,Furthermore,さらに,1.0,10,"[{'word': 'さらに', 'ratio': 1.0}]"
33,GLUE,GLUE,0.2,10,"[{'word': 'のり', 'ratio': 0.6}, {'word': 'GLUE', 'ratio': 0.2}, {'word': 'グルー', 'ratio': 0.2}]"
34,GPT,GPT,0.8,10,"[{'word': 'GPT', 'ratio': 0.8}, {'word': 'ジーピーティー', 'ratio': 0.2}]"
35,Hence,よって,0.1,10,"[{'word': 'したがって', 'ratio': 0.7}, {'word': 'それゆえ', 'ratio': 0.2}, {'word': 'よって', 'ratio': 0.1}]"
36,ICLR,ICLR,0.8,10,"[{'word': 'ICLR', 'ratio': 0.8}, {'word': 'アイシーアールエル', 'ratio': 0.1}, {'word': '国際学習表現会議', 'ratio': 0.1}]"
37,IDF,IDF,0.6,10,"[{'word': 'IDF', 'ratio': 0.6}, {'word': '逆文書頻度', 'ratio': 0.2}, {'word': '中間配線盤', 'ratio': 0.2}]"
38,KinyaBERT,KinyaBERT,0.1,10,"[{'word': 'キンヤバート', 'ratio': 0.7}, {'word': 'インヤバート', 'ratio': 0.1}, {'word': 'キニャベルテ', 'ratio': 0.1}, {'word': 'KinyaBERT', 'ratio': 0.1}]"
39,LXMert,LXMert,0.4,10,"[{'word': 'LXマート', 'ratio': 0.5}, {'word': 'LXMert', 'ratio': 0.4}, {'word': 'LXマートt', 'ratio': 0.1}]"
40,LinCE,LinCE,1.0,10,"[{'word': 'LinCE', 'ratio': 1.0}]"
41,MAWPS,MAWPS,0.8,10,"[{'word': 'MAWPS', 'ratio': 0.8}, {'word': 'ＭＡＷＰＳ', 'ratio': 0.1}, {'word': 'モープス', 'ratio': 0.1}]"
42,MTDNN,MTDNN,1.0,10,"[{'word': 'MTDNN', 'ratio': 1.0}]"
43,MathQA,MathQA,0.3,10,"[{'word': '数学QA', 'ratio': 0.6}, {'word': 'MathQA', 'ratio': 0.3}, {'word': '数学検定協会', 'ratio': 0.1}]"
44,Modeling,モデリング,1.0,10,"[{'word': 'モデリング', 'ratio': 1.0}]"
45,Moreover,また,0.1,10,"[{'word': 'さらに', 'ratio': 0.9}, {'word': 'また', 'ratio': 0.1}]"
46,Morphology,語形論,0.0,10,"[{'word': '形態論', 'ratio': 0.6}, {'word': '形態学', 'ratio': 0.4}]"
