Index,English,Japanese
0,10-fold cross validation,10分割交差検証
1,1D convolution,1次元畳み込み
2,2 norm,2ノルム
3,2D convolution,2次元畳み込み
4,2D image,2次元画像
5,2D image synthesis,2D画像合成
6,2D-3D correspondence,2D-3D対応
7,3D bounding box,3Dバウンディングボックス
8,3D computer vision,3Dコンピュータビジョン
9,3D convolutional network,3D畳み込みネットワーク
10,3D geometry,3Dジオメトリ
11,3D human pose estimation,3D人体ポーズ推定
12,3D localization,3D位置特定
13,3D mesh,3Dメッシュ
14,3D model,3Dモデル
15,3D object detection,3Dオブジェクト検出
16,3D point,3Dポイント
17,3D point cloud,3Dポイントクラウド
18,3D pose,3Dポーズ
19,3D reconstruction,3D再構成
20,3D scene,3Dシーン
21,3D scene geometry,3Dシーンジオメトリ
22,3D structure,3D構造
23,5-fold cross validation,5分割交差検証
24,A * algorithm,A*アルゴリズム
25,A/B test,A/Bテスト
26,A2C,A2C
27,AI,AI
28,API,API
29,AQA,AQA
30,ARENA,ARENA
31,Ablation study,アブレーションスタディ
32,Adafactor,アダファクター
33,Adam,アダム
34,Adam algorithm,アダムアルゴリズム
35,Adam optimiser,アダムオプティマイザー
36,Adam optimization,Adam最適化
37,Adam optimization algorithm,アダム最適化アルゴリズム
38,Adam optimizer,Adamオプティマイザ
39,Adapter,アダプタ
41,AmbigQA,AmbigQA
42,Answer Set Programming,アンサーセットプログラミング
43,Apriori,アプリオリ
44,Apriori algorithm,アプリオリアルゴリズム
45,Arcade Learning Environment,アーケード学習環境
47,Autonomous Systems,自律システム
48,Average Pool,平均プーリング
49,Average Precision,平均適合率
50,Azuma-Hoeffding inequality,アズマ・ホフディング不等式
51,B-spline,Bスプライン
52,BART,BART
53,BERT,BERT
54,BERTs,BERTs
55,BETO,BETO
56,BIO,BIO
57,BLEU,BLEU
58,BPE,BPE
59,BSARD,BSARD
60,Backbone,バックボーン
61,Backpropagation,逆伝播
62,Basis Pursuit,ベーシス・パシュート
63,Baum-Welch algorithm,バウム・ウェルチアルゴリズム
64,Bayes,ベイズ
65,Bayes classifier,ベイズ分類器
66,Bayes factor,ベイズ因子
67,Bayes formula,ベイズの公式
68,Bayes net,ベイズネット
69,Bayes optimal classifier,ベイズ最適分類器
70,Bayes risk,ベイズリスク
71,Bayes risk decoding,ベイズリスクデコーディング
72,Bayes rule,ベイズ則
73,Bayes theorem,ベイズの定理
74,Bayes-Nash equilibrium,ベイズ・ナッシュ均衡
75,Bayesian Information Criterion,ベイズ情報量基準
76,Bayesian active learning,ベイジアンアクティブラーニング
77,Bayesian analysis,ベイジアン分析
78,Bayesian approach,ベイズ的アプローチ
79,Bayesian clustering,ベイズクラスタリング
80,Bayesian decision,ベイズ的決定
81,Bayesian deep learning,ベイズ深層学習
82,Bayesian evidence,ベイズ証拠
83,Bayesian framework,ベイズフレームワーク
84,Bayesian game,ベイズゲーム
85,Bayesian inference,ベイズ推論
86,Bayesian learning,ベイズ学習
87,Bayesian method,ベイズ法
88,Bayesian model,ベイズモデル
89,Bayesian network,ベイジアンネットワーク
90,Bayesian optimization,ベイズ最適化
91,Bayesian perspective,ベイズ的視点
92,Bayesian probabilistic model,ベイズ確率モデル
93,Bayesian update,ベイズ更新
94,Bellman,ベルマン
95,Bellman backup,ベルマンバックアップ
96,Bellman equation,ベルマン方程式
97,Bellman error,ベルマン誤差
98,Bellman operator,ベルマン演算子
99,Berkeley parser,バークレー構文解析器
100,Berkeley segmentation dataset,バークレーセグメンテーションデータセット
101,Bernoulli,ベルヌーイ
102,Bernoulli distribution,ベルヌーイ分布
103,Bernoulli likelihood,ベルヌーイ尤度
104,Bernoulli random variable,ベルヌーイ確率変数
105,Bernoulli sampling,ベルヌーイサンプリング
106,Bernoulli trial,ベルヌーイ試行
107,Bernoulli variable,ベルヌーイ変数
108,Bernstein's inequality,バーンスタインの不等式
109,Bethe approximation,ベーテ近似
110,Bhattacharyya coefficient,バタチャリヤ係数
111,Bloom filter,ブルームフィルタ
112,Boltzmann distribution,ボルツマン分布
113,Boltzmann exploration,ボルツマン探索
114,Bonferroni correction,ボンフェローニ補正
115,Boolean formula,ブール式
116,Boolean function,ブール関数
117,Boolean variable,ブール変数
118,Borda scores,ボルダ得点
119,Bradley-Terry Model,ブラッドリー＝テリーモデル
120,Branch and Bound,分枝限定法
121,Bregman divergence,ブレグマン発散
122,Bregman's method,ブレグマン法
123,Bundle adjustment,バンドル調整
124,Byte-Pair Encoding,バイトペアエンコーディング
125,CAS,CAS
