Index,English,French
0,10-fold cross validation,validation croisée à 10 plis
1,1D convolution,convolution 1D
2,2 norm,norme 2
3,2 x 2 contingency table,table de contingence 2 x 2
4,2D convolution,convolution 2D
5,2D image,image 2D
6,2D image synthesis,synthèse d'images 2D
7,2D-3D correspondence,correspondance 2D-3D
8,3D bounding box,boîte englobante 3D
9,3D computer vision,vision par ordinateur 3D
10,3D convolutional network,réseau de convolution 3D
11,3D geometry,géométrie 3D
12,3D human pose estimation,estimation de la pose humaine en 3D
13,3D localization,localisation 3D
14,3D mesh,maillage 3D
15,3D model,modèle 3D
16,3D object detection,détection d'objets 3D
17,3D point,point 3D
18,3D point cloud,nuage de points 3D
19,3D pose,pose 3D
20,3D reconstruction,reconstruction 3D
21,3D scene,scène 3D
22,3D scene geometry,géométrie de scène 3D
23,3D structure,structure 3D
24,5-fold cross validation,validation croisée à 5 plis
25,A * algorithm,algorithme A*
26,A* algorithm,algorithme A*
27,A/B test,test A/B
28,A2C,A2C
29,ADALINE,adaline
30,AI,intelligence artificielle
31,AI accelerator,accélérateur d'IA
32,AI alignment,alignement d'une intelligence artificielle
33,AI architect,architecte en intelligence artificielle
34,AI art,art créé par IA
35,AI avatar,AvatarIA
36,AI crawler,robot d'indexation
37,AI engineering,ingénierie de l'IA
38,AI enriched simulation,simulation enrichie par l'IA
39,AI hallucination,affirmation fausse de l'IA
40,AI security,sûreté de l'IA
41,AI simulation,simulation IA
42,AI software,logiciel d'intelligence artificielle
43,AI strategist,stratège en IA
44,AI system,système d'intelligence artificielle
45,AI validation,validation en IA
46,AI-as-a-service,IA en tant que service
47,AI-assisted plagiarism,plagiat assisté par l'IA
48,AI-complete problem,problème complet
49,AI-powered content manipulation,manipulation de contenu par IA
50,AI-powered surveillance,surveillance par IA
51,AIOps,AIOps
52,ANCOVA,analyse de la covariance
53,ANOVA,analyse de la variance
54,API,API
55,AQA,AQA
56,ARENA,ARENA
57,ARIMA models,modèle ARIMA
58,Ablation study,étude d'ablation
59,Ackermann function,fonction d'Ackermann-Péter
60,AdaBoost,AdaBoost
61,AdaGrad,adagrad
62,Adafactor,Adafactor
63,Adam,Adam
64,Adam algorithm,algorithme Adam
65,Adam optimiser,optimiseur Adam
66,Adam optimization,optimisation Adam
67,Adam optimization algorithm,algorithme d'optimisation Adam
68,Adam optimizer,optimiseur Adam
69,Adapter,adaptateur
71,Aho-Corasick algorithm,algorithme d'Aho-Corasick
72,AlexNet,AlexNet
73,Almeida–Pineda recurrent backpropagation,rétropropagation récurrente d'Almeida-Pineda
74,Alpha-beta pruning,élagage alpha-bêta
75,AlphaGo,AlphaGo
76,AmbigQA,AmbigQA
77,Answer Set Programming,programmation par ensembles réponses
78,Apache Cassandra,Apache Cassandra
79,Apache Flume,Apache Flume
80,Apache HBase,Apache HBase
81,Apache Hadoop YARN,Apache Hadoop YARN
82,Apache Kafka,Apache Kafka
83,Apache Mahout,Apache Mahout
84,Apache SINGA,Apache Singa
85,Apache Spark,Apache Spark
86,Apache Storm,Apache Storm
87,Apriori,Apriori
88,Apriori algorithm,algorithme APriori
89,Arcade Learning Environment,Environnement d'apprentissage Arcade
91,Autonomous Systems,Systèmes Autonomes
92,Average Pool,Pooling moyen
93,Average Precision,précision moyenne
94,Avro,Avro
95,Azuma-Hoeffding inequality,inégalité d'Azuma-Hoeffding
96,Azure Machine Learning,Azure ML
97,B-spline,B-spline
98,BART,BART
99,BERT,BERT
100,BERTs,BERTs
101,BETO,BETO
102,BIO,BIO
103,BLEU,BLEU
104,BPE,BPE
105,BSARD,BSARD
106,Backbone,Architecture de base
107,Backpropagation,rétro-propagation
108,Basis Pursuit,Poursuite de base
109,Baum-Welch algorithm,algorithme de Baum-Welch
110,Bayes,Bayésien
111,Bayes classifier,classificateur de Bayes
112,Bayes factor,facteur de Bayes
113,Bayes formula,formule de Bayes
114,Bayes net,réseau bayésien
115,Bayes optimal classifier,classificateur optimal de Bayes
116,Bayes risk,risque de Bayes
117,Bayes risk decoding,décodage par risque de Bayes
118,Bayes rule,règle de Bayes
119,Bayes theorem,théorème de Bayes
120,Bayes-Nash equilibrium,équilibre de Bayes-Nash
121,Bayesian,Bayésien
122,Bayesian Information Criterion,Critère d'Information Bayésien
123,Bayesian active learning,apprentissage actif bayésien
124,Bayesian analysis,analyse bayésienne
125,Bayesian approach,approche bayésienne
126,Bayesian clustering,clustering bayésien
127,Bayesian decision,décision bayésienne
128,Bayesian deep learning,apprentissage profond bayésien
129,Bayesian evidence,preuve bayésienne
130,Bayesian framework,cadre bayésien
131,Bayesian game,jeu bayésien
132,Bayesian inference,inférence bayésienne
133,Bayesian learning,apprentissage bayésien
134,Bayesian method,méthode bayésienne
135,Bayesian model,modèle bayésien
136,Bayesian network,réseau bayésien
137,Bayesian optimization,optimisation bayésienne
138,Bayesian perspective,perspective bayésienne
139,Bayesian probabilistic model,modèle probabiliste bayésien
140,Bayesian update,mise à jour bayésienne
141,Bellman,Bellman
142,Bellman backup,sauvegarde de Bellman
143,Bellman equation,équation de Bellman
144,Bellman error,erreur de Bellman
145,Bellman operator,opérateur de Bellman
146,Bellman-Ford algorithm,algorithme de Bellman-Ford
147,Bentley–Ottmann algorithm,algorithme de Bentley-Ottmann
