,word,gold,exact_match_ratio,prediction_count,prediction_ratio
0,AI,AI,0.0,10,"[{'word': 'ИИ', 'ratio': 1.0}]"
1,API,API,1.0,10,"[{'word': 'API', 'ratio': 1.0}]"
2,AQA,AQA,0.7,10,"[{'word': 'AQA', 'ratio': 0.7}, {'word': 'АКА', 'ratio': 0.2}, {'word': 'Академия качественной аналитики', 'ratio': 0.1}]"
3,ARENA,ARENA,0.4,10,"[{'word': 'АРЕНА', 'ratio': 0.6}, {'word': 'ARENA', 'ratio': 0.4}]"
4,Additionally,Дополнительно,0.8,10,"[{'word': 'Дополнительно', 'ratio': 0.8}, {'word': 'дополнительно', 'ratio': 0.2}]"
5,AmbigQA,AmbigQA,0.6,10,"[{'word': 'AmbigQA', 'ratio': 0.6}, {'word': 'АмбигКА', 'ratio': 0.2}, {'word': 'АмбигQA', 'ratio': 0.2}]"
6,Architectures,Архитектуры,0.9,10,"[{'word': 'Архитектуры', 'ratio': 0.9}, {'word': 'разбиение графа', 'ratio': 0.1}]"
7,BART,BART,0.7,10,"[{'word': 'BART', 'ratio': 0.7}, {'word': 'БАРТ', 'ratio': 0.2}, {'word': 'BART BART', 'ratio': 0.1}]"
8,BERT,BERT,0.8,10,"[{'word': 'BERT', 'ratio': 0.8}, {'word': 'БЕРТ', 'ratio': 0.2}]"
9,BERTs,BERTs,0.1,10,"[{'word': ""BERT'ы"", 'ratio': 0.5}, {'word': 'BERT-ы', 'ratio': 0.2}, {'word': 'BERT’ы', 'ratio': 0.1}, {'word': 'BERTs', 'ratio': 0.1}, {'word': 'БЕРТ', 'ratio': 0.1}]"
10,BETO,BETO,0.8,10,"[{'word': 'BETO', 'ratio': 0.8}, {'word': 'БЕТО', 'ratio': 0.2}]"
11,BIO,BIO,0.8,10,"[{'word': 'BIO', 'ratio': 0.8}, {'word': 'ОРГАНИЧЕСКИЙ', 'ratio': 0.1}, {'word': 'БИО', 'ratio': 0.1}]"
12,BLEU,BLEU,0.8,10,"[{'word': 'BLEU', 'ratio': 0.8}, {'word': 'СИНИЙ', 'ratio': 0.1}, {'word': 'БЛЕУ', 'ratio': 0.1}]"
13,BPE,BPE,0.6,10,"[{'word': 'BPE', 'ratio': 0.6}, {'word': 'БПЭ', 'ratio': 0.3}, {'word': 'BPE BPE', 'ratio': 0.1}]"
14,BSARD,BSARD,0.6666666666666666,9,"[{'word': 'BSARD', 'ratio': 0.6666666666666666}, {'word': 'БСАРД', 'ratio': 0.2222222222222222}, {'word': 'BSARD BSARD', 'ratio': 0.1111111111111111}]"
15,CAS,CAS,0.6,10,"[{'word': 'CAS', 'ratio': 0.6}, {'word': 'КАС', 'ratio': 0.3}, {'word': 'CAS CAS', 'ratio': 0.1}]"
16,CDA,CDA,0.8,10,"[{'word': 'CDA', 'ratio': 0.8}, {'word': 'АДА', 'ratio': 0.1}, {'word': 'CDA CDA', 'ratio': 0.1}]"
17,CEAS,CEAS,0.5555555555555556,9,"[{'word': 'CEAS', 'ratio': 0.5555555555555556}, {'word': 'ОЕАС', 'ratio': 0.1111111111111111}, {'word': 'ЧАСЫ', 'ratio': 0.1111111111111111}, {'word': 'ЦЕАС', 'ratio': 0.1111111111111111}, {'word': 'СЕАС', 'ratio': 0.1111111111111111}]"
18,CLIP,CLIP,0.5555555555555556,9,"[{'word': 'CLIP', 'ratio': 0.5555555555555556}, {'word': 'КЛИП', 'ratio': 0.4444444444444444}]"
19,CLS,CLS,0.6666666666666666,9,"[{'word': 'CLS', 'ratio': 0.6666666666666666}, {'word': 'ЦЛС', 'ratio': 0.2222222222222222}, {'word': 'КЛС', 'ratio': 0.1111111111111111}]"
20,CONLL,CoNLL,0.0,9,"[{'word': 'CONLL', 'ratio': 0.5555555555555556}, {'word': 'КОНЛЛ', 'ratio': 0.4444444444444444}]"
21,CRF,CRF,0.5555555555555556,9,"[{'word': 'CRF', 'ratio': 0.5555555555555556}, {'word': 'ОФД', 'ratio': 0.3333333333333333}, {'word': 'КРФ', 'ratio': 0.1111111111111111}]"
22,CamemBERT,CamemBERT,0.7,10,"[{'word': 'CamemBERT', 'ratio': 0.7}, {'word': 'Камамбер', 'ratio': 0.3}]"
23,Clustering,кластеризация,0.5,8,"[{'word': 'кластеризация', 'ratio': 0.5}, {'word': 'Кластеризация', 'ratio': 0.375}, {'word': 'Clustering кластеризация', 'ratio': 0.125}]"
