english,chinese,turkish,arabic,persian,dutch,german,portuguese,french,russian,japanese
Detecting,检测,Algılama; Tespit Etme,كشف,تشخیص,Detecteren,Erkennung:::erkennen,Detecção,détecter,Обнаружение,検出
Modeling,造型,modelleme,نمذجة,مدل‌سازی,modellering,Modellierung,modelagem,modélisation,моделирование,モデリング
lexical,词汇,sözcük temelli,معجمي,واژگانی,lexicaal:::lexicale,lexikalisch,lexical,lexicale,словарный ,語彙的
task,任务,Görev,مهمة,وظیفه,Taak,Aufgabe,Tarefa,tâche,Задача,タスク
dataset,数据集,veri kümesi,مجموعة بيانات,مجموعه داده‌ها,dataset,Datensatz,conjunto de dados,données,набор данных,データセット
models,模型,modeller,نماذج,مدل‌ها,modellen,Modelle,modelos,modèles,Модели,モデル
words,字,sözcükler,كلمات,واژه‌ها,woorden,Wörter,palavras,mots,слова,単語
language,语言,dil,اللغة,زبان,taal,Sprache,idioma,langue,Язык,言語
For,针对,için,ل,برای,voor,für,para,pour,для,の為
English,英语,İngilizce,إنجليزي,انگلیسی,Engels,englisch,Inglês,anglais,Английский,英語
online,在线,çevrim içi,عبر الإنترنت,آنلاین,online,Online,online,en ligne,Онлайн,オンライン
linguistic,语言化,dil bilimsel,لغوي,زبان‌شناسی,linguïstisch:::linguïstische:::taalkundig:::taalkundige,sprachlich,linguística,linguistique,лингвистический,言語的
languages,语言,diller,لغات,زبان‌ها,talen,Sprachen,linguagens,langues,Языки,言語
compared,已比较,Karşılaştırıldığında,مقارنة,در مقایسه,Vergeleken,im Vergleich zu,Comparado,comparé,Сравнительный,比較して
grammar,语法,dil bilgisi,قواعد,گرامر,grammatica,Grammatik,gramática,grammaire,грамматика,文法
linguistics,语言学,dil bilim,لغويات,زبان‌شناسی,taalkunde,Linguistik,linguística,linguistiques,языкознания,言語学
source,来源,kaynak,مصدر,منبع,bron,Quell-:::Ausgangs-,fonte,source,источник,ソース
NLP,自然语言处理,Doğal Dil İşleme,معالجة اللغة الطبيعية,NLP,NLP,NLP,NLP,TAL traitement automatique du langage naturel,NLP,自然言語処理
vocabulary,词汇,kelime haznesi,مفردات,لغت,woordenschat,Wortschatz:::Vokabular,vocabulário,vocabulaire,словарь,語彙
automatically,自动地,otomatik olarak,تلقائيًا,به‌طورخودکار,automatisch:::automatische,automatisch,automaticamente,automatiquement,автоматически,自動的に
downstream,下游,alt; aşağı yönlü,البيانات المنخفضة,متعاقب,downstream,nachgelagert,posterior,downstream,подчиненная,下流
tasks,任务,görevler,مهام,وظیفه‌ها,taken,Aufgaben,tarefas,tâches,Задачи,タスク
