,Unnamed: 0,word,gold,exact_match_ratio,prediction_count,prediction_ratio,validated_translation,reason,back_translations
0,0,10-fold cross validation,validation croisée 10 fois,0.0,10,"[{'word': 'validation croisée à 10 volets', 'ratio': 0.4}, {'word': 'validation croisée à 10 plis', 'ratio': 0.3}, {'word': 'validation croisée en 10 plis', 'ratio': 0.2}, {'word': 'Validation croisée à 10 volets', 'ratio': 0.1}]",,,[]
1,1,1D convolution,Convolution 1D,0.1,10,"[{'word': 'convolution 1D', 'ratio': 0.9}, {'word': 'Convolution 1D', 'ratio': 0.1}]",convolution 1D,"```
1. Candidate: convolution 1D
2. Explanation: The candidate ""convolution 1D"" is the best fit because it maintains the technical terminology used in the AI domain, where the order of ""convolution"" and ""1D"" is consistent with the standard French usage for mathematical and technical terms. This order is also reflected in the back translation, which accurately returns to ""1D convolution,"" ensuring semantic accuracy and contextual fit within the AI domain.
```","['1D Convolution', '1D convolution']"
2,2,2 norm,norme 2,0.9,10,"[{'word': 'norme 2', 'ratio': 0.9}, {'word': 'Norme 2', 'ratio': 0.1}]",Norme 2,"```
1. Candidate: ""Norme 2""
2. Explanation: ""Norme 2"" is the best translation candidate because it accurately reflects the mathematical concept of the ""2 norm"" or ""L2 norm"" in the context of AI and machine learning. In French, ""norme"" is commonly used to describe mathematical norms, and the numeral ""2"" is placed before it to specify the type of norm. This aligns with the standard terminology used in both English and French mathematical and AI literature, ensuring semantic accuracy and contextual fit. The back translation to ""Standard 2"" is not perfect, but ""Norme 2"" is still the most precise and widely understood term in the domain-specific context.
```","['Standard 2', 'standard 2', '2 standard']"
3,3,2D convolution,convolution 2D,0.9,10,"[{'word': 'convolution 2D', 'ratio': 0.9}, {'word': 'Convolution 2D', 'ratio': 0.1}]",convolution 2D,"```
1. Candidate: convolution 2D
2. Explanation: The term ""convolution 2D"" is the best fit for the translation of ""2D convolution"" in the context of AI and computer vision. In French technical literature, it is common to maintain the order of ""convolution"" followed by the dimensionality, as seen in ""convolution 2D"" and ""convolution 3D"". This maintains consistency with the terminology used in the field and ensures clarity for French-speaking professionals familiar with AI concepts. The back translation accurately reflects the original English term, preserving the semantic meaning and technical specificity required in AI contexts.
```","['2D Convolution', '2D convolution']"
4,4,2D image,image 2D,0.9,10,"[{'word': 'image 2D', 'ratio': 0.9}, {'word': 'Image 2D', 'ratio': 0.1}]",image 2D,"```
1. Candidate: ""image 2D""
2. Explanation: The candidate ""image 2D"" is the best fit because it maintains the same structure and meaning as the English term ""2D image,"" which is crucial for clarity in technical contexts like AI. The capitalization is consistent with French language norms for technical terms, and the back translation accurately returns to ""2D image,"" ensuring semantic accuracy and contextual fit in the AI domain.
```","['2D image', '2D image']"
5,5,2D image synthesis,synthèse d'images 2D,0.8,10,"[{'word': ""synthèse d'images 2D"", 'ratio': 0.8}, {'word': ""synthèse d'image 2D"", 'ratio': 0.2}]",synthèse d'images 2D,"```
1. Candidate: ""synthèse d'images 2D""
2. Explanation: The candidate ""synthèse d'images 2D"" is the best fit because it accurately reflects the plural form ""images"" used in the context of AI, where multiple images are typically synthesized. This aligns with the domain-specific usage where models often generate a variety of images, not just a single one. The back translation also matches perfectly with the original English term, ensuring semantic accuracy and contextual fit.
```","['2D image synthesis', '2D image synthesis', '2D image synthesis']"
6,6,2D-3D correspondence,correspondances 2d-3d,0.0,10,"[{'word': 'correspondance 2D-3D', 'ratio': 1.0}]",Correspondance 2D-3D,"```
1. Candidate: Correspondance 2D-3D
2. Explanation: The candidate ""Correspondance 2D-3D"" is the best fit because it accurately captures the technical meaning of ""2D-3D correspondence"" in the context of AI and computer vision. The term ""correspondance"" is commonly used in French to describe the relationship or mapping between two sets of data, which is precisely what is meant by ""2D-3D correspondence"" in the context of pose estimation and object detection. Additionally, the back translation perfectly matches the original English term, ensuring semantic accuracy and contextual fit within the AI domain.
```","['2D-3D correspondence', '2D-3D correspondence']"
7,7,3D bounding box,boîte englobante 3D,1.0,10,"[{'word': 'boîte englobante 3D', 'ratio': 1.0}]",boîte englobante 3D,"```
1. Candidate: ""boîte englobante 3D""
2. Explanation: ""Boîte englobante 3D"" is the best fit for translating ""3D bounding box"" in the context of AI and computer vision. This term is widely used in the French-speaking AI community to describe the concept of a 3D bounding box, which is a fundamental element in object detection and 3D modeling. The term ""boîte englobante"" accurately conveys the idea of a box that encompasses or encloses an object in three-dimensional space, which aligns with the technical usage in AI. Additionally, the back translation to ""3D bounding box"" confirms its semantic accuracy and contextual fit.
```","['3D bounding box', '3D bounding box']"
8,8,3D computer vision,Vision par ordinateur 3D,0.0,10,"[{'word': 'vision par ordinateur 3D', 'ratio': 1.0}]",Vision par ordinateur 3D,"```
1. Candidate: Vision par ordinateur 3D
2. Explanation: The candidate ""Vision par ordinateur 3D"" is the best fit because it directly translates to ""3D computer vision"" without any alteration in meaning or context. This term is widely accepted in the AI and computer vision communities in French-speaking regions. The back translation confirms its semantic accuracy, maintaining the original meaning and context, which is crucial for domain-specific terminology in AI.
```","['3D computer vision', '3D computer vision']"
9,9,3D convolutional network,réseau convolutionnel 3D,0.1,10,"[{'word': 'réseau de convolution 3D', 'ratio': 0.7}, {'word': 'réseau convolutif 3D', 'ratio': 0.2}, {'word': 'réseau convolutionnel 3D', 'ratio': 0.1}]",réseau convolutionnel 3D,"```
1. Candidate: ""réseau convolutionnel 3D""
2. Explanation: ""Réseau convolutionnel 3D"" is the best fit because it accurately captures the term ""3D convolutional network"" in the context of AI and machine learning. The term ""convolutionnel"" is widely used in the French AI community to describe networks that perform convolution operations, which are fundamental in processing spatial data, such as images or 3D structures. This candidate maintains both semantic accuracy and contextual relevance, ensuring that the technical meaning is preserved in translation.
```","['3D convolutional network', '3D Convolutional Network', '3D convolution network', '3D convolutional network']"
