,English,French
0,10-fold cross validation,validation croisée à 10 plis
1,1D convolution,convolution 1D
2,2 norm,norme 2
3,2 x 2 contingency table,table de contingence 2 x 2
4,2D convolution,convolution 2D
5,2D image,image 2D
6,2D image synthesis,synthèse d'images 2D
7,2D-3D correspondence,correspondance 2D-3D
8,3D bounding box,boîte englobante 3D
9,3D computer vision,vision par ordinateur 3D
10,3D convolutional network,réseau de convolution 3D
11,3D geometry,géométrie 3D
12,3D human pose estimation,estimation de la pose humaine en 3D
13,3D localization,localisation 3D
14,3D mesh,maillage 3D
15,3D model,modèle 3D
16,3D object detection,détection d'objets 3D
17,3D point,point 3D
18,3D point cloud,nuage de points 3D
19,3D pose,pose 3D
20,3D reconstruction,reconstruction 3D
21,3D scene,scène 3D
22,3D scene geometry,géométrie de scène 3D
23,3D structure,structure 3D
24,5-fold cross validation,validation croisée à 5 plis
25,A * algorithm,algorithme A*
26,A* algorithm,algorithme A*
27,A/B test,test A/B
28,A2C,A2C
29,ADALINE,adaline
30,AI,intelligence artificielle
31,AI accelerator,accélérateur d'IA
32,AI alignment,alignement d'une intelligence artificielle
33,AI architect,architecte en intelligence artificielle
34,AI art,art créé par IA
35,AI avatar,AvatarIA
36,AI crawler,robot d'indexation
37,AI engineering,ingénierie de l'IA
38,AI enriched simulation,simulation enrichie par l'IA
39,AI hallucination,affirmation fausse de l'IA
40,AI security,sûreté de l'IA
41,AI simulation,simulation IA
42,AI software,logiciel d'intelligence artificielle
43,AI strategist,stratège en IA
44,AI system,système d'intelligence artificielle
45,AI validation,validation en IA
46,AI-as-a-service,IA en tant que service
47,AI-assisted plagiarism,plagiat assisté par l'IA
48,AI-complete problem,problème complet
49,AI-powered content manipulation,manipulation de contenu par IA
50,AI-powered surveillance,surveillance par IA
51,AIOps,AIOps
52,ANCOVA,analyse de la covariance
53,ANOVA,analyse de la variance
54,API,API
55,AQA,AQA
56,ARENA,ARENA
57,ARIMA models,modèle ARIMA
58,Ablation study,étude d'ablation
59,Ackermann function,fonction d'Ackermann-Péter
60,AdaBoost,AdaBoost
61,AdaGrad,adagrad
62,Adafactor,Adafactor
63,Adam,Adam
64,Adam algorithm,algorithme Adam
65,Adam optimiser,optimiseur Adam
66,Adam optimization,optimisation Adam
67,Adam optimization algorithm,algorithme d'optimisation Adam
68,Adam optimizer,optimiseur Adam
69,Adapter,adaptateur
70,Additionally,de plus
71,Aho-Corasick algorithm,algorithme d'Aho-Corasick
72,AlexNet,AlexNet
73,Almeida–Pineda recurrent backpropagation,rétropropagation récurrente d'Almeida-Pineda
1097,Alpha-beta pruning,élagage alpha-bêta
74,AlphaGo,AlphaGo
75,AmbigQA,AmbigQA
1135,Answer Set Programming,programmation par ensembles réponses
76,Apache Cassandra,Apache Cassandra
77,Apache Flume,Apache Flume
78,Apache HBase,Apache HBase
79,Apache Hadoop YARN,Apache Hadoop YARN
80,Apache Kafka,Apache Kafka
81,Apache Mahout,Apache Mahout
82,Apache SINGA,Apache Singa
83,Apache Spark,Apache Spark
84,Apache Storm,Apache Storm
85,Apriori,Apriori
1169,Apriori algorithm,algorithme APriori
86,Arcade Learning Environment,Environnement d'apprentissage Arcade
87,Architectures,architectures
89,Autonomous Systems,Systèmes Autonomes
90,Average Pool,Pooling moyen
91,Average Precision,précision moyenne
92,Avro,Avro
93,Azuma-Hoeffding inequality,inégalité d'Azuma-Hoeffding
94,Azure Machine Learning,Azure ML
95,B-spline,B-spline
96,BART,BART
97,BERT,BERT
98,BERTs,BERTs
99,BETO,BETO
100,BIO,BIO
101,BLEU,BLEU
102,BPE,BPE
103,BSARD,BSARD
104,Backbone,Architecture de base
1324,Backpropagation,rétro-propagation
106,Basis Pursuit,Poursuite de base
107,Baum-Welch algorithm,algorithme de Baum-Welch
108,Bayes,Bayésien
109,Bayes classifier,classificateur de Bayes
110,Bayes factor,facteur de Bayes
111,Bayes formula,formule de Bayes
112,Bayes net,réseau bayésien
113,Bayes optimal classifier,classificateur optimal de Bayes
114,Bayes risk,risque de Bayes
115,Bayes risk decoding,décodage par risque de Bayes
116,Bayes rule,règle de Bayes
117,Bayes theorem,théorème de Bayes
118,Bayes-Nash equilibrium,équilibre de Bayes-Nash
119,Bayesian,Bayésien
120,Bayesian Information Criterion,Critère d'Information Bayésien
121,Bayesian active learning,apprentissage actif bayésien
122,Bayesian analysis,analyse bayésienne
123,Bayesian approach,approche bayésienne
124,Bayesian clustering,clustering bayésien
125,Bayesian decision,décision bayésienne
126,Bayesian deep learning,apprentissage profond bayésien
127,Bayesian evidence,preuve bayésienne
128,Bayesian framework,cadre bayésien
129,Bayesian game,jeu bayésien
130,Bayesian inference,inférence bayésienne
131,Bayesian learning,apprentissage bayésien
132,Bayesian method,méthode bayésienne
133,Bayesian model,modèle bayésien
134,Bayesian network,réseau bayésien
135,Bayesian optimization,optimisation bayésienne
136,Bayesian perspective,perspective bayésienne
137,Bayesian probabilistic model,modèle probabiliste bayésien
138,Bayesian update,mise à jour bayésienne
140,Bellman,Bellman
141,Bellman backup,sauvegarde de Bellman
142,Bellman equation,équation de Bellman
143,Bellman error,erreur de Bellman
144,Bellman operator,opérateur de Bellman
145,Bellman-Ford algorithm,algorithme de Bellman-Ford
