,word,validated_translation
0,10-fold cross validation,التحقق المتقاطع بعشر طيات
1,1D convolution,الالتفاف أحادي البُعد
2,2 norm,النورم 2
3,2D convolution,الالتفاف ثنائي الأبعاد
4,2D image,صورة ثنائية الأبعاد
5,2D image synthesis,توليد الصور ثنائية الأبعاد
6,2D-3D correspondence,المراسلات ثنائية وثلاثية الأبعاد
7,3D bounding box,الصندوق المحيط ثلاثي الأبعاد
8,3D computer vision,الرؤية الحاسوبية ثلاثية الأبعاد
9,3D convolutional network,شبكة التلافيف ثلاثية الأبعاد
10,3D geometry,الهندسة ثلاثية الأبعاد
11,3D human pose estimation,تقدير وضعية الإنسان ثلاثية الأبعاد
12,3D localization,توطين ثلاثي الأبعاد
13,3D mesh,شبكة ثلاثية الأبعاد
14,3D model,نموذج ثلاثي الأبعاد
15,3D object detection,كشف الأجسام ثلاثية الأبعاد
16,3D point,نقطة ثلاثية الأبعاد
17,3D point cloud,سحابة نقاط ثلاثية الأبعاد
18,3D pose,وضع ثلاثي الأبعاد
19,3D reconstruction,إعادة بناء ثلاثية الأبعاد
20,3D scene,مشهد ثلاثي الأبعاد
21,3D scene geometry,هندسة المشهد ثلاثي الأبعاد
22,3D structure,الهيكل ثلاثي الأبعاد
23,5-fold cross validation,التحقق المتقاطع بخمس طيات
24,A * algorithm,خوارزمية A*
25,A/B test,اختبار A/B
26,A2C,A2C
27,AI,الذكاء الاصطناعي
28,AI ethics,أخلاقيات الذكاء الاصطناعي
29,API,واجهة برمجة التطبيقات
30,AQA,AQA
31,ARENA,أرينا
32,Ablation study,دراسة الاستئصال
35,Adafactor,أدافاكتور
36,Adam,آدم
37,Adam algorithm,خوارزمية آدم
38,Adam optimiser,مُحسِّن آدم
39,Adam optimization,تحسين آدم
40,Adam optimization algorithm,خوارزمية تحسين آدم
41,Adam optimizer,خوارزمية آدم
42,Adapter,المحول
43,Additionally,بالإضافة إلى ذلك
45,AmbigQA,أمبج كيو إيه
46,Answer Set Programming,برمجة مجموعات الإجابات
47,Apriori,أبريوري
48,Apriori algorithm,خوارزمية أبريوري
49,Arcade Learning Environment,بيئة تعلم الأركيد
50,Architectures,الهياكل
54,Autonomous Systems,الأنظمة الذاتية
55,Average Pool,التجميع المتوسط
56,Average Precision,الدقة المتوسطة
57,Azuma-Hoeffding inequality,متباينة أزوما-هوفدينج
58,B-spline,بي-سبلاين
59,BART,بارت
60,BERT,بيرت
61,BERTs,نماذج BERT
62,BETO,بيتو
63,BIO,ترميز BIO
64,BLEU,مقياس بليو
65,BPE,ترميز BPE
66,BSARD,بي إس إيه آر دي
67,Backbone,العمود الفقري
1004,Backpropagation,انتشار عكسي
69,Basis Pursuit,السعي وراء الأساس
70,Baum-Welch algorithm,خوارزمية باوم-ويلش
71,Bayes,بايز
72,Bayes classifier,مصنف بايز
73,Bayes factor,عامل بايز
74,Bayes formula,صيغة بايز
75,Bayes net,شبكة بايز
76,Bayes optimal classifier,المصنف الأمثل لبايز
77,Bayes risk,مخاطر بايزي
78,Bayes risk decoding,فك تشفير مخاطرة بايز الدنيا
79,Bayes rule,قاعدة بايز
80,Bayes theorem,نظرية بايز
81,Bayes-Nash equilibrium,توازن بايز-ناش
82,Bayesian Information Criterion,معيار بايزين للمعلومات
83,Bayesian active learning,التعلم النشط البايزي
84,Bayesian analysis,التحليل البايزي
85,Bayesian approach,النهج البايزي
86,Bayesian clustering,التجميع البايزي
87,Bayesian decision,قرار بايزي
88,Bayesian deep learning,التعلم العميق البايزي
89,Bayesian evidence,الدليل البيزي
90,Bayesian framework,الإطار البايزي
91,Bayesian game,اللعبة البايزية
92,Bayesian inference,الاستدلال البايزي
93,Bayesian learning,التعلم البايزي
94,Bayesian method,الطريقة البايزية
95,Bayesian model,النموذج البايزي
96,Bayesian network,شبكة بايزية
97,Bayesian neural network,شبكة عصبية بايزية
98,Bayesian optimization,التحسين البايزي
99,Bayesian perspective,المنظور البايزي
100,Bayesian probabilistic model,نموذج احتمالي بيزي
101,Bayesian programming,برمجة بايزية
102,Bayesian update,التحديث البايزي
105,Bellman,بيلمان
106,Bellman backup,النسخ الاحتياطي لبيلمان
107,Bellman equation,معادلة بيلمان
108,Bellman error,خطأ بيلمان
109,Bellman operator,مشغل بيلمان
110,Berkeley parser,محلل بيركلي
111,Berkeley segmentation dataset,مجموعة بيانات تقسيم بيركلي
112,Bernoulli,برنولي
113,Bernoulli distribution,توزيع برنولي
114,Bernoulli likelihood,احتمالية برنولي
115,Bernoulli random variable,متغير برنولي العشوائي
116,Bernoulli sampling,أخذ العينات برنولي
117,Bernoulli trial,تجربة برنولي
118,Bernoulli variable,متغير برنولي
119,Bernstein's inequality,متباينة برنشتاين
121,Bethe approximation,تقريب بيث
122,Bhattacharyya coefficient,معامل بهاتشاريا
124,Bloom filter,مرشح بلوم
125,Boltzmann distribution,توزيع بولتزمان
126,Boltzmann exploration,استكشاف بولتزمان
127,Bonferroni correction,تصحيح بونفيروني
128,Boolean formula,صيغة بوليانية
129,Boolean function,دالة بوليانية
130,Boolean variable,متغير بولياني
131,Borda scores,درجات بورد
132,Bradley-Terry Model,نموذج برادلي-تيري
133,Branch and Bound,التفرع والتقيد
134,Bregman divergence,تباعد بريغمان
135,Bregman's method,طريقة بريغمان
136,Bundle adjustment,تعديل الحزمة
137,Byte-Pair Encoding,ترميز زوج البايتات
138,CAS,CAS
139,CDA,CDA
140,CEAS,CEAS
141,CLIP,CLIP
142,CLS,CLS
143,CONLL,تنسيق كونل
144,CRF,نموذج الحقول العشوائية المشروطة
145,Caltech-101,مجموعة بيانات كالتك-101
146,CamemBERT,كاميمبيرت
147,Canny detector,كاشف كاني
148,Canny edge detector,كاشف حواف كاني
150,Chamfer Distance,مسافة شامفر
151,Charniak parser,محلل تشارنيك
152,Chebyshev acceleration,تسريع تشيبيشيف
