,Unnamed: 0,word,gold,exact_match_ratio,prediction_count,prediction_ratio,validated_translation,reason,back_translations
0,0,AI,intelligence artificielle,0.0,10,"[{'word': 'IA', 'ratio': 1.0}]",IA,{},[]
1,1,API,API,1.0,10,"[{'word': 'API', 'ratio': 1.0}]",API,{},[]
2,2,AQA,AQA,1.0,10,"[{'word': 'AQA', 'ratio': 1.0}]",AQA,{},[]
3,3,ARENA,ARENA,0.6,10,"[{'word': 'ARENA', 'ratio': 0.6}, {'word': 'ARÈNE', 'ratio': 0.4}]",ARENA,{},[]
4,4,Additionally,de plus,0.2,10,"[{'word': 'De plus', 'ratio': 0.8}, {'word': 'de plus', 'ratio': 0.2}]",De plus,{},[]
5,5,AmbigQA,AmbigQA,1.0,10,"[{'word': 'AmbigQA', 'ratio': 1.0}]",AmbigQA,{},[]
6,6,Architectures,architectures,0.0,10,"[{'word': 'Architectures', 'ratio': 1.0}]",Architectures,{},[]
7,7,BART,BART,1.0,10,"[{'word': 'BART', 'ratio': 1.0}]",BART,{},[]
8,8,BERT,Représentations d'encodeurs bidirectionnels à partir de transformateurs,0.0,10,"[{'word': 'BERT', 'ratio': 1.0}]",BERT,{},[]
9,9,BERTs,BERTs,0.9,10,"[{'word': 'BERTs', 'ratio': 0.9}, {'word': 'BERT', 'ratio': 0.1}]",BERTs,{},[]
10,10,BETO,BETO,1.0,10,"[{'word': 'BETO', 'ratio': 1.0}]",BETO,{},[]
11,11,BIO,BIO,1.0,10,"[{'word': 'BIO', 'ratio': 1.0}]",BIO,{},[]
12,12,BLEU,bleu,0.0,10,"[{'word': 'BLEU', 'ratio': 1.0}]",BLEU,{},[]
13,13,BPE,BPE,0.8,10,"[{'word': 'BPE', 'ratio': 0.8}, {'word': 'EPB', 'ratio': 0.2}]",BPE,{},[]
14,14,BSARD,BSARD,1.0,10,"[{'word': 'BSARD', 'ratio': 1.0}]",BSARD,{},[]
15,15,CAS,CAS,0.9,10,"[{'word': 'CAS', 'ratio': 0.9}, {'word': 'Système de Calcul Algébrique', 'ratio': 0.1}]",CAS,{},[]
16,16,CDA,CDA,0.7,10,"[{'word': 'CDA', 'ratio': 0.7}, {'word': 'Analyse de Données Causales', 'ratio': 0.1}, {'word': 'ADC', 'ratio': 0.1}, {'word': 'ACD', 'ratio': 0.1}]",CDA,{},[]
17,17,CEAS,CEAS,0.8,10,"[{'word': 'CEAS', 'ratio': 0.8}, {'word': 'HORLOGE', 'ratio': 0.1}, {'word': 'CRF', 'ratio': 0.1}]",CEAS,{},[]
18,18,CLIP,CLIP,0.9,10,"[{'word': 'CLIP', 'ratio': 0.9}, {'word': 'AGRAFE', 'ratio': 0.1}]",CLIP,{},[]
19,19,CLS,CLS,1.0,10,"[{'word': 'CLS', 'ratio': 1.0}]",CLS,{},[]
20,20,CONLL,CoNLL,0.0,10,"[{'word': 'CONLL', 'ratio': 1.0}]",CONLL,{},[]
21,21,CRF,CRF,0.9,10,"[{'word': 'CRF', 'ratio': 0.9}, {'word': 'FRC', 'ratio': 0.1}]",CRF,{},[]
22,22,CamemBERT,CamemBERT,1.0,10,"[{'word': 'CamemBERT', 'ratio': 1.0}]",CamemBERT,{},[]
