Unnamed: 0,word,annotation6060,label6060
0,decoder,декодер,дешифратор
1,classifying,классификация,Классификации
4,AI,ИИ,AI
6,NLP,обработка естественного языка,NLP
7,spans,фрагменты,пяди
11,OOV,слово вне словаря,OOV
12,PaLM,ПаЛМ,PaLM
16,BERTs,BERT'ы,BERTs
21,newswire,новостная лента,новостная лента новостей
23,GLUE,КЛЕЙ,GLUE
26,written,написанный,письменный
27,Furthermore,Более того,Кроме того
30,features,признаки,Функции
34,search,поиск,искать
36,entities,сущности,Объекты
39,grounding,привязка к контексту,обоснование
46,pretrained,предобученный,предварительно обученный
47,graph,граф,диаграммa
50,subword,подслово,подсловие
61,extractive,извлекательный,экстрактивное
64,domains,области,Домены
76,compared,по сравнению,Сравнительный
78,Moreover,Более того,Сверх того
80,paper,статья,бумага
88,binary,бинарный,двоичный
90,FLR,метрика FLR,FLR
94,generalize,обобщать,обобщить
96,assessing,оценка,проведение оценки
99,named,именованный,названный
100,social,социальный,общественный
103,pretraining,предобучение,предварительная подготовка
104,tagging,тегирование,Маркировка
107,identifying,идентификация,Определение
110,downstream,для последующих задач,подчиненная
113,LinCE,ЛИНЦЕ,LinCE
114,outputs,результаты,Выходы
115,transformers,трансформеры,преобразователи
117,graphs,графы,диаграммы
119,vectors,векторы,векторa
120,counterfactual,контрфактический,Противного
123,augmented,дополненный,увеличенный
125,lexical,лексический,словарный 
126,re,ре,RE
135,transformer,трансформер,преобразователь 
136,embedding,встраивание,внедрение
137,image,изображение,изображениe
140,visual,визуальный,визуальный 
141,multitask,многозадачный,Многозадачность
143,compositionality,композициональность,композиционность
151,summarizing,резюмирование,суммирующая
153,ARENA,АРЕНА,ARENA
154,decoding,декодирование,расшифровка
158,perplexity,перплексия,растерянность
159,shared,общий,Совместный
164,retrieved,извлечённый,полученный
165,tokens,токены,Маркеры
168,edit,редактирование,редактировать
171,adversarial,адверсариальный,Состязательной
174,contexts,контексты,содержания
180,learning,обучение,учение
189,parallel,параллельно,параллельный
190,extracted,извлеченный,извлекаемый
191,modalities,модальности,Условия
202,encoders,кодировщики,Кодеры
203,coreference,кореференция,корреляция
204,monolingual,монолингвальный,одноязычный
205,generated,сгенерированный,созданный
208,baselines,базовые модели,базовых линий
214,parsing,разбор,парсинг
215,linguistics,лингвистика,языкознания
219,QA,QA,Контроль качества
221,finetuning,дообучение,тонкая настройка
222,text,текст,текст 
224,biases,смещения,Предубеждения
228,propose,предложить,предлагать
234,linked,связанный,Связан
236,context,контекст,содержание
237,morphemes,морфемы,Морфем
239,neural,нейронный,Невральный
242,encoding,кодирование,кодировка
249,methods,методы,методика
250,namely,а именно,именно
252,token,токен,жетон
253,PubMed,PubMed,ПабМед
254,labeled,размеченный,обозначеный
256,heuristic,эвристика,эвристический
259,unsupervised,неконтролируемый,Безнадзорный
264,utterances,высказывания,Высказываний
