en_word1,anno1_word1,anno2_word1,source1,en_word2,anno1_word2,anno2_word2,source2,en_word3,anno1_word3,anno2_word3,source3,en_word4,anno1_word4,anno2_word4,source4,en_word5,anno1_word5,anno2_word5,source5
decoder,المُفكِك,وحدة فك الترميز,6060,CamemBERT,كاميمبيرت,CamemBERT,6060,AI,الذكاء الاصطناعي,AI,6060,spans,الأقسام,امتدادات,6060,CRF,نموذج الحقول العشوائية المشروطة,CRF,6060
systems,الأنظمة,نظم,6060,OOV,خارج المفردات,OOV,6060,PaLM,بالم,PaLM,6060,morphological,المورفولوجي,مورفولوجي,6060,NLI,استنتاج اللغة الطبيعية,NLI,6060
BERTs,نماذج BERT,BERTs,6060,CONLL,تنسيق كونل,CoNLL,6060,VisualBERT,فيجوال بيرت,VisualBERT,6060,corresponding,المطابق,تطابق,6060,newswire,وكالة الأنباء,إخبارية,6060
knowledge,المعرفة,معرفة,6060,syntactic,نحوي,النحوي,6060,translation,ترجمة,الترجمة,6060,features,الميزات,ميزات,6060,KinyaBERT,كينيا بيرت,KinyaBERT,6060
search,بحث,البحث,6060,sequences,تسلسلات,تسلسل,6060,entities,الكيانات,كيانات,6060,grounding,التأسيس,تأسيس,6060,AmbigQA,أمبج كيو إيه,AmbigQA,6060
English,الإنجليزية,إنجليزي,6060,algorithms,الخوارزميات,خوارزميات,6060,languages,اللغات,لغات,6060,pretrained,مدرّب مسبقاً,مدرب مسبقًا,6060,graph,الرسم البياني,رسم بياني,6060
ViLBERT,فيلبرت,ViLBERT,6060,subword,وحدة صرفية,الكلمات الفرعية,6060,CodeBERT,كودبيرت,CodeBERT,6060,computational,الحوسبة,الحسابية,6060,regression,انحدار,تراجع,6060
motivated,مدفوع,بدافع منهم,6060,BART,بارت,BART,6060,IDF,التردد العكسي في المستندات,IDF,6060,VFL,دوري فيكتوريا لكرة القدم,VFL,6060,dependencies,التبعيات,تبعيات,6060
classifiers,المصنّفات,مصنفات,6060,grammar,القواعد,قواعد,6060,documents,الوثائق,مستندات,6060,domains,المجالات,مجالات,6060,annotations,التعليقات التوضيحية,تعليقات توضيحية,6060
Semantic,دلالي,الدلاليّة,6060,data,البيانات,بيانات,6060,attention,الانتباه,انتباه,6060,unseen,غير مرئي,غير المرئيي,6060,queries,استعلامات,استفسارات,6060
structured,منظم,منظمة,6060,Moreover,علاوة على ذلك,وفضلا عن ذلك,6060,contextualized,السياقي,السياقية,6060,reasoning,التفكير,المنطق,6060,sense,معنى,حسي,6060
computation,الحساب,حساب,6060,terminology,مصطلحات,مصطلح,6060,BPE,ترميز BPE,BPE,6060,binary,ثنائي,تصنيف ثنائي,6060,FLR,تقليل زمن التأخير النهائي (FLR,FLR,6060
Similar,مشابه,مماثلة,6060,corpora,مجموعات نصوص,المجاميع,6060,generalize,تعميم,التعميم,6060,gradient,التدرج,تدرج,6060,named,مسمى,مسماة,6060
representations,التمثيلات,تمثيلات,6060,tagging,الوسم,وضع علامات,6060,morphologically,صرفياً,مورفولوجيا,6060,ICLR,مؤتمر ICLR,ICLR,6060,conversational,محادثاتي,حواري,6060
downstream,المهام اللاحقة,البيانات المنخفضة,6060,nouns,الأسماء,أسماء,6060,LinCE,لينس,LinCE,6060,outputs,المخرجات,مخرجات,6060,transformers,المحولات,محولات,6060
annotated,مُعَلَّم,مشروحة,6060,graphs,الرسوم البيانية,نماذج,6060,existing,موجود,الحالي,6060,counterfactual,افتراض مغاير للواقع,counterfactual,6060,metrics,المقاييس,مقاييس,6060
verbs,الأفعال,أفعال,6060,augmented,مُعزز,معزز,6060,re,إعادة,RE,6060,For,على سبيل المثال,ل,6060,TreeDST,شجرةDST,TreeDST,6060
spoken,محكي,منطوق,6060,transformer,المحول,محول,6060,embedding,تضمين,التضمين,6060,seq2seq,نموذج تسلسل إلى تسلسل,seq2seq,6060,structure,الهيكل,بنية,6060
