,word,validated_translation
0,0-1 loss function,0-1损失函数
1,10-fold cross validation,10折交叉验证
2,1D convolution,一维卷积
3,2 norm,二范数
7,2D QSAR models,二维定量构效关系模型
4,2D convolution,二维卷积
5,2D image,二维图像
6,2D image synthesis,二维图像合成
8,2D-3D correspondence,二维-三维对应关系
10,3D Cartesian,三维笛卡尔
24,3D QSAR models,三维定量构效关系模型
9,3D bounding box,三维边界框
11,3D computer vision,三维计算机视觉
12,3D conformation,三维构象
13,3D convolutional network,三维卷积网络
14,3D geometry,三维几何
15,3D grids,三维网格
16,3D human pose estimation,三维人体姿态估计
17,3D localization,三维定位
18,3D mesh,三维网格
19,3D model,三维模型
20,3D object detection,3D物体检测
21,3D point,3D点
22,3D point cloud,3D点云
23,3D pose,3D姿态
25,3D reconstruction,3D重建
26,3D scene,三维场景
27,3D scene geometry,三维场景几何
28,3D structure,三维结构
29,5-fold cross validation,5折交叉验证
30,A * algorithm,A*算法
31,A/B test,A/B 测试
32,A2C,A2C
111,ADMET evaluation,毒性评估
148,AI,人工智能
208,API,应用程序接口
231,AQA,AQA
239,ARENA,ARENA
38,Ablation study,消融研究
86,Adafactor,Adafactor
87,Adam,Adam
88,Adam algorithm,Adam算法
89,Adam optimiser,Adam优化器
90,Adam optimization,Adam优化
91,Adam optimization algorithm,Adam优化算法
92,Adam optimizer,Adam优化器
93,Adapter,适配器
105,Additionally,此外
150,AlexNet,AlexNet
167,Alpha-beta pruning,α-β修剪法
169,AlphaGo,阿尔法狗
174,AmbigQA,AmbigQA
198,Answer Set Programming,答案集编程
229,Apriori,先验算法
230,Apriori algorithm,Apriori算法
233,Arcade Learning Environment,街机学习环境
237,Architectures,架构
325,Autonomous Systems,自主系统
339,Average Pool,平均池化
341,Average Precision,平均精度
346,Azuma-Hoeffding inequality,Azuma-Hoeffding不等式
347,B-clustering algorithms,B树聚类算法
348,B-spline,B样条
390,BART,BART
508,BERT,BERT模型
509,BERTs,BERT模型集
517,BETO,西班牙语BERT模型
521,BFGS,BFGS
593,BIO,BIO编码
612,BLEU,BLEU评分
656,BPE,字节对编码
671,BSARD,BSARD
358,Backbone,主干网络
371,Backpropagation,反向传播
413,Basis Pursuit,基追踪
428,Baum-Welch algorithm,Baum-Welch算法
429,Bayes,贝叶斯
430,Bayes classifier,贝叶斯分类器
431,Bayes decision rule,贝叶斯决策准则
432,Bayes error,贝叶斯误差
433,Bayes factor,贝叶斯因子
434,Bayes formula,贝叶斯公式
435,Bayes model averaging,贝叶斯模型平均
436,Bayes net,贝叶斯网络
437,Bayes optimal classifier,贝叶斯最优分类器
438,Bayes risk,贝叶斯风险
439,Bayes risk decoding,贝叶斯风险解码
440,Bayes rule,贝叶斯规则
441,Bayes theorem,贝叶斯定理
442,Bayes' rule,贝叶斯规则
443,Bayes' theorem,贝叶斯定理
