en_word1,anno1_word1,anno2_word1,source1,en_word2,anno1_word2,anno2_word2,source2,en_word3,anno1_word3,anno2_word3,source3,en_word4,anno1_word4,anno2_word4,source4,en_word5,anno1_word5,anno2_word5,source5
decoder,декодер,дешифратор,6060,classifying,классификация,Классификации,6060,AI,ИИ,AI,6060,NLP,обработка естественного языка,NLP,6060,spans,фрагменты,пяди,6060
OOV,слово вне словаря,OOV,6060,PaLM,ПаЛМ,PaLM,6060,BERTs,BERT'ы,BERTs,6060,newswire,новостная лента,новостная лента новостей,6060,GLUE,КЛЕЙ,GLUE,6060
written,написанный,письменный,6060,Furthermore,Более того,Кроме того,6060,features,признаки,Функции,6060,search,поиск,искать,6060,entities,сущности,Объекты,6060
grounding,привязка к контексту,обоснование,6060,pretrained,предобученный,предварительно обученный,6060,graph,граф,диаграммa,6060,subword,подслово,подсловие,6060,extractive,извлекательный,экстрактивное,6060
domains,области,Домены,6060,compared,по сравнению,Сравнительный,6060,Moreover,Более того,Сверх того,6060,paper,статья,бумага,6060,binary,бинарный,двоичный,6060
FLR,метрика FLR,FLR,6060,generalize,обобщать,обобщить,6060,assessing,оценка,проведение оценки,6060,named,именованный,названный,6060,social,социальный,общественный,6060
pretraining,предобучение,предварительная подготовка,6060,tagging,тегирование,Маркировка,6060,identifying,идентификация,Определение,6060,downstream,для последующих задач,подчиненная,6060,LinCE,ЛИНЦЕ,LinCE,6060
outputs,результаты,Выходы,6060,transformers,трансформеры,преобразователи,6060,graphs,графы,диаграммы,6060,vectors,векторы,векторa,6060,counterfactual,контрфактический,Противного,6060
augmented,дополненный,увеличенный,6060,lexical,лексический,словарный ,6060,re,ре,RE,6060,transformer,трансформер,преобразователь ,6060,embedding,встраивание,внедрение,6060
image,изображение,изображениe,6060,visual,визуальный,визуальный ,6060,multitask,многозадачный,Многозадачность,6060,compositionality,композициональность,композиционность,6060,summarizing,резюмирование,суммирующая,6060
ARENA,АРЕНА,ARENA,6060,decoding,декодирование,расшифровка,6060,perplexity,перплексия,растерянность,6060,shared,общий,Совместный,6060,retrieved,извлечённый,полученный,6060
tokens,токены,Маркеры,6060,edit,редактирование,редактировать,6060,adversarial,адверсариальный,Состязательной,6060,contexts,контексты,содержания,6060,learning,обучение,учение,6060
parallel,параллельно,параллельный,6060,extracted,извлеченный,извлекаемый,6060,modalities,модальности,Условия,6060,encoders,кодировщики,Кодеры,6060,coreference,кореференция,корреляция,6060
monolingual,монолингвальный,одноязычный,6060,generated,сгенерированный,созданный,6060,baselines,базовые модели,базовых линий,6060,parsing,разбор,парсинг,6060,linguistics,лингвистика,языкознания,6060
QA,QA,Контроль качества,6060,finetuning,дообучение,тонкая настройка,6060,text,текст,текст ,6060,biases,смещения,Предубеждения,6060,propose,предложить,предлагать,6060
linked,связанный,Связан,6060,context,контекст,содержание,6060,morphemes,морфемы,Морфем,6060,neural,нейронный,Невральный,6060,encoding,кодирование,кодировка,6060
methods,методы,методика,6060,namely,а именно,именно,6060,token,токен,жетон,6060,PubMed,PubMed,ПабМед,6060,labeled,размеченный,обозначеный,6060
heuristic,эвристика,эвристический,6060,unsupervised,неконтролируемый,Безнадзорный,6060,utterances,высказывания,Высказываний,6060,1D convolution,1D свёртка,1D свертка,threshold,2D convolution,2D свёртка,2D свертка,threshold
3D convolutional network,3D свёрточная сеть,3D-сверточная сеть,threshold,3D point cloud,3D-облако точек,3D-точечное облако,threshold,A/B test,А/Б-тестирование,A/B тест,threshold,Ablation study,исследование с абляцией,исследование абляции,threshold,Adam optimizer,оптимизатор Адам,оптимизатор Adam,threshold
Bonferroni correction,Поправка Бонферрони,коррекция Бонферрони,threshold,Chamfer Distance,Расстояние Чамфера,расстояние Шамфера,threshold,Corpora,Корпора,корпуса,threshold,Fourier feature,характеристика Фурье,Признак Фурье,threshold,Gaussian elimination,гауссово исключение,метод Гаусса,threshold
Hessian-vector product,Произведение гессиана и вектора,произведение Гессе-вектор,threshold,Information Retrieval,Поиск информации,Извлечение информации,threshold,K-Means,метод K-средних,K-средних,threshold,Laplace smoothing,Сглаживание по Лапласу,сглаживание Лапласа,threshold,Laplace-Beltrami operator,оператор Лапласа—Бельтрами,оператор Лапласа-Бельтрамми,threshold
Laplacian matrix,лапласова матрица,матрица Лапласа,threshold,Linear Threshold Model,Линейная пороговая модель,модель линейного порога,threshold,Longformer,Лонгформер,Longformer,threshold,Markov assumption,марковское предположение,Предположение Маркова,threshold,Markov process,Марковский процесс,Процесс Маркова,threshold
Metropolis Hastings,Метод Метрополиса-Гастингса,Метрополис-Гастингс,threshold,Nearest Neighbor,Метод ближайшего соседа,Ближайший сосед,threshold,Pearson correlation,коэффициент корреляции Пирсона,корреляция Пирсона,threshold,Poisson matting,маттинг Пуассона,матирование Пуассона,threshold,Set Cover,Задача покрытия множеств,Покрытие множеств,threshold
Triggering Model,Модель триггеринга,Модель триггеров,threshold,Variational Autoencoder,Вариационный автоэнкодер,Вариационный автокодировщик,threshold,abstractive summarization,абстрактивное резюмирование,абстрактивное суммирование,threshold,action embedding,векторное представление действий,встраивание действий,threshold,annotation projection,проекция аннотаций,проекция аннотации,threshold
answer span,интервал ответа,диапазон ответа,threshold,approximation algorithm,алгоритм аппроксимации,алгоритм приближения,threshold,barycentric coordinate,барицентрические координаты,барицентрическая координата,threshold,belief state,состояние убеждения,состояние веры,threshold,bias parameter,параметр предвзятости,параметр смещения,threshold
black-box,чёрный ящик,черный ящик,threshold,canonical basis,каноническая основа,каноническое основание,threshold,canonicalization,каноникализация,канонизация,threshold,classification model,классификационная модель,модель классификации,threshold,classification network,классификационная сеть,сеть классификации,threshold
