,word,gold,exact_match_ratio,prediction_count,prediction_ratio
0,AI,AI,0.0,8,"[{'word': 'الذكاء الاصطناعي', 'ratio': 1.0}]"
1,API,API,0.0,8,"[{'word': 'واجهة برمجة التطبيقات', 'ratio': 1.0}]"
2,AQA,AQA,0.875,8,"[{'word': 'AQA', 'ratio': 0.875}, {'word': 'أكا', 'ratio': 0.125}]"
3,ARENA,ARENA,0.375,8,"[{'word': 'أرينا', 'ratio': 0.5}, {'word': 'ARENA', 'ratio': 0.375}, {'word': 'الساحة', 'ratio': 0.125}]"
4,Additionally,وبالإضافة إلى ذلك,0.0,9,"[{'word': 'بالإضافة إلى ذلك', 'ratio': 0.7777777777777778}, {'word': 'بالإضافة إلى', 'ratio': 0.2222222222222222}]"
5,AmbigQA,AmbigQA,0.3333333333333333,9,"[{'word': 'AmbigQA', 'ratio': 0.3333333333333333}, {'word': 'أمبيج كيو إيه', 'ratio': 0.3333333333333333}, {'word': 'أمبج كيو إيه', 'ratio': 0.2222222222222222}, {'word': 'أمبِجQA', 'ratio': 0.1111111111111111}]"
6,Architectures,هياكل,0.1,10,"[{'word': 'الهياكل', 'ratio': 0.6}, {'word': 'المعماريات', 'ratio': 0.1}, {'word': 'الهندسات', 'ratio': 0.1}, {'word': 'البنى الهندسية', 'ratio': 0.1}, {'word': 'هياكل', 'ratio': 0.1}]"
7,BART,BART,0.2222222222222222,9,"[{'word': 'بارت', 'ratio': 0.6666666666666666}, {'word': 'BART', 'ratio': 0.2222222222222222}, {'word': 'محدد مسبق', 'ratio': 0.1111111111111111}]"
8,BERT,بيرت,0.5555555555555556,9,"[{'word': 'بيرت', 'ratio': 0.5555555555555556}, {'word': 'BERT', 'ratio': 0.2222222222222222}, {'word': 'بِيرت', 'ratio': 0.1111111111111111}, {'word': 'بERT', 'ratio': 0.1111111111111111}]"
9,BERTs,BERTs,0.0,9,"[{'word': 'نماذج BERT', 'ratio': 0.2222222222222222}, {'word': 'بيرتس', 'ratio': 0.2222222222222222}, {'word': 'نماذج بيرت', 'ratio': 0.2222222222222222}, {'word': 'بيرتات', 'ratio': 0.1111111111111111}, {'word': 'بِيرتس', 'ratio': 0.1111111111111111}, {'word': 'بERTs', 'ratio': 0.1111111111111111}]"
10,BETO,BETO,0.2222222222222222,9,"[{'word': 'بيتو', 'ratio': 0.5555555555555556}, {'word': 'BETO', 'ratio': 0.2222222222222222}, {'word': 'بِيتوبِيتو', 'ratio': 0.1111111111111111}, {'word': 'بETO', 'ratio': 0.1111111111111111}]"
11,BIO,BIO,0.3333333333333333,9,"[{'word': 'BIO', 'ratio': 0.3333333333333333}, {'word': 'بيو', 'ratio': 0.1111111111111111}, {'word': 'بِي أو', 'ratio': 0.1111111111111111}, {'word': 'عضوي', 'ratio': 0.1111111111111111}, {'word': 'بي آي أو', 'ratio': 0.1111111111111111}, {'word': 'ترميز بي آي أو', 'ratio': 0.1111111111111111}, {'word': 'ترميز BIO', 'ratio': 0.1111111111111111}]"
12,BLEU,BLEU,0.3333333333333333,9,"[{'word': 'BLEU', 'ratio': 0.3333333333333333}, {'word': 'بلو', 'ratio': 0.3333333333333333}, {'word': 'بِلُو', 'ratio': 0.1111111111111111}, {'word': 'الأزرق', 'ratio': 0.1111111111111111}, {'word': 'مقياس بليو', 'ratio': 0.1111111111111111}]"
13,BPE,BPE,0.125,8,"[{'word': 'ترميز BPE', 'ratio': 0.375}, {'word': 'الترميز بالزوجيات المتكررة', 'ratio': 0.125}, {'word': 'BPE', 'ratio': 0.125}, {'word': 'تجزئة التكرارات الثنائية', 'ratio': 0.125}, {'word': 'ب ب ه', 'ratio': 0.125}, {'word': 'ترميز الأزواج الثنائية', 'ratio': 0.125}]"
14,BSARD,BSARD,0.375,8,"[{'word': 'بي إس إيه آر دي', 'ratio': 0.375}, {'word': 'BSARD', 'ratio': 0.375}, {'word': 'بسارد', 'ratio': 0.25}]"
15,CAS,CAS,0.7142857142857143,7,"[{'word': 'CAS', 'ratio': 0.7142857142857143}, {'word': 'نظام الإدارة المركزي', 'ratio': 0.14285714285714285}, {'word': 'نظام الحاسوب الجبري', 'ratio': 0.14285714285714285}]"
16,CDA,CDA,0.5714285714285714,7,"[{'word': 'CDA', 'ratio': 0.5714285714285714}, {'word': 'التحليل التبايني القائم على الاسترجاع', 'ratio': 0.14285714285714285}, {'word': 'تحليل البيانات المعقدة', 'ratio': 0.14285714285714285}, {'word': 'تحليل البيانات المتناقضة', 'ratio': 0.14285714285714285}]"
17,CEAS,CEAS,0.6666666666666666,9,"[{'word': 'CEAS', 'ratio': 0.6666666666666666}, {'word': 'مركز أبحاث الذكاء الاصطناعي في أوروبا', 'ratio': 0.1111111111111111}, {'word': 'ساعة', 'ratio': 0.1111111111111111}, {'word': 'سياس', 'ratio': 0.1111111111111111}]"
18,CLIP,CLIP,0.6666666666666666,9,"[{'word': 'CLIP', 'ratio': 0.6666666666666666}, {'word': 'تباين التعلم العميق المشترك', 'ratio': 0.1111111111111111}, {'word': 'مقطع', 'ratio': 0.1111111111111111}, {'word': 'كليب', 'ratio': 0.1111111111111111}]"
19,CLS,CLS,0.6666666666666666,9,"[{'word': 'CLS', 'ratio': 0.6666666666666666}, {'word': 'تصنيف الجملة', 'ratio': 0.1111111111111111}, {'word': 'سي ال اس', 'ratio': 0.1111111111111111}, {'word': 'سي إل إس', 'ratio': 0.1111111111111111}]"
20,CONLL,CoNLL,0.0,9,"[{'word': 'CONLL', 'ratio': 0.4444444444444444}, {'word': 'كونل', 'ratio': 0.4444444444444444}, {'word': 'تنسيق كونل', 'ratio': 0.1111111111111111}]"
21,CRF,CRF,0.4444444444444444,9,"[{'word': 'CRF', 'ratio': 0.4444444444444444}, {'word': 'نموذج الحقول الشرطية المتقاطعة', 'ratio': 0.1111111111111111}, {'word': 'سي آر إف', 'ratio': 0.1111111111111111}, {'word': 'نموذج CRF', 'ratio': 0.1111111111111111}, {'word': 'الحقول العشوائية الشرطية', 'ratio': 0.1111111111111111}, {'word': 'نموذج الحقول العشوائية المشروطة', 'ratio': 0.1111111111111111}]"
22,CamemBERT,CamemBERT,0.0,9,"[{'word': 'كاميمبيرت', 'ratio': 0.5555555555555556}, {'word': 'كاميمبرت', 'ratio': 0.2222222222222222}, {'word': 'جبن الكممبير', 'ratio': 0.1111111111111111}, {'word': 'كاميبر', 'ratio': 0.1111111111111111}]"
23,Clustering,تجميع,0.3,10,"[{'word': 'التجميع', 'ratio': 0.6}, {'word': 'تجميع', 'ratio': 0.3}, {'word': 'كودبيرت', 'ratio': 0.1}]"
24,CodeBERT,CodeBERT,0.1,10,"[{'word': 'كودبيرت', 'ratio': 0.6}, {'word': 'CodeBERT', 'ratio': 0.1}, {'word': 'كود بيرت', 'ratio': 0.1}, {'word': 'كودبرت', 'ratio': 0.1}, {'word': 'التجميع', 'ratio': 0.1}]"
25,Detecting,كشف,0.1111111111111111,9,"[{'word': 'الكشف', 'ratio': 0.6666666666666666}, {'word': 'اكتشاف', 'ratio': 0.2222222222222222}, {'word': 'كشف', 'ratio': 0.1111111111111111}]"
26,Dialogue,حوار,0.2222222222222222,9,"[{'word': 'الحوار', 'ratio': 0.7777777777777778}, {'word': 'حوار', 'ratio': 0.2222222222222222}]"
27,English,إنجليزي,0.0,8,"[{'word': 'الإنجليزية', 'ratio': 0.875}, {'word': 'اللغة الإنجليزية', 'ratio': 0.125}]"
