,Unnamed: 0,word,gold,exact_match_ratio,prediction_count,prediction_ratio,validated_translation,reason,back_translations
0,0,10-fold cross validation,التحقق المتقاطع بمقدار ١٠ أضعاف,0.0,8,"[{'word': 'التحقق المتبادل بــ 10 طيات', 'ratio': 0.125}, {'word': 'توزيع الاحتمال المشترك', 'ratio': 0.125}, {'word': 'التحقق المتبادل بعشر طيات', 'ratio': 0.125}, {'word': 'التحقق المتقاطع ذو العشر طيات', 'ratio': 0.125}, {'word': 'التحقق المتقاطع بعشرة طيات', 'ratio': 0.125}, {'word': 'التحقق المتبادل 10 مرات', 'ratio': 0.125}, {'word': 'التحقق المتقاطع بعشرة أضعاف', 'ratio': 0.125}, {'word': 'التحقق المتقاطع بعشر طيات', 'ratio': 0.125}]",,,[]
1,1,1D convolution,1D الإلتواء,0.0,8,"[{'word': 'الالتفاف أحادي الأبعاد', 'ratio': 0.375}, {'word': 'الالتفاف أحادي البعد', 'ratio': 0.375}, {'word': 'توزيع الاحتمال المشترك', 'ratio': 0.125}, {'word': 'الالتفاف أحادي البُعد', 'ratio': 0.125}]",,,[]
2,2,2 norm,معيار 2,0.25,8,"[{'word': 'معيار 2', 'ratio': 0.25}, {'word': 'المعيار الثاني', 'ratio': 0.25}, {'word': 'القاعدة 2', 'ratio': 0.125}, {'word': 'توزيع الاحتمال المشترك', 'ratio': 0.125}, {'word': 'النورم 2', 'ratio': 0.125}, {'word': 'المعيار 2', 'ratio': 0.125}]",,,[]
3,3,2D convolution,الإلتواء 2D,0.0,8,"[{'word': 'الالتفاف ثنائي الأبعاد', 'ratio': 0.75}, {'word': 'توزيع الاحتمال المشترك', 'ratio': 0.125}, {'word': 'الالتفاف ثنائي البُعد', 'ratio': 0.125}]",الالتفاف ثنائي الأبعاد,"```
1. Candidate: ""الالتفاف ثنائي الأبعاد""

2. Explanation: The term ""الالتفاف ثنائي الأبعاد"" is the best translation for ""2D convolution"" in the context of AI and machine learning. This translation accurately captures the concept of convolution as it is used in the field of computer vision and neural networks, where ""الالتفاف"" refers to the mathematical operation of convolution, and ""ثنائي الأبعاد"" specifies that this operation is applied in two dimensions. This is crucial for understanding the application of 2D convolutions in processing image data, which is inherently two-dimensional. The back translation also confirms the semantic accuracy, as it directly translates back to ""2D convolution,"" ensuring consistency and clarity in the AI domain-specific context.
```","['Joint probability distribution', '2D convolution', '2D convolution', '2D convolution']"
4,4,2D image,صورة ثنائية الأبعاد,0.875,8,"[{'word': 'صورة ثنائية الأبعاد', 'ratio': 0.875}, {'word': 'توزيع الاحتمال المشترك', 'ratio': 0.125}]",صورة ثنائية الأبعاد,"```
1. Candidate: ""صورة ثنائية الأبعاد""
2. Explanation: The term ""صورة ثنائية الأبعاد"" directly translates to ""2D image,"" which is the correct and precise translation in the context of AI and computer vision. The context provided involves indexing features of images in a 4D tensor format, which is a common practice in AI when dealing with image data. The term ""صورة ثنائية الأبعاد"" accurately captures the concept of a two-dimensional image, which is essential for understanding the structure and processing of image data in AI models. The back translation also confirms the semantic accuracy, as it returns to ""2D image,"" ensuring contextual fit and domain-specific usage.
```","['Joint probability distribution', '2D image']"
5,5,2D image synthesis,تخليق صور ثنائية الأبعاد,0.0,9,"[{'word': 'توليد الصور ثنائية الأبعاد', 'ratio': 0.5555555555555556}, {'word': 'تركيب الصور ثنائية الأبعاد', 'ratio': 0.2222222222222222}, {'word': 'تمثيل متجه', 'ratio': 0.1111111111111111}, {'word': 'توليف الصور ثنائية الأبعاد', 'ratio': 0.1111111111111111}]",توليف الصور ثنائية الأبعاد,"```
1. Candidate: ""توليف الصور ثنائية الأبعاد""
2. Explanation: The term ""توليف الصور ثنائية الأبعاد"" directly translates to ""2D image synthesis,"" which accurately captures the concept of synthesizing or creating images using neural networks, as described in the context. This candidate maintains the technical nuance of ""synthesis"" in the AI domain, where it refers to the process of generating new images from learned data, aligning well with the context of neural image synthesis. The back translation also matches the original term closely, ensuring semantic accuracy and contextual fit.
```","['Installation of 2D images', '2D image synthesis', 'Generate 2D images', 'Vector representation']"
6,6,2D-3D correspondence,المراسلات ثنائية وثلاثية الأبعاد,0.0,9,"[{'word': 'تطابق ثنائي وثلاثي الأبعاد', 'ratio': 0.2222222222222222}, {'word': 'مطابقة ثنائية الأبعاد وثلاثية الأبعاد', 'ratio': 0.2222222222222222}, {'word': 'التماثل ثنائي-ثلاثي الأبعاد', 'ratio': 0.1111111111111111}, {'word': 'تمثيل متجه', 'ratio': 0.1111111111111111}, {'word': 'تطابق 2D-3D', 'ratio': 0.1111111111111111}, {'word': 'مطابقة ثنائية-ثلاثية الأبعاد', 'ratio': 0.1111111111111111}, {'word': 'تطابق ثنائي الأبعاد وثلاثي الأبعاد', 'ratio': 0.1111111111111111}]",,,[]
7,7,3D bounding box,صندوق احتواء ثلاثي الأبعاد,0.0,9,"[{'word': 'صندوق محيط ثلاثي الأبعاد', 'ratio': 0.4444444444444444}, {'word': 'الصندوق المحيط ثلاثي الأبعاد', 'ratio': 0.2222222222222222}, {'word': 'صندوق الإحاطة ثلاثي الأبعاد', 'ratio': 0.1111111111111111}, {'word': 'تمثيل متجه', 'ratio': 0.1111111111111111}, {'word': 'صندوق تحديد ثلاثي الأبعاد', 'ratio': 0.1111111111111111}]",,,[]
8,8,3D computer vision,الرؤية الحاسوبية ثلاثية الأبعاد,0.4444444444444444,9,"[{'word': 'الرؤية الحاسوبية ثلاثية الأبعاد', 'ratio': 0.4444444444444444}, {'word': 'رؤية الكمبيوتر ثلاثية الأبعاد', 'ratio': 0.3333333333333333}, {'word': 'تمثيل متجه', 'ratio': 0.1111111111111111}, {'word': 'رؤية الحاسوب ثلاثية الأبعاد', 'ratio': 0.1111111111111111}]",,,[]
9,9,3D convolutional network,شبكة تلافيفية ثلاثية الأبعاد,0.1111111111111111,9,"[{'word': 'شبكة التلافيف ثلاثية الأبعاد', 'ratio': 0.5555555555555556}, {'word': 'تمثيل متجه', 'ratio': 0.1111111111111111}, {'word': 'شبكة تلافيف ثلاثية الأبعاد', 'ratio': 0.1111111111111111}, {'word': 'شبكة تلافيفية ثلاثية الأبعاد', 'ratio': 0.1111111111111111}, {'word': 'شبكة الالتفاف ثلاثية الأبعاد', 'ratio': 0.1111111111111111}]",شبكة تلافيفية ثلاثية الأبعاد,"```
1. Candidate: ""شبكة تلافيفية ثلاثية الأبعاد""
2. Explanation: The candidate ""شبكة تلافيفية ثلاثية الأبعاد"" is the best fit because it accurately translates ""3D convolutional network"" in a way that aligns with the technical terminology used in the AI domain. The term ""تلافيفية"" specifically refers to ""convolutional,"" which is crucial for maintaining the semantic meaning related to convolutional neural networks. This candidate also maintains the correct grammatical structure in Arabic, ensuring clarity and precision in the context of AI and machine learning discussions.
```","['3D convolution mesh', 'Vector representation', '3D convolutional network', '3D convolutional network', '3D convolutional network']"
