en_word1,anno1_word1,anno2_word1,source1,en_word2,anno1_word2,anno2_word2,source2,en_word3,anno1_word3,anno2_word3,source3,en_word4,anno1_word4,anno2_word4,source4,en_word5,anno1_word5,anno2_word5,source5
classifying,分類,分類し,6060,FeSTE,パーティー,FeSTE,6060,OOV,語彙外,OOV,6060,PaLM,パルム,PaLM,6060,morphological,形態論的,形態的,6060
GLUE,のり,GLUE,6060,syntactic,構文的,構文,6060,features,特徴,機能,6060,KinyaBERT,キンヤバート,KinyaBERT,6060,QED,は,QED,6060
grounding,グラウンディング,教育付け,6060,algorithms,アルゴリズム,アリゴリズム,6060,training,学習,訓練,6060,pretrained,事前学習済み,事前訓練された,6060,ViLBERT,ビルバート,ViLBERT,6060
subword,サブワード,サブ単語,6060,CodeBERT,コードBERT,CodeBERT,6060,computational,計算的,計算,6060,motivated,動機づけられた,動機づけられる,6060,BART,バート,BART,6060
dependencies,依存関係,依存性,6060,classifiers,分類器,類別詞,6060,extractive,抽出的,抽出,6060,documents,文書,文章,6060,Semantic,セマンティック,意味論,6060
human,人間,人間の,6060,unseen,未見の,見えない,6060,QUOREF,クオレフ,QUOREF,6060,queries,クエリ,質問,6060,structured,構造化された,構築された,6060
compared,比較された,比較して,6060,Moreover,さらに,また,6060,contextualized,文脈化された,文脈で理解できる,6060,sense,意味,感覚,6060,algorithm,アルゴリズム,アリゴリズム,6060
embeddings,埋め込み,埋込み,6060,gradient,勾配,傾度,6060,named,名前付き,挙げられた,6060,number,数,数字,6060,pretraining,事前学習,事前訓練,6060
tagging,タギング,タグ付け,6060,identifying,特定する,識別,6060,conversational,会話型,会話的,6060,downstream,ダウンストリーム,下流,6060,relation,関係,リレーション,6060
counterfactual,反実仮想,非現実節,6060,metrics,メトリクス,メトリックス,6060,augmented,拡張された,強化された,6060,relations,関係,relations,6060,re,再,RE,6060
CLIP,クリップ,CLIP,6060,answer,答え,応答,6060,For,例えば,の為,6060,TreeDST,ツリーDST,TreeDST,6060,spoken,話されている,音声,6060
embedding,埋め込み,埋込み,6060,image,画像,イメージ,6060,seq2seq,シーケンスツーシーケンス,seq2seq,6060,structure,構造,構成,6060,visual,視覚,視覚的,6060
compositionality,構成性,構成の可能性,6060,softmax,ソフトマックス,softmax,6060,VALSE,,VALSE,6060,speech,音声,スピーチ,6060,classifier,分類器,類別詞,6060
ARENA,アリーナ,ARENA,6060,BERT,バート,BERT,6060,perplexity,パープレキシティ,困惑,6060,LXMert,LXマート,LXMert,6060,qualitative,定性的,質的,6060
retrieved,取得した,回収された,6060,annotators,アノテーター,注釈者,6060,contexts,コンテキスト,文脈,6060,sentences,文,文章,6060,Hence,したがって,よって,6060
Wikipedia,ウィキペディア,wikipedia,6060,spatial,空間的,空間的な,6060,source,出典,ソース,6060,XLNet,XLネット,XLNet,6060,semantics,セマンティクス,意味論,6060
REALM,レルム,REALM,6060,sentence,文,文章,6060,weights,重み,荷重,6060,coreference,共参照,同一指示,6060,monolingual,単言語,単一言語,6060
BIO,バイオ,BIO,6060,interpretable,解釈可能な,解釈可能,6060,previous,前の,以前の,6060,Dialogue,対話,ダイアログ,6060,finetuning,ファインチューニング,微調整,6060
propose,提案する,提案,6060,ROUGE,ルージュ,ROUGE,6060,MathQA,数学QA,MathQA,6060,context,コンテキスト,文脈,6060,word2vec,word2vec,単語2vec,6060
multilingual,多言語,他言語,6060,methods,手法,方法,6060,labeled,ラベル付けされた,ラベル付き,6060,unsupervised,教師なし,監視なし,6060,Morphology,形態論,語形論,6060
semantically,意味的に,意味論的に,6060,BLEU,ブルー,BLEU,6060,BETO,ベト,BETO,6060,2D-3D correspondence,2次元-3次元対応,2D-3D対応,threshold,Attention,注意機構,注意,threshold
Bregman divergence,ブレグマン・ダイバージェンス,ブレグマン発散,threshold,Euclidean,ユークリッド距離,ユークリッド,threshold,Fourier feature,フーリエ特徴量,フーリエ特徴,threshold,GoogLeNet,GoogLeNet,グーグルネット,threshold,Hadamard matrix,アダマール行列,ハダマード行列,threshold
